fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-10-31,105000000,25000000,2005-11-14,0.38,0.37,483000000,419000000,1000000,0.051759834368530024,418000000
2006-01-31,1336000000,2816000000,2006-02-13,0.32,0.3,483000000,-128000000,50000000,5.830227743271221,-178000000
2006-04-30,1431000000,115000000,2006-05-15,0.4,0.37,442000000,296000000,55000000,0.26018099547511314,241000000
2006-07-31,1453000000,227000000,2006-08-14,0.46,0.42,422000000,65000000,60000000,0.5379146919431279,5000000
2006-10-31,753000000,149000000,2006-11-14,0.52,0.54,418000000,401000000,20000000,0.35645933014354064,381000000
2007-01-31,1280000000,150000000,2007-02-15,0.39,0.39,418000000,93000000,37000000,0.3588516746411483,56000000
2007-04-30,1320000000,123000000,2007-05-14,0.43,0.44,413000000,302000000,42000000,0.29782082324455206,260000000
2007-07-31,1374000000,185000000,2007-08-14,0.48,0.49,407000000,176000000,36000000,0.45454545454545453,140000000
2007-10-31,1446000000,180000000,2007-11-15,0.53,0.52,382000000,398000000,39000000,0.4712041884816754,359000000
2008-01-31,1393000000,120000000,2008-02-13,0.42,0.41,382000000,4000000,34000000,0.31413612565445026,-30000000
2008-04-30,1456000000,173000000,2008-05-14,0.51,0.48,370000000,325000000,37000000,0.46756756756756757,288000000
2008-07-31,1444000000,169000000,2008-08-14,0.53,0.54,372000000,169000000,39000000,0.4543010752688172,130000000
2008-10-31,1481000000,231000000,2008-11-14,0.62,0.59,352000000,258000000,44000000,0.65625,214000000
2009-01-31,1166000000,64000000,2009-02-17,0.2,0.28,352000000,17000000,34000000,0.18181818181818182,-17000000
2009-04-30,1091000000,-101000000,2009-05-14,0.13,0.13,344000000,137000000,34000000,-0.2936046511627907,103000000
2009-07-31,1057000000,-19000000,2009-08-17,0.15,0.11,345000000,41000000,30000000,-0.05507246376811594,11000000
2009-10-31,1167000000,25000000,2009-11-13,0.32,0.23,354000000,213000000,30000000,0.07062146892655367,183000000
