fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2018-06-30,353000000,22600000,2018-09-17,0.46,0.0,48800000,9500000,12800000,0.46311475409836067,-3300000
2018-09-30,378600000,3200000,2018-11-14,0.42,0.4,48800000,19400000,12600000,0.06557377049180328,6800000
2018-12-31,374400000,27700000,2019-02-27,0.4,0.28,49200000,-100000,11800000,0.5630081300813008,-11900000
2019-03-31,410900000,27700000,2019-05-02,0.58,0.33,48500000,125000000,18000000,0.5711340206185567,107000000
2019-06-30,434100000,31800000,2019-08-01,0.65,0.47,48300000,16200000,20900000,0.6583850931677019,-4700000
2019-09-30,445000000,32700000,2019-10-30,0.68,0.54,48300000,77800000,22100000,0.6770186335403726,55700000
2019-12-31,446900000,21100000,2020-02-26,0.43,0.42,48400000,139800000,24400000,0.4359504132231405,115400000
2020-03-31,488200000,31600000,2020-04-28,0.71,0.51,48400000,41500000,21100000,0.6528925619834711,20400000
2020-06-30,498500000,33300000,2020-07-30,0.73,0.6,48400000,78800000,22500000,0.6880165289256198,56300000
2020-09-30,490000000,31200000,2020-10-28,0.68,0.65,48500000,106400000,13300000,0.643298969072165,93100000
2020-12-31,458900000,10500000,2021-02-24,0.33,0.42,48500000,33200000,25200000,0.21649484536082475,8000000
2021-03-31,440400000,15900000,2021-04-29,0.35,0.21,48800000,400000,19900000,0.32581967213114754,-19500000
2021-06-30,515100000,20800000,2021-08-04,0.6,0.57,48600000,50700000,21600000,0.4279835390946502,29100000
2021-09-30,559100000,23700000,2021-11-03,0.57,0.5,48600000,25700000,19300000,0.4876543209876543,6400000
2021-12-31,521800000,9200000,2022-02-23,0.4,0.21,48600000,89700000,24300000,0.18930041152263374,65400000
2022-03-31,535800000,20200000,2022-04-28,0.42,0.22,48800000,24500000,25900000,0.4139344262295082,-1400000
2022-06-30,602800000,39000000,2022-08-03,0.84,0.46,48600000,86700000,27000000,0.8024691358024691,59700000
2022-09-30,603900000,32000000,2022-11-02,0.7,0.62,48500000,71400000,33000000,0.6597938144329897,38400000
2022-12-31,500300000,154600000,2023-02-23,0.24,0.21,48400000,-8300000,52100000,3.1942148760330578,-60400000
2023-03-31,549200000,55700000,2023-04-27,1.06,0.55,48800000,27300000,44400000,1.1413934426229508,-17100000
2023-06-30,584800000,40900000,2023-08-03,0.76,0.59,48700000,127600000,52500000,0.839835728952772,75100000
2023-09-30,591700000,35500000,2023-11-01,0.73,0.67,48800000,43900000,47900000,0.7274590163934426,-4000000
2023-12-31,582200000,27100000,2024-02-22,0.68,0.49,48700000,62200000,58700000,0.5564681724845996,3500000
2024-03-31,598600000,39200000,2024-05-02,0.73,0.52,48900000,80500000,54400000,0.8016359918200409,26100000
2024-06-30,664700000,45600000,2024-08-01,0.91,0.83,48700000,38300000,47600000,0.9363449691991786,-9300000
2024-09-30,640400000,16600000,2024-10-30,0.91,0.86,48800000,135000000,34400000,0.3401639344262295,100600000
2024-12-31,666200000,-7700000,2025-02-20,0.46,0.89,48700000,248200000,53300000,-0.15811088295687886,194900000
2025-03-31,632000000,23600000,2025-04-30,0.49,0.1843,49200000,-700000,34000000,0.4796747967479675,-34700000
2025-06-30,736900000,59700000,2025-07-30,1.27,1.11,49000000,61200000,27800000,1.2183673469387755,33400000
2025-09-30,797800000,73000000,2025-10-30,1.56,1.33,49000000,160600000,39600000,1.489795918367347,121000000
