fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2010-09-30,15872000,1566000,2010-11-10,0.3552,,10000057,,0,0.1565991073850879,
2010-12-31,13759000,524000,2011-02-15,0.1189,,17633000,2722000.0,848000,0.029717007882946747,1874000.0
2011-03-31,16846000,-249000,2011-05-11,-0.0978,,17633000,590000.0,784000,-0.01412124992911019,-194000.0
2011-09-30,63058000,3123000,2011-09-30,0.7084,,17633000,3991000.0,3565000,0.17711109850847842,426000.0
2011-12-31,75354000,-15909000,2012-03-07,0.13,0.13,32333000,-28235000.0,631000,-0.49203600037113787,-28866000.0
2012-03-31,91298000,3679000,2012-04-27,0.11,0.11,32333000,4935000.0,3911000,0.11378467819255869,1024000.0
2012-06-30,100530000,5909000,2012-07-31,0.18,0.15,36695000,5611000.0,17594000,0.16103011309442702,-11983000.0
2012-09-30,103116000,6450000,2012-11-06,0.17,0.15,41991000,12789000.0,57637000,0.15360434378795457,-44848000.0
2012-12-31,114252000,4365000,2013-02-20,0.19,0.19,43701000,10563000.0,15498000,0.09988329786503741,-4935000.0
2013-03-31,161213000,3738000,2013-05-01,0.21,0.2,50250000,167000.0,12764000,0.07438805970149254,-12597000.0
2013-06-30,177494000,12197000,2013-07-30,0.26,0.25,50282000,27783000.0,16945000,0.24257189451493577,10838000.0
2013-09-30,184702000,14364000,2013-10-30,0.3,0.28,50343000,16925000.0,20969000,0.28532268637149155,-4044000.0
2013-12-31,189999000,12280000,2014-02-19,0.29,0.29,50411000,20687000.0,18263000,0.2435976275019341,2424000.0
2014-03-31,201418000,13058000,2014-04-29,0.28,0.28,50486000,7346000.0,21649000,0.258645961256586,-14303000.0
2014-06-30,213803000,22451000,2014-07-29,0.32,0.31,51819000,21893000.0,21674000,0.43325807136378547,219000.0
2014-09-30,294479000,25402000,2014-10-29,0.46,0.41,59409000,39807000.0,27357000,0.42757831305021127,12450000.0
2014-12-31,294901000,22129000,2015-02-11,0.46,0.46,59529000,46240000.0,42564000,0.37173478472677185,3676000.0
2015-03-31,365783000,14594000,2015-04-28,0.43,0.41,62894000,18222000.0,52879000,0.2320412121983019,-34657000.0
2015-06-30,453660000,33844000,2015-08-04,0.57,0.52,68735000,72919000.0,69156000,0.492383792827526,3763000.0
2015-09-30,479730000,29550000,2015-11-03,0.62,0.57,71110000,50944000.0,78806000,0.4155533680213753,-27862000.0
2015-12-31,495319000,41557000,2016-02-16,0.59,0.59,71145000,98318000.0,75206000,0.5841169442687469,23112000.0
2016-03-31,616813000,25688000,2016-04-28,0.55,0.54,83420000,58664000.0,90089000,0.30793574682330377,-31425000.0
2016-06-30,756548000,56445000,2016-07-29,0.73,0.73,86876000,124194000.0,87629000,0.6497191399235692,36565000.0
2016-09-30,734665000,-117808000,2016-11-01,0.58,0.61,86618000,76799000.0,72243000,-1.3600868179824055,4556000.0
2016-12-31,702888000,41818000,2017-02-23,0.59,0.55,86890000,101821000.0,57511000,0.4812751755092646,44310000.0
2017-03-31,679194000,34958000,2017-04-25,0.46,0.46,86908000,57014000.0,50549000,0.40224145072950707,6465000.0
2017-06-30,715896000,49630000,2017-07-27,0.66,0.65,87080000,130592000.0,66972000,0.569935691318328,63620000.0
2017-09-30,716714000,45618000,2017-10-24,0.58,0.65,87172000,83745000.0,76296000,0.5233102372321388,7449000.0
2017-12-31,724512000,69629000,2018-02-21,0.61,0.54,87166000,128226000.0,80360000,0.7988091687125715,47866000.0
2018-03-31,742241000,50819000,2018-05-01,0.52,0.48,87294000,72350000.0,70327000,0.5821591403762,2023000.0
2018-06-30,765738000,58836000,2018-07-30,0.7,0.7,87467000,144964000.0,91228000,0.6726651194164657,53736000.0
2018-09-30,760916000,46232000,2018-11-05,0.55,0.64,87537000,68869000.0,88434000,0.5281423855055577,-19565000.0
2018-12-31,743547000,-331637000,2019-02-28,0.47,0.48,87382000,127897000.0,91473000,-3.795255315740084,36424000.0
2019-03-31,760617000,29471000,2019-04-30,0.39,0.35,87694000,43673000.0,69248000,0.3360663215271284,-25575000.0
2019-06-30,789362000,48140000,2019-07-30,0.61,0.58,87837000,85013000.0,69880000,0.5480606122704555,15133000.0
