fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2019-12-31,269487000,189787000,2020-03-31,0.4336,0.0,162840000,116132000,0,1.1654814541881602,116132000
2020-03-31,260577000,145265000,2020-06-30,0.4336,0.0,162840000,150296000,0,0.8920719724883321,150296000
2020-06-30,276032000,-4040000,2020-09-15,0.87,0.0,162840000,194845000,0,-0.024809629083763204,194845000
2020-09-30,284336000,138015000,2020-11-19,1.17,0.0,162840000,215405000,0,0.8475497420781135,215405000
2020-12-31,285514000,91181000,2021-03-31,0.7859,0.0,162840000,143804000,0,0.5599422746253991,143804000
2021-03-31,289436000,125131000,2021-06-30,0.7859,0.0,162840000,127028000,0,0.7684291328911815,127028000
2021-06-30,277423000,130812000,2021-09-16,0.82,0.81,162840000,136079000,0,0.803316138540899,136079000
2021-09-30,280309000,137208000,2021-11-02,0.84,0.8,162852000,147975000,0,0.8425318694274556,147975000
2021-12-31,272881000,153534000,2022-02-01,0.94,0.83,162879000,161035000,0,0.9426261212310979,161035000
2022-03-31,269588000,164630000,2022-05-03,1.01,0.83,163054000,160829000,0,1.0096655095857814,160829000
2022-06-30,273541000,204735000,2022-08-01,1.26,0.84,163225000,140916000,0,1.2543115331597487,140916000
2022-09-30,275075000,190986000,2022-11-01,1.17,0.87,163376000,100326000,0,1.1689966702575654,100326000
2022-12-31,276669000,143806000,2023-02-06,0.9,0.83,163520000,158439000,6516000,0.8794398238747554,151923000
2023-03-31,280939000,175988000,2023-05-03,1.08,0.83,163179000,119339000,0,1.0784966202758934,119339000
2023-06-30,277522000,168020000,2023-08-01,1.1,0.86,162171000,167846000,0,1.0360668676890443,167846000
2023-09-30,299035000,164195000,2023-11-01,1.02,0.9,161146000,168307000,0,1.0189207302694452,168307000
2023-12-31,296190000,157308000,2024-02-06,0.98,0.95,160895000,190056000,0,0.9777059573013456,190056000
2024-03-31,291587000,160988000,2024-05-01,1.04,0.97,160087000,187296000,0,1.005628189671866,187296000
2024-06-30,298834000,183673000,2024-07-31,1.27,1.03,158571000,144700000,0,1.1583013287423298,144700000
2024-09-30,309588000,180669000,2024-11-06,1.16,1.09,157016000,188136000,0,1.1506406990370408,188136000
2024-12-31,301934000,162738000,2025-02-04,1.09,1.08,154542000,166130000,0,1.053034126645184,166130000
2025-03-31,306891000,165778000,2025-04-30,1.1,1.09,152907000,226724000,0,1.0841753484143957,226724000
2025-06-30,304617000,167808000,2025-07-30,1.15,1.11,150729000,119518000,0,1.1133093167207373,119518000
2025-09-30,311455000,163497000,2025-11-05,1.12,1.11,148340000,192011000,0,1.1021774302278549,192011000
