fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,3328000000,387000000,2005-10-27,0.95,0.82,390000000,693000000,592000000,0.9923076923076923,101000000
2005-12-31,3055000000,-149000000,2006-02-01,0.29,0.25,393501974,290000000,794000000,-0.37865121357688536,-504000000
2006-03-31,3108000000,381000000,2006-04-27,0.96,0.88,395580106,590000000,772000000,0.963142469050251,-182000000
2006-06-30,2936000000,175000000,2006-07-27,0.44,0.54,395500506,547000000,853000000,0.44247731000374496,-306000000
2006-09-30,3594000000,265000000,2006-10-31,0.99,0.99,396266250,1076000000,820000000,0.6687422913255924,256000000
2006-12-31,2984000000,181000000,2007-01-30,0.38,0.37,397517789,519000000,1083000000,0.4553255351296996,-564000000
2007-03-31,3169000000,271000000,2007-04-26,0.68,0.72,398552113,351000000,907000000,0.679961267700016,-556000000
2007-06-30,3146000000,180000000,2007-07-31,0.64,0.58,399868900,618000000,1343000000,0.45014753585487643,-725000000
2007-09-30,3789000000,407000000,2007-10-24,1.16,1.11,400215911,661000000,345000000,1.0169510726923598,316000000
2007-12-31,3276000000,231000000,2008-01-29,0.52,0.5,401135449,758000000,961000000,0.5758653357011088,-203000000
2008-03-31,3467000000,574000000,2008-04-24,1.02,0.87,402072098,628000000,778000000,1.42760465810786,-150000000
2008-06-30,3546000000,281000000,2008-07-31,0.7,0.68,402785942,569000000,929000000,0.6976410313744267,-360000000
2008-09-30,4191000000,375000000,2008-10-31,0.93,1.04,403910309,856000000,966000000,0.928423938790827,-110000000
2008-12-31,3236000000,153000000,2009-01-29,0.59,0.53,405511331,523000000,1127000000,0.3773014175034236,-604000000
2009-03-31,3458000000,361000000,2009-04-24,0.89,0.79,407381954,317000000,973000000,0.8861462724487791,-656000000
2009-06-30,3202000000,316000000,2009-07-31,0.68,0.61,472222817,540000000,726000000,0.6691756277418505,-186000000
2009-09-30,3547000000,444000000,2009-10-29,0.93,0.85,477111144,1014000000,577000000,0.9306007742296625,437000000
2009-12-31,3282000000,239000000,2010-01-28,0.5,0.46,468046718,604000000,516000000,0.5106327868749204,88000000
2010-03-31,3569000000,345000000,2010-04-29,0.76,0.78,478844632,2000000,647000000,0.7204842175196401,-645000000
2010-06-30,3360000000,136000000,2010-07-30,0.74,0.69,479176543,580000000,498000000,0.2838202370018768,82000000
2010-09-30,4064000000,556000000,2010-10-19,1.15,1.04,479750447,1120000000,553000000,1.1589358665047789,567000000
2010-12-31,3434000000,177000000,2011-01-28,0.38,0.4,480483624,960000000,738000000,0.3683788398998589,222000000
2011-03-31,3730000000,354000000,2011-04-21,0.82,0.8,481365806,830000000,781000000,0.7354074501918402,49000000
2011-06-30,3609000000,352000000,2011-07-29,0.73,0.76,482203255,902000000,435000000,0.7299826294204506,467000000
2011-09-30,4333000000,929000000,2011-10-26,1.17,1.15,482796945,1606000000,747000000,1.9242043878301673,859000000
2011-12-31,3444000000,311000000,2012-01-27,0.4,0.4,483354598,450000000,812000000,0.6434199680459024,-362000000
2012-03-31,3625000000,389000000,2012-04-20,0.8,0.79,484248868,876000000,837000000,0.8033059563083996,39000000
2012-06-30,3551000000,362000000,2012-07-20,0.77,0.71,484860690,837000000,633000000,0.746606205588661,204000000
2012-09-30,4156000000,487000000,2012-10-24,1.02,1.03,485362858,1199000000,740000000,1.00337302694884,459000000
2012-12-31,3613000000,21000000,2013-02-15,0.5,0.46,486344036,892000000,922000000,0.04317931021158857,-30000000
2013-03-31,3826000000,363000000,2013-04-26,0.8,0.81,486344036,756000000,890000000,0.7463852193717453,-134000000
2013-06-30,3582000000,338000000,2013-07-25,0.73,0.74,486763615,760000000,806000000,0.694382220823962,-46000000
2013-09-30,4176000000,433000000,2013-10-23,1.1,1.09,487258905,1524000000,895000000,0.8886446108152708,629000000
2013-12-31,3773000000,346000000,2014-01-27,0.6,0.57,488271167,1066000000,1187000000,0.7086226330460345,-121000000
2014-03-31,4648000000,560000000,2014-04-25,1.15,0.93,488271167,1133000000,956000000,1.1469036835427147,177000000
2014-06-30,4044000000,390000000,2014-07-25,0.8,0.75,488538227,1064000000,985000000,0.7982998636460847,79000000
2014-09-30,4161000000,493000000,2014-10-23,1.01,1.01,488970647,1528000000,1067000000,1.0082404803329637,461000000
2014-12-31,4026000000,191000000,2015-01-28,0.48,0.5,489936726,888000000,1242000000,0.38984625945351153,-354000000
2015-03-31,4580400000,629200000,2015-04-23,1.28,1.1,489936726,1257000000,1129000000,1.2842474683149188,128000000
2015-06-30,3826700000,430000000,2015-07-23,0.88,0.81,490484450,946000000,1105000000,0.8766842659334052,-159000000
2015-09-30,4431400000,518300000,2015-10-22,1.06,1.01,490800335,1707000000,1102000000,1.0560302490421078,605000000
2015-12-31,3614200000,469100000,2016-01-28,0.48,0.5,491332305,908500000,1264000000,0.9547509806016113,-355500000
2016-03-31,4044900000,501200000,2016-04-28,1.02,1.04,491332305,799900000,1249000000,1.020083546104301,-449100000
2016-06-30,3892900000,502100000,2016-07-28,0.95,0.9,491641400,923400000,1116000000,1.0212728220202774,-192600000
2016-09-30,4640500000,-765800000,2016-11-01,1.3,1.22,491813858,1695200000,1149600000,-1.5570931716202272,545600000
2016-12-31,3753800000,373400000,2017-01-26,0.67,0.55,492031975,1100800000,1395000000,0.7588937690482412,-294200000
2017-03-31,3917300000,592200000,2017-04-27,0.96,0.95,492031975,806800000,1369500000,1.2035803160963268,-562700000
2017-06-30,3565600000,375000000,2017-07-27,0.75,0.82,492642100,910200000,1179800000,0.7612016918570297,-269600000
2017-09-30,4086100000,544700000,2017-10-26,1.1,1.16,492986307,1407200000,1302100000,1.1048988425554789,105100000
2017-12-31,3807000000,400700000,2018-01-25,0.85,0.79,493127300,1146200000,1947900000,0.81256908713024,-801700000
2018-03-31,4068900000,454400000,2018-04-26,0.96,0.98,493127300,802200000,1929600000,0.9214659176241105,-1127400000
2018-06-30,3988900000,528400000,2018-07-25,1.01,0.88,493505085,1204600000,1318000000,1.0707083190439668,-113400000
2018-09-30,4314500000,577600000,2018-10-25,1.26,1.21,493940543,1925800000,1466900000,1.1693715127976445,458900000
2018-12-31,3794900000,363400000,2019-01-24,0.72,0.71,494484144,1290600000,1642500000,0.7349072855205646,-351900000
2019-03-31,4053800000,572800000,2019-04-25,1.19,1.11,494484144,808300000,1597800000,1.1583789024385784,-789500000
2019-06-30,3569900000,461300000,2019-07-25,1.0,0.97,495382966,992500000,1422700000,0.9311987526030517,-430200000
2019-09-30,4293500000,733500000,2019-10-24,1.46,1.32,495461509,1549100000,1407400000,1.48043790824526,141700000
2019-12-31,3618400000,153500000,2020-02-20,0.6,0.58,495957578,920200000,1715800000,0.30950227763230187,-795600000
2020-03-31,3757400000,495200000,2020-05-06,1.02,1.1,496608918,615700000,1794000000,0.9971629224749443,-1178300000
2020-06-30,3484200000,520800000,2020-08-06,1.08,1.06,497337980,1130500000,1488600000,1.047175202666002,-358100000
2020-09-30,4054400000,748600000,2020-10-22,1.47,1.48,497458523,1176000000,1476200000,1.5048490786436883,-300200000
2020-12-31,3612200000,435500000,2021-02-25,0.87,0.79,497695543,910700000,1557200000,0.8750329516211882,-646500000
2021-03-31,4281300000,575000000,2021-04-22,1.15,1.17,498164219,-117200000,1548600000,1.1542378558505022,-1665800000
2021-06-30,3809900000,578200000,2021-07-22,1.18,1.14,500983778,1161100000,1299200000,1.154129186194927,-138100000
2021-09-30,4495100000,796000000,2021-10-28,1.43,1.46,502606836,1929100000,1302400000,1.5837428840701244,626700000
2021-12-31,4037200000,538900000,2022-02-24,0.98,0.93,504721277,866900000,1613900000,1.0677180149867151,-747000000
2022-03-31,4440300000,714700000,2022-04-28,1.22,1.2,507658522,1622200000,1717700000,1.4078361123227634,-95500000
2022-06-30,4518600000,524500000,2022-07-27,1.2,1.19,515162210,1368500000,1488100000,1.0181259219304926,-119600000
2022-09-30,5526100000,683300000,2022-10-27,1.62,1.56,515315994,1742500000,1634600000,1.3259825193781973,107900000
2022-12-31,4948400000,384300000,2023-02-23,1.05,0.99,514400302,554800000,1932000000,0.7470835427308905,-1377200000
2023-03-31,4843600000,397000000,2023-05-04,1.11,1.12,515598090,717800000,2091800000,0.7699795784736131,-1374000000
2023-06-30,4497300000,521200000,2023-07-27,1.13,1.12,516242919,1163800000,2031800000,1.0096022256529973,-868000000
2023-09-30,5352600000,953700000,2023-11-02,1.77,1.7,521444125,1794100000,1704400000,1.8289591430337815,89700000
2023-12-31,4688000000,336200000,2024-02-26,1.23,1.26,523901327,1336500000,1678500000,0.6417238946982091,-342000000
2024-03-31,5096100000,1003100000,2024-04-30,1.27,1.25,527596395,1442200000,1795400000,1.9012639386969277,-353200000
2024-06-30,4627900000,340300000,2024-07-30,1.25,1.23,530140990,1462000000,1592700000,0.6419047129330633,-130700000
