fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,443205000,16850000,2005-10-12,0.36,0.34,45723500,-706000,1670000,0.3685194702942688,-2376000
2005-12-31,456180000,15294000,2006-01-18,0.33,0.32,45723500,-16604000,2519000,0.3344888295952847,-19123000
2006-03-31,497198000,19990000,2006-04-25,0.43,0.4,45723500,37853000,2616000,0.43719312826008505,35237000
2006-06-30,504197000,20165000,2006-08-08,0.44,0.43,44845000,49310000,4252000,0.44965993979261903,45058000
2006-09-30,492590000,21117000,2006-10-24,0.47,0.43,44845000,16120000,2520000,0.47088861634518897,13600000
2006-12-31,472365000,18568000,2007-01-18,0.42,0.42,44630000,-12231000,2837000,0.4160430203898723,-15068000
2007-03-31,521129000,21697000,2007-04-18,0.49,0.45,44414000,27766000,2768000,0.4885171342369523,24998000
2007-06-30,528025000,24640000,2007-08-09,0.56,0.47,43673214,39270000,3067000,0.5641902150824073,36203000
2007-09-30,518547000,24457000,2007-10-23,0.56,0.52,43673214,28925000,1656000,0.5600000036635728,27269000
2007-12-31,511008000,22967000,2008-01-23,0.52,0.49,43949000,21766000,2093000,0.5225829939247765,19673000
2008-03-31,530156000,23595000,2008-04-24,0.55,0.55,43259000,11259000,2359000,0.5454356318916295,8900000
2008-06-30,529745000,24437000,2008-08-08,0.57,0.57,42982000,48353000,2302000,0.5685403192033874,46051000
2008-09-30,543906000,22536000,2008-10-27,0.52,0.55,42982000,48885000,1677000,0.5243125029081941,47208000
2008-12-31,502412000,16194000,2009-01-26,0.38,0.34,42798000,-16417000,2588000,0.37838216739099956,-19005000
2009-03-31,451647000,11560000,2009-04-23,0.27,0.24,42662000,22031000,1112000,0.2709671370306127,20919000
2009-06-30,425183000,-8030000,2009-08-07,0.35,0.25,42787000,26801000,1611000,-0.18767382616215206,25190000
2009-09-30,437743000,11187000,2009-10-20,0.26,0.24,42787000,50249000,1290000,0.2614579194615187,48959000
2009-12-31,446253000,10487000,2010-01-20,0.24,0.26,42830000,45414000,1661000,0.24485173943497548,43753000
2010-03-31,486141000,16525000,2010-04-22,0.39,0.3,42902000,60357000,1212000,0.385180178080276,59145000
2010-06-30,523071000,27704000,2010-08-10,0.64,0.39,43086000,28304000,3053000,0.6429930836002414,25251000
2010-09-30,527501000,20755000,2010-10-26,0.48,0.42,43086000,4516000,873000,0.4817109966114283,3643000
2010-12-31,529517000,21193000,2011-01-21,0.49,0.44,43298000,15450000,12931000,0.4894683357198947,2519000
2011-03-31,565970000,26536000,2011-04-21,0.61,0.51,43339000,44016000,2642000,0.6122891621864833,41374000
2011-06-30,589861000,28275000,2011-08-09,0.68,0.61,42961000,12860000,3985000,0.6581550708782384,8875000
2011-09-30,579574000,26382000,2011-10-25,0.61,0.55,42961000,16401000,7142000,0.6140918507483532,9259000
2011-12-31,570397000,20935000,2012-01-25,0.56,0.54,42634000,13815000,6880000,0.4910400150114932,6935000
2012-03-31,605461000,29418000,2012-04-26,0.69,0.64,42779000,31755000,4273000,0.6876738586689731,27482000
2012-06-30,620013000,32044000,2012-08-09,0.75,0.71,42699000,28451000,7726000,0.7504625401063256,20725000
2012-09-30,610519000,29532000,2012-10-23,0.7,0.71,42477000,23947000,3892000,0.695246839466064,20055000
2012-12-31,589517000,27043000,2013-01-31,0.64,0.65,42494000,4939000,2951000,0.6363957264554996,1988000
2013-03-31,621654000,29302000,2013-05-02,0.69,0.68,42570000,40170000,2993000,0.6883251115809256,37177000
2013-06-30,640481000,32272000,2013-08-14,0.76,0.76,42608000,42341000,2378000,0.7574164476154712,39963000
2013-09-30,605305000,26844000,2013-10-30,0.63,0.7,42637000,16956000,1571000,0.6295940145882684,15385000
2013-12-31,581949000,25909000,2014-01-30,0.61,0.59,42462000,15707000,2555000,0.6101690923649381,13152000
2014-03-31,618006000,30394000,2014-05-01,0.65,0.71,42242000,11663000,2366000,0.7195208560200748,9297000
2014-06-30,654618000,29674000,2014-08-13,0.71,0.75,42014000,65784000,13698000,0.7062883800637882,52086000
2014-09-30,702325000,29122000,2014-10-29,0.7,0.71,41829000,-18101000,3100000,0.6962155442396424,-21201000
2014-12-31,691702000,29707000,2015-01-29,0.72,0.68,41533000,19274000,4706000,0.715262562299858,14568000
2015-03-31,679994000,28610000,2015-04-30,0.7,0.76,41067000,38139000,3203000,0.6966664231621497,34936000
2015-06-30,677540000,28045000,2015-08-12,0.7,0.73,40335000,115226000,3924000,0.6953018470311144,111302000
2015-09-30,641904000,24291000,2015-10-28,0.61,0.66,39842000,14588000,3112000,0.6096832488328899,11476000
2015-12-31,610346000,23947000,2016-01-28,0.61,0.61,39485000,18355000,2625000,0.606483474737242,15730000
2016-03-31,633172000,-44728000,2016-04-28,0.61,0.61,39107000,57416000,3704000,-1.1437338583885237,53712000
2016-06-30,634006000,26067000,2016-08-12,0.66,0.66,39286000,70633000,3689000,0.6635188107722853,66944000
2016-09-30,624848000,27371000,2016-10-26,0.7,0.61,39382000,41864000,2999000,0.6950129500787162,38865000
2016-12-31,608123000,24085000,2017-01-26,0.61,0.59,39371000,3794000,3711000,0.6117446851743669,83000
2017-03-31,679304000,29494000,2017-04-27,0.75,0.63,39462000,32848000,5077000,0.747402564492423,27771000
2017-06-30,681471000,52960000,2017-08-11,0.78,0.78,39474000,86113000,5258000,1.341642600192532,80855000
2017-09-30,680701000,33721000,2017-10-25,0.86,0.76,39336000,9440000,6336000,0.8572554403091316,3104000
2017-12-31,667187000,30950000,2018-01-25,0.89,0.71,39206000,11744000,5124000,0.789419986736724,6620000
2018-03-31,827665000,36592000,2018-04-26,0.93,0.82,39286000,26694000,6438000,0.9314259532657945,20256000
2018-06-30,897721000,40362000,2018-08-10,1.03,1.0,39312000,99426000,5332000,1.0267094017094016,94094000
