fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2012-06-30,72100000,-4400000,2012-08-01,0.13,0.14,42400000,2600000,7500000,-0.10377358490566038,-4900000
2012-09-30,91300000,13400000,2012-11-08,0.16,0.14,43300000,11500000,22000000,0.3094688221709007,-10500000
2012-12-31,89900000,8700000,2013-02-19,0.2,0.14,43600000,23700000,11000000,0.19954128440366972,12700000
2013-03-31,32900000,5000000,2013-05-09,0.12,0.06,43600000,-25200000,6500000,0.11467889908256881,-31700000
2013-06-30,62600000,5000000,2013-08-08,0.11,0.08,43700000,8400000,6600000,0.11441647597254005,1800000
2013-09-30,64800000,4400000,2013-11-07,0.1,0.12,43800000,-92600000,89800000,0.1004566210045662,-182400000
2013-12-31,183100000,22500000,2014-02-20,0.46,0.27,49200000,71100000,402400000,0.4573170731707317,-331300000
2014-03-31,94800000,33400000,2014-05-08,0.68,0.29,49200000,-29400000,8500000,0.6788617886178862,-37900000
2014-06-30,146700000,9200000,2014-08-07,0.19,0.12,49300000,8800000,11200000,0.18661257606490872,-2400000
2014-09-30,153400000,10200000,2014-11-05,0.21,0.1,49300000,23900000,7600000,0.20689655172413793,16300000
2014-12-31,164900000,8600000,2015-03-02,0.14,0.14,49300000,35800000,47800000,0.1744421906693712,-12000000
2015-03-31,150700000,25300000,2015-05-07,0.46,0.31,49300000,26800000,8600000,0.513184584178499,18200000
2015-06-30,153700000,9800000,2015-08-06,0.2,0.21,49400000,42600000,13100000,0.19838056680161945,29500000
2015-09-30,144700000,6700000,2015-11-05,0.11,0.2,49400000,45900000,14500000,0.13562753036437247,31400000
2015-12-31,121400000,-12200000,2016-02-25,0.01,-0.1,48900000,13200000,8500000,-0.24948875255623723,4700000
2016-03-31,91400000,-7500000,2016-05-05,0.06,0.2,49300000,5500000,98400000,-0.15212981744421908,-92900000
2016-06-30,82000000,-700000,2016-07-27,0.2,0.18,49400000,24300000,7600000,-0.01417004048582996,16700000
2016-09-30,102900000,-1900000,2016-10-27,0.17,0.18,49400000,18600000,5500000,-0.038461538461538464,13100000
2016-12-31,37300000,-100000,2017-02-28,0.55,0.48,49400000,62800000,4600000,-0.0020242914979757085,58200000
2017-03-31,93200000,6300000,2017-05-04,0.22,0.22,49600000,-10600000,6100000,0.12701612903225806,-16700000
2017-06-30,98100000,4300000,2017-08-02,0.14,0.09,49600000,-6000000,17300000,0.08669354838709678,-23300000
2017-09-30,111500000,6100000,2017-11-07,0.15,0.14,49600000,-28600000,10300000,0.12298387096774194,-38900000
2017-12-31,122700000,211600000,2018-02-28,0.12,0.02,62000000,8500000,207400000,3.412903225806452,-198900000
2018-03-31,113300000,47300000,2018-05-08,0.66,0.22,72200000,8500000,207400000,0.6551246537396122,-198900000
2018-06-30,112100000,2500000,2018-08-02,0.03,0.12,72300000,18300000,12600000,0.034578146611341634,5700000
2018-09-30,119400000,14800000,2018-11-01,0.2,0.11,72400000,10900000,21600000,0.20441988950276244,-10700000
2018-12-31,299600000,-136600000,2019-02-27,-0.82,0.3,72000000,272200000,54500000,-1.8972222222222221,217700000
2019-03-31,129400000,9000000,2019-05-02,0.12,0.12,72500000,24600000,59000000,0.12413793103448276,-34400000
2019-06-30,109100000,-800000,2019-08-01,-0.01,0.11,72200000,56500000,186800000,-0.0110803324099723,-130300000
2019-09-30,89100000,-49800000,2019-10-30,-0.69,0.12,72300000,22900000,4400000,-0.6887966804979253,18500000
2019-12-31,107600000,5200000,2020-02-26,0.07,0.1,72500000,53600000,4900000,0.07172413793103448,48700000
2020-03-31,80800000,6200000,2020-04-30,0.08,0.06,72500000,18900000,6200000,0.08551724137931034,12700000
2020-06-30,73900000,-4700000,2020-08-06,-0.07,-0.02,72300000,9300000,4700000,-0.06500691562932227,4600000
2020-09-30,77800000,3000000,2020-10-29,0.04,-0.01,72400000,9000000,6800000,0.04143646408839779,2200000
2020-12-31,72800000,1100000,2021-02-25,0.01,0.03,72600000,25900000,7400000,0.015151515151515152,18500000
2021-03-31,81000000,9900000,2021-04-29,0.14,0.02,72600000,20600000,5200000,0.13636363636363635,15400000
2021-06-30,89300000,12800000,2021-07-29,0.18,0.1,72600000,39000000,9600000,0.1763085399449036,29400000
2021-09-30,84300000,6400000,2021-11-04,0.09,0.13,72700000,7600000,11300000,0.08803301237964237,-3700000
2021-12-31,124700000,6300000,2022-02-24,0.08,0.1,72700000,57000000,27400000,0.08665749656121045,29600000
2022-03-31,59200000,10500000,2022-05-05,0.14,0.11,72800000,7300000,2200000,0.14423076923076922,5100000
2022-06-30,51100000,4100000,2022-07-28,-0.2,-0.39,72800000,-6600000,5800000,0.05631868131868132,-12400000
2022-09-30,49400000,6400000,2022-11-03,0.09,0.14,72800000,8300000,4300000,0.08791208791208792,4000000
2022-12-31,-53000000,-71600000,2023-02-28,-0.9876,0.2,72500000,25000000,6000000,-0.9875862068965517,19000000
2023-03-31,50390000,5336000,2023-05-04,0.07,0.11,72600000,5500000,3000000,0.07349862258953169,2500000
2023-06-30,53116000,13333000,2023-07-27,0.18,0.12,72800000,3700000,13700000,0.1831456043956044,-10000000
2023-09-30,52495000,14600000,2023-11-02,0.16,0.12,72800000,34400000,6400000,0.20054945054945056,28000000
2023-12-31,52900000,-3500000,2024-02-28,-0.05,0.06,72400000,23500000,8100000,-0.04834254143646409,15400000
2024-03-31,61202000,19982000,2024-04-25,0.28,0.13,72666000,16061000,3746000,0.2749841741667355,12315000
2024-06-30,51047000,9108000,2024-07-25,0.13,0.14,72692000,22304000,4265000,0.12529576844769713,18039000
2024-09-30,61944000,19004000,2024-10-24,0.26,0.21,72817000,35309000,33693000,0.2609830122086875,1616000
2024-12-31,62448000,12443000,2025-02-26,0.17,0.15,72853000,24317000,9073000,0.17079598643844454,15244000
2025-03-31,53738000,21433000,2025-04-23,0.29,0.155,72820000,25997000,4169000,0.29432848118648725,21828000
2025-06-30,51702000,25128000,2025-07-23,0.35,0.17,72868000,16495000,4714000,0.3448427293187682,11781000
2025-09-30,50248000,14337000,2025-10-30,0.2,0.17,72947000,24464000,28185000,0.19653995366498964,-3721000
