fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2020-06-30,115001000,4820000,2020-09-02,0.07,0.08,187749943,25666000,7974000,0.025672444545029767,17692000
2020-09-30,136649000,9584000,2020-11-20,0.3,0.1012,189476622,2974000,10117000,0.0505814379570267,-7143000
2020-12-31,164449000,-5095000,2021-02-02,0.12,0.12,190168589,34894000,7789000,-0.02679201663530248,27105000
2021-03-31,175108000,8644000,2021-05-05,0.15,0.14,190860556,57036000,14793000,0.045289609237018046,42243000
2021-06-30,188142000,27669000,2021-07-29,0.18,0.16,191163074,38495000,15346000,0.1447402964444901,23149000
2021-09-30,193610000,33186000,2021-10-28,0.2,0.18,191676422,31381000,18475000,0.17313553567897882,12906000
2021-12-31,186629000,32936000,2022-02-01,0.19,0.18,192068222,48682000,21971000,0.17148073563152993,26711000
2022-03-31,200293000,25616000,2022-05-09,0.21,0.21,192125252,37571000,14149000,0.1333296884888406,23422000
2022-06-30,217753000,10247000,2022-07-28,0.24,0.22,192406276,36553000,14389000,0.05325709853664025,22164000
2022-09-30,237666000,50614000,2022-10-27,0.31,0.26,192639576,55251000,20831000,0.2627393656638862,34420000
2022-12-31,248789000,64519000,2023-01-31,0.35,0.32,193935908,53854000,14343000,0.3326820735023449,39511000
2023-03-31,269445000,61977000,2023-05-10,0.37,0.36,194993241,47548000,30212000,0.3178417861160634,17336000
2023-06-30,278293000,60850000,2023-08-01,0.39,0.37,194991906,49046000,44910000,0.31206423511753356,4136000
2023-09-30,275509000,65617000,2023-11-02,0.4,0.37,195100855,46730000,31191000,0.3363234876648798,15539000
2023-12-31,254984000,33345000,2024-02-01,0.32,0.29,194570380,72558000,34399000,0.1713775755590342,38159000
2024-03-31,240581000,-7115000,2024-05-09,0.25,0.21,193139519,12764000,14272000,-0.0368386544444071,-1508000
2024-06-30,166919000,-17675000,2024-08-01,0.03,0.02,193465708,34196000,10977000,-0.09135986001198725,23219000
2024-09-30,187391000,-33675000,2024-10-31,0.08,0.06,189182850,15547000,9972000,-0.17800239292303716,5575000
2024-12-31,177872000,-6860000,2025-01-30,0.07,0.06,184011189,-8183000,13615000,-0.03728034168617866,-21798000
2025-03-31,192824000,-14800000,2025-05-08,0.06,0.05,184170000,20353000,5391000,-0.08036053646087854,14962000
2025-06-30,203405000,-13227000,2025-07-31,-0.07,0.08,184587027,61618000,10600000,-0.07165725682336278,51018000
2025-09-30,214294000,6519000,2025-10-30,0.13,0.12,186305785,20362000,6444000,0.03499086193163567,13918000
