fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2014-06-30,49003000,-1180000,2014-08-13,-0.0297,,39767000,934000,3228000,-0.029672844318153244,-2294000
2014-09-30,59711000,-5379000,2014-11-12,-0.07,-0.09,44644000,13630000,4219000,-0.12048651554520204,9411000
2014-12-31,55877000,-2521000,2015-03-24,-0.03,-0.07,44648000,12323000,8826000,-0.05646389535925461,3497000
2015-03-31,56886000,-665000,2015-05-13,-0.01,-0.02,44601000,1338000,4175000,-0.014909979596870026,-2837000
2015-06-30,53853000,-6647000,2015-08-12,-0.09,-0.11,44849000,2503000,3440000,-0.14820843274097528,-937000
2015-09-30,63868000,-3008000,2015-11-12,-0.01,-0.13,45310000,3553000,4312000,-0.0663871110130214,-759000
2015-12-31,76912000,7533000,2016-03-14,0.19,-0.04,44961000,3287000,4120000,0.16754520584506571,-833000
2016-03-31,59366000,2489000,2016-05-09,0.12,-0.03,46810000,13930000,3946000,0.05317239906002991,9984000
2016-06-30,68033000,6895000,2016-08-08,0.23,0.01,45968000,9326000,5398000,0.14999564914723285,3928000
2016-09-30,64223000,3890000,2016-11-08,0.14,0.03,47953000,1298000,6701000,0.08112109774153858,-5403000
2016-12-31,63543000,-2742000,2017-03-13,0.01,-0.01,46104000,14006000,5337000,-0.05947423217074441,8669000
2017-03-31,56670000,893000,2017-05-08,0.09,0.07,48057000,22398000,7267000,0.018582100422415048,15131000
2017-06-30,65187000,1972000,2017-08-09,0.11,0.07,47866000,4574000,6301000,0.04119834538085489,-1727000
2017-09-30,57916000,175000,2017-11-08,0.07,0.02,48215000,2472000,11413000,0.003629575858135435,-8941000
2017-12-31,60402000,1468000,2018-03-12,0.1,-0.02,49330000,9765000,10118000,0.02975876748428948,-353000
2018-03-31,58393000,-7246000,2018-05-09,-0.05,0.08,46514000,8360000,12340000,-0.15578105516618654,-3980000
2018-06-30,71040000,-2790000,2018-08-08,0.03,0.07,46557000,4533000,12251000,-0.059926541658612026,-7718000
2018-09-30,75543000,2389000,2018-11-08,0.12,0.11,48281000,15781000,12635000,0.04948116236200576,3146000
2018-12-31,89690000,1867000,2019-03-12,0.13,0.11,49181000,9517000,9582000,0.0379618145218682,-65000
2019-03-31,79790000,868000,2019-05-09,0.1,0.04,50416000,-3610000,14895000,0.017216756585211043,-18505000
2019-06-30,79047000,47787000,2019-08-07,0.08,0.03,49894000,51723000,9572000,0.9577704734036157,42151000
2019-09-30,80137000,1310000,2019-11-07,0.1,0.07,50075000,-12003000,8678000,0.026160758861707437,-20681000
2019-12-31,83383000,-1026000,2020-03-12,0.07,0.07,46840000,5652000,8410000,-0.021904355251921435,-2758000
2020-03-31,84688000,3949000,2020-05-07,0.17,0.09,48248000,1477000,8006000,0.08184795224672525,-6529000
2020-06-30,85806000,-192000,2020-08-06,0.16,0.14,46753000,30089000,10889000,-0.004106688340855132,19200000
2020-09-30,83431000,3919000,2020-11-06,0.15,0.14,49848000,8807000,5631000,0.07861900176536671,3176000
2020-12-31,95921000,-6273000,2021-03-15,0.16,0.14,47496000,16893000,9329000,-0.13207427993936333,7564000
2021-03-31,103020000,5041000,2021-05-06,0.27,0.18,49518000,22825000,7618000,0.10180136516014379,15207000
2021-06-30,101663000,7767000,2021-08-09,0.21,0.21,49552000,32159000,5741000,0.156744430093639,26418000
2021-09-30,112198000,29548000,2021-11-08,0.46,0.24,50009000,2569000,7219000,0.5908536463436581,-4650000
2021-12-31,120887000,19760000,2022-03-10,0.42,0.36,50057000,40441000,6878000,0.39474998501708053,33563000
2022-03-31,120368000,24253000,2022-05-10,0.47,0.36,51979000,50765000,6139000,0.46659227765058964,44626000
2022-06-30,123467000,17346000,2022-08-08,0.39,0.35,53227000,2815000,5962000,0.32588723768012473,-3147000
2022-09-30,120129000,15874000,2022-11-07,0.38,0.39,52788000,20375000,5623000,0.3007122830946427,14752000
2022-12-31,135023000,33913000,2023-02-28,0.73,0.41,51716000,15226000,6310000,0.6557545053755124,8916000
2023-03-31,140022000,26032000,2023-05-09,0.62,0.48,51970000,40382000,9477000,0.5009043679045603,30905000
2023-06-30,145712000,26124000,2023-08-08,0.65,0.56,53102000,54923000,9054000,0.49195887160558927,45869000
2023-09-30,180556000,49222000,2023-11-08,1.15,0.69,53921000,64334000,10193000,0.9128539900966228,54141000
2023-12-31,178105000,36167000,2024-02-29,0.88,0.93,53014000,23864000,9442000,0.6822160184102313,14422000
2024-03-31,171836000,43177000,2024-05-10,1.04,0.96,53013000,55291000,8793000,0.8144606040027917,46498000
2024-06-30,182394000,37949000,2024-08-07,0.94,0.77,52046000,69109000,6044000,0.7291434500249779,63065000
2024-09-30,188819000,40429000,2024-11-06,0.96,1.0,51862000,59962000,13793000,0.7795495738691142,46169000
2024-12-31,186523000,37964000,2025-02-26,0.92,0.9383,52058000,29024000,12411000,0.7292635137730993,16613000
2025-03-31,170528000,25285000,2025-05-06,0.74,0.6877,49890000,35077000,10697000,0.506814992984566,24380000
2025-06-30,174414000,31030000,2025-08-07,0.85,0.74,48128000,35592000,10565000,0.6447390292553191,25027000
2025-09-30,191840000,17350000,2025-11-10,0.93,0.8523,47677000,52583000,5348000,0.36390712502883993,47235000
