fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,5196400000,129300000,2005-10-27,0.41,0.39,267200000,245400000,34400000,0.4839071856287425,211000000
2005-12-31,4460500000,75300000,2006-02-09,0.31,0.33,267400000,146100000,39600000,0.28160059835452506,106500000
2006-03-31,4674000000,87200000,2006-04-27,0.37,0.37,262800000,83400000,19800000,0.3318112633181126,63600000
2006-06-30,5010800000,72700000,2006-07-27,0.42,0.43,225200000,69700000,29100000,0.3228241563055062,40600000
2006-09-30,4961500000,81800000,2006-10-26,0.4,0.43,215000000,220700000,87600000,0.38046511627906976,133100000
2006-12-31,4421000000,75200000,2007-02-07,0.35,0.34,210700000,-74700000,39200000,0.35690555291884196,-113900000
2007-03-31,4395300000,77600000,2007-04-26,0.39,0.4,210700000,106700000,42400000,0.368296155671571,64300000
2007-06-30,4559300000,77300000,2007-07-26,0.38,0.42,208600000,-136400000,36800000,0.37056567593480344,-173200000
2007-09-30,4601800000,72100000,2007-10-24,0.39,0.38,196100000,149700000,49400000,0.3676695563488016,100300000
2007-12-31,4203100000,51700000,2008-02-07,0.27,0.31,180600000,88400000,31200000,0.2862679955703212,57200000
2008-03-31,3999400000,50700000,2008-04-24,0.31,0.34,180600000,191900000,21700000,0.2807308970099668,170200000
2008-06-30,3909600000,51800000,2008-07-24,0.33,0.3,178700000,138900000,19400000,0.28987129266927814,119500000
2008-09-30,3543400000,-1412700000,2008-11-06,0.25,0.29,176700000,236600000,56100000,-7.99490662139219,180500000
2008-12-31,2724300000,67100000,2009-01-29,0.12,0.11,177000000,118000000,20200000,0.3790960451977401,97800000
2009-03-31,2473100000,34600000,2009-04-23,0.23,0.16,176800000,123800000,20300000,0.19570135746606335,103500000
2009-06-30,2609600000,36700000,2009-07-31,0.29,0.24,177800000,107100000,13700000,0.2064116985376828,93400000
