fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,16458000,-3118000,2005-11-03,-0.13,-0.11,24161000,-7923000,174000,-0.12905094987790242,-8097000
2005-12-31,17961000,-681000,2006-02-22,-0.1,-0.11,24758000,-6030000,325000,-0.027506260602633493,-6355000
2006-03-31,19449000,-1780000,2006-05-03,-0.08,-0.09,24758000,-411000,185000,-0.07189595282332983,-596000
2006-06-30,20754000,217000,2006-08-03,-0.0011,-0.07,24807000,-3487000,807000,0.008747530938847906,-4294000
2006-09-30,20018000,1978000,2006-11-02,-0.01,0.0,25118000,1029000,417000,0.07874830798630464,612000
2006-12-31,21090000,-50000,2007-02-20,-0.01,0.0,25519000,1798000,233000,-0.0019593244249382813,1565000
2007-03-31,24524000,1354000,2007-05-01,0.04,0.04,25519000,1140000,271000,0.05305850542732866,869000
2007-06-30,23011000,1291000,2007-07-31,0.07,0.04,26333000,286000,143000,0.04902593703717768,143000
2007-09-30,22160000,1907000,2007-11-01,0.07,0.05,28056000,3462000,167000,0.0679712004562304,3295000
2007-12-31,25068000,2649000,2008-02-21,0.1,0.06,28002000,4404000,626000,0.09460038568673666,3778000
2008-03-31,25568000,2765000,2008-04-30,0.1,0.08,28002000,352000,401000,0.09874294693236198,-49000
2008-06-30,27155000,3888000,2008-07-31,0.14,0.1,28381000,2483000,362000,0.13699305873647863,2121000
2008-09-30,26804000,3556000,2008-10-30,0.12,0.09,28703000,3834000,654000,0.12388948890359892,3180000
2008-12-31,25532000,22699000,2009-02-19,0.09,0.1,28230000,2868000,321000,0.804073680481757,2547000
2009-03-31,26688000,1949000,2009-04-30,0.07,0.07,28230000,1594000,679000,0.06904002833864684,915000
2009-06-30,28163,2502,2009-07-30,0.09,0.08,28174000,2390000,296000,8.880528146518066e-05,2094000
2009-09-30,28219000,1862000,2009-10-29,0.07,0.08,28382000,6173000,366000,0.06560496089070537,5807000
2009-12-31,28615000,2366000,2010-02-18,0.09,0.08,28539000,6415000,349000,0.08290409614912926,6066000
2010-03-31,29717000,1934000,2010-04-28,0.08,0.08,28539000,3940000,481000,0.06776691544903465,3459000
2010-06-30,29263000,2926000,2010-07-29,0.1,0.09,28483000,6098000,346000,0.10272794298353403,5752000
2010-09-30,28443000,-3031000,2010-11-04,0.09,0.09,27783000,3784000,648000,-0.109095490047871,3136000
2010-12-31,29222000,2115000,2011-02-17,0.09,0.07,27720000,7015000,6057000,0.0762987012987013,958000
2011-03-31,30196000,1666000,2011-04-28,0.09,0.08,27720000,3866000,274000,0.0601010101010101,3592000
2011-06-30,29379000,1820000,2011-07-28,0.12,0.06,27745000,4026000,912000,0.06559740493782663,3114000
2011-09-30,29654000,2019000,2011-10-27,0.08,0.08,27850000,5815000,807000,0.07249551166965888,5008000
2011-12-31,30397000,1866000,2012-02-16,0.07,0.06,27530000,3044000,545000,0.06778060297856883,2499000
2012-03-31,32301000,991000,2012-04-26,0.08,0.05,27530000,1805000,700000,0.035997094079186345,1105000
2012-06-30,33188000,3334000,2012-07-31,0.02,0.03,27177000,3123000,848000,0.12267726386282518,2275000
2012-09-30,33429000,1538000,2012-10-30,0.06,0.04,27210000,6080000,662000,0.05652333700845277,5418000
2012-12-31,32800000,2083000,2013-02-14,0.07,0.05,27357000,7982000,860000,0.07614138977227035,7122000
2013-03-31,35536000,2192000,2013-04-30,0.08,0.07,27488000,-1169000,988000,0.07974388824214203,-2157000
2013-06-30,33520000,1785000,2013-07-25,0.06,0.07,27369000,5204000,1269000,0.06521977419708429,3935000
2013-09-30,36250000,3169000,2013-10-29,0.11,0.05,27699000,7272000,984000,0.1144084623993646,6288000
2013-12-31,35457000,9026000,2014-02-20,0.08,0.35,28208000,5465000,1097000,0.3199801474758934,4368000
2014-03-31,35731000,1059000,2014-04-29,0.04,0.07,28463000,-2038000,1037000,0.037206197519586835,-3075000
2014-06-30,34690000,2161000,2014-07-24,0.05,0.05,28317000,2867000,1235000,0.07631458134689409,1632000
2014-09-30,37069000,2326000,2014-10-28,0.08,0.05,28268000,2504000,953000,0.08228385453516343,1551000
2014-12-31,37151000,1776000,2015-02-17,0.07,0.05,27523000,4785000,2095000,0.06452784943501798,2690000
2015-03-31,33831000,-274000,2015-04-28,0.04,0.0,27523000,1298000,1055000,-0.009955310104276423,243000
2015-06-30,35526000,-502000,2015-07-28,-0.05,0.01,27713000,3896000,1137000,-0.018114242413307835,2759000
2015-09-30,36703000,2145000,2015-10-27,0.07,0.01,28596000,4833000,994000,0.07501049097775912,3839000
2015-12-31,39838000,2636000,2016-02-15,0.09,0.05,28687000,1415000,917000,0.09188831177885454,498000
2016-03-31,43016000,2541000,2016-04-27,0.08,0.03,31771000,1410000,820000,0.07997859683359038,590000
2016-06-30,47083000,2347000,2016-07-25,0.07,0.02,32764000,4428000,2014000,0.07163350018312782,2414000
2016-09-30,45252000,2993000,2016-10-26,0.13,0.05,33165000,8836000,1903000,0.09024574099200965,6933000
2016-12-31,45029000,2897000,2017-02-15,0.12,0.09,33443000,5045000,2687000,0.08662500373770296,2358000
2017-03-31,45059000,2223000,2017-04-26,0.09,0.04,33604000,3869000,2034000,0.06615283894774432,1835000
2017-06-30,47818000,3163000,2017-07-24,0.12,0.1,33814000,-1847000,2301000,0.0935411368072396,-4148000
2017-09-30,43999000,1325000,2017-10-30,0.08,0.08,34057000,2804000,1049000,0.038905364535925066,1755000
2017-12-31,52826000,-3007000,2018-03-07,0.11,0.11,34025000,5977000,1657000,-0.08837619397501836,4320000
2018-03-31,61948000,-3855000,2018-05-02,0.02,0.02,36146000,-9727000,2116000,-0.10665080506833398,-11843000
2018-06-30,68496000,226000,2018-08-06,0.1,0.07,37249000,767000,1237000,0.006067276973878493,-470000
2018-09-30,64598000,1565000,2018-10-31,0.08,0.07,37610000,8320000,922000,0.041611273597447485,7398000
2018-12-31,67799000,-1741000,2019-02-13,0.05,0.11,36652000,10521000,1511000,-0.04750081850922187,9010000
2019-03-31,67505000,-297000,2019-04-30,0.04,0.04,36778000,1161000,1194000,-0.008075479906465823,-33000
2019-06-30,71139000,2832000,2019-07-30,0.11,0.07,37838000,746000,2150000,0.07484539351974207,-1404000
2019-09-30,67881000,-134000,2019-10-30,0.06,0.06,37255000,12860000,1878000,-0.0035968326399141055,10982000
2019-12-31,69697000,-681000,2020-02-13,0.1,0.08,37274000,1060000,2850000,-0.018270107849975854,-1790000
2020-03-31,66429000,-6665000,2020-04-30,-0.08,0.02,37390000,2635000,2539000,-0.17825621824017118,96000
2020-06-30,53771000,-3689000,2020-07-30,-0.02,-0.14,37520000,-3395000,1237000,-0.09832089552238805,-4632000
2020-09-30,65131000,-2870000,2020-11-04,0.13,-0.04,37912000,7679000,1395000,-0.07570162481536188,6284000
2020-12-31,67896000,-3458000,2021-02-11,0.2,0.03,38613000,5450000,2157000,-0.08955533110610416,3293000
2021-03-31,71087000,-3138000,2021-04-29,0.03,-0.09,38738000,-3039000,1502000,-0.08100573080695958,-4541000
2021-06-30,76148000,-2178000,2021-07-29,0.12,-0.05,38943000,2647000,5747000,-0.05592789461520684,-3100000
2021-09-30,72207000,10582000,2021-11-04,-0.05,-0.02,44453000,-2909000,4001000,0.23804917553370977,-6910000
2021-12-31,79394000,-20100000,2022-02-17,-0.51,-0.06,39161000,716000,2567000,-0.513265749087102,-1851000
2022-03-31,77213000,-3389000,2022-05-05,0.03,-0.12,39850000,-598000,2239000,-0.0850439146800502,-2837000
2022-06-30,80340000,-4259000,2022-08-04,-0.03,-0.07,40031000,-8314000,1816000,-0.10639254577702281,-10130000
2022-09-30,76838000,-13713000,2022-11-03,-0.05,-0.11,40115000,3976000,3992000,-0.34184220366446466,-16000
2022-12-31,79398000,2169000,2023-02-16,0.05,-0.12,40509000,-217000,2668000,0.05354365696511886,-2885000
2023-03-31,83229000,-13532000,2023-05-04,-0.33,-0.14,40432000,-6154000,2843000,-0.3346853977047883,-8997000
2023-06-30,89251000,-3382000,2023-08-03,-0.07,-0.08,40755000,6909000,2172000,-0.08298368298368299,4737000
2023-09-30,87854000,-9801000,2023-11-02,-0.24,-0.06,40881000,7232000,1474000,-0.23974462464225435,5758000
2023-12-31,93670000,-3975000,2024-02-15,-0.1,-0.1,40898000,10838000,1927000,-0.09719301677343635,8911000
2024-03-31,97431000,7533000,2024-05-06,0.06,-0.09,47886000,-5493000,3611000,0.15731111389550181,-9104000
2024-06-30,98019000,-2121000,2024-08-08,-0.05,-0.02,41683000,6135000,2513000,-0.05088405345104719,3622000
2024-09-30,95779000,-2288000,2024-11-07,-0.05,-0.06,41844000,11455000,3639000,-0.054679284963196635,7816000
2024-12-31,97308000,-16483000,2025-02-13,-0.3936,0.0375,41882000,10139000,1425000,-0.39355809178167234,8714000
2025-03-31,98978000,-505000,2025-05-05,-0.012,0.045,42232000,-16953000,3638000,-0.011957757150975563,-20591000
2025-06-30,112972000,1345000,2025-08-08,0.03,-0.0033,45378000,15011000,3287000,0.029639913614526864,11724000
2025-09-30,113388000,6502000,2025-11-06,0.16,0.03,48775000,20512000,4609000,0.13330599692465403,15903000
