fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2002-11-30,39832.0,-309796,2002-11-30,-0.3831,,808730,,0,-0.38306480531203246,
2003-02-28,487299.0,-154983,2003-02-28,-0.1878,,820014,,0,-0.1890004316999466,
2003-05-31,565966.0,-225170,2003-05-31,-0.18,,846364,-176597.0,2950,-0.26604392436351265,-179547.0
2003-08-31,532215.0,-226641,2003-08-31,-0.2678,,846364,-311550.0,153606,-0.26778194724728366,-465156.0
2003-11-30,762252.0,-215721,2003-11-30,-0.2442,,1060084,-285800.0,67153,-0.20349425139894575,-352953.0
2004-02-29,1008923.0,6411,2004-02-29,0.0063,,1016316,329984.0,11133,0.00630807740899484,318851.0
2004-08-31,1435952.0,-49327,2004-08-31,-0.036,,1369184,-177522.0,56510,-0.03602656764905228,-234032.0
2004-11-30,437989.0,-484857,2004-11-30,-0.3541,,1369184,-585700.0,544,-0.3541211407670554,-586244.0
2005-02-28,631197.0,-413136,2005-02-28,-0.3017,,1369184,-378549.0,28727,-0.30173884591114125,-407276.0
2005-05-31,805733.0,-464325,2005-05-31,-0.3,,1547749,-259583.0,3014,-0.3000001938298781,-262597.0
2005-08-31,1218460.0,-631384,2005-08-31,-0.4611,,1369184,-552790.0,54005,-0.46113889732862784,-606795.0
2005-11-30,1519510.0,-252716,2005-11-30,-0.1846,,1369184,-400074.0,6472,-0.184574169724449,-406546.0
2006-02-28,914268.0,-364062,2006-02-28,-0.2659,,1369201,65944.0,56503,-0.265893758476659,9441.0
2006-05-31,217724.0,-1009397,2006-05-31,-0.7372,,1369204,-777818.0,14253,-0.7372144691368123,-792071.0
2006-08-31,605360.0,-579019,2006-10-13,-0.07,,1369201,-538922.0,18772,-0.42288823919935786,-557694.0
2006-11-30,654667.0,-642178,2007-01-16,-0.08,,1369184,-604440.0,34014,-0.4690224250356417,-638454.0
2007-02-28,182712.0,-720963,2007-04-13,-0.09,,1369201,-945946.0,5587,-0.5265574594234156,-951533.0
2007-05-31,104118.0,-846226,2007-05-31,-0.618,,1375110,-637150.0,22163,-0.6153878598803005,-659313.0
2007-08-31,46201.0,-908169,2007-10-12,-0.11,,1375107,-559863.0,35108,-0.6604351515918397,-594971.0
