fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2010-09-30,458651000,24140000,2010-12-31,1.9875,0.0,97757567,330841000,1058000,0.24693740587876947,329783000
2010-12-31,1348373000,206283000,2011-03-31,0.354,0.0,97945721,-435700000,2374000,2.1060950687166824,-438074000
2011-03-31,696342000,38156000,2011-05-12,1.1,0.78,98509109,906383000,2821000,0.38733473876004704,903562000
2011-06-30,308876000,-50989000,2011-08-09,1.15,0.37,120963248,-341908000,9304000,-0.4215247262540437,-351212000
2011-09-30,-1479580000,-466926000,2011-11-03,-9.32,-0.68,122381069,89343000,7806000,-3.815345002420268,81537000
2011-12-31,645994000,10933000,2012-02-10,0.8,1.41,123630833,90003000,1354000,0.08843263233533337,88649000
2012-03-31,776743000,98043000,2012-05-08,1.1,0.78,127515663,-290184000,831000,0.7688702524332246,-291015000
2012-06-30,211628000,-41386000,2012-08-02,0.05,-0.11,126457443,230708000,3455000,-0.3272721558983286,227253000
2012-09-30,712373000,82791000,2012-11-09,0.98,0.74,131635202,519909000,3815000,0.6289427048548913,516094000
2012-12-31,1159221000,171509000,2013-02-08,1.69,1.05,132678221,-194882000,3158000,1.2926688246746993,-198040000
2013-03-31,1309073000,248978000,2013-05-06,1.89,1.22,136019801,885125000,1352000,1.830454082196459,883773000
2013-06-30,497261000,58737000,2013-08-08,0.5,0.5,137289147,931207000,3317000,0.42783425553660115,927890000
2013-09-30,1132089000,192516000,2013-11-07,1.34,0.94,146212984,-889303000,2106000,1.3166819712810183,-891409000
2013-12-31,795148000,159160000,2014-02-07,1.06,0.81,148542859,98353000,802000,1.0714752703123884,97551000
2014-03-31,491400000,72169000,2014-05-08,0.55,0.58,147776519,389178000,1520000,0.488365814057374,387658000
2014-06-30,572152000,71668000,2014-08-06,0.52,0.66,152852427,548134000,1190000,0.46887054007981177,546944000
2014-09-30,221135000,2210000,2014-10-30,0.12,0.38,158466602,-1225424000,1623000,0.013946156301123943,-1227047000
2014-12-31,275396000,22182000,2015-02-05,0.23,0.38,162107977,-84805000,1616000,0.13683472220494122,-86421000
2015-03-31,303024000,30927000,2015-05-07,0.23,0.36,165968620,-469026000,2803000,0.18634245437480892,-471829000
2015-06-30,351727000,56428000,2015-07-29,0.38,0.35,170431430,779554000,1427000,0.331089165889179,778127000
2015-09-30,193268000,41051000,2015-10-28,0.26,-0.11,176169986,255232000,785000,0.23301926129459988,254447000
2015-12-31,193651000,6091000,2016-02-03,0.08,0.26,180448758,16913000,1188000,0.0337547349591622,15725000
2016-03-31,120826000,-32828000,2016-05-05,-0.18,0.04,182665330,124194000,2309000,-0.17971664354697195,121885000
2016-06-30,660447000,174092000,2016-08-03,0.98,0.21,183695920,177984000,1394000,0.9477183815514247,176590000
2016-09-30,503731000,91366000,2016-10-28,0.58,0.46,184438515,270993000,1218000,0.4953737563978977,269775000
2016-12-31,685380000,161071000,2017-02-03,0.98,0.81,185146949,42089000,1435000,0.8699630259637711,40654000
2017-03-31,682104000,140073000,2017-04-28,0.82,0.64,186537367,204834000,1002000,0.750911210192004,203832000
2017-06-30,449708000,88385000,2017-08-02,0.46,0.49,190591756,211727000,2614000,0.46373989019755923,209113000
2017-09-30,711720000,196469000,2017-11-01,1.07,0.59,192882082,250923000,2313000,1.0185964292940388,248610000
2017-12-31,869518000,183174000,2018-02-01,1.22,0.66,198738458,140774000,2600000,0.9216837135769665,138174000
2018-03-31,166903000,-63646000,2018-05-03,-0.3,-0.21,198432603,41527000,2174000,-0.3207436632779544,39353000
2018-06-30,523316000,59457000,2018-08-02,0.27,0.54,200711475,353548000,2934000,0.2962311945542725,350614000
