fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,1004627000,-16802000,2005-11-08,-0.21,-0.23,80722000,-466000,106332000,-0.20814647803572756,-106798000
2005-12-31,2283820000,71027000,2006-02-07,0.88,0.82,80722000,-195369000,102465000,0.8798964346770397,-297834000
2006-03-31,2033846000,88796000,2006-05-04,1.1,1.09,81040000,343760000,110765000,1.095705824284304,232995000
2006-06-30,863243000,-18145000,2006-08-09,-0.07,0.03,80840000,75052000,109461000,-0.22445571499257794,-34409000
2006-09-30,971454000,6059000,2006-11-07,0.25,0.06,83350000,88006000,102633000,0.07269346130773845,-14627000
2006-12-31,1602633000,81261000,2007-02-06,0.97,0.92,83350000,164969000,86986000,0.9749370125974806,77983000
2007-03-31,2075582000,106505000,2007-05-02,1.2,1.18,88735000,346958000,85806000,1.2002591987378148,261152000
2007-06-30,1218152000,-13360000,2007-08-07,-0.13,-0.09,88366000,40743000,90231000,-0.1511893714777177,-49488000
2007-09-30,1002064000,-5914000,2007-11-07,-0.05,-0.09,89608000,-5575000,129412000,-0.06599857155611107,-134987000
2007-12-31,1657510000,73803000,2008-02-05,0.82,0.84,89608000,61437000,94155000,0.8236206588697438,-32718000
2008-03-31,2483985000,111534000,2008-05-01,1.24,1.34,89990000,417755000,104567000,1.2394043782642516,313188000
2008-06-30,1639145000,-6588000,2008-08-05,-0.07,-0.06,89648000,-61811000,114156000,-0.07348741745493485,-175967000
2008-09-30,1440665000,1582000,2008-11-11,0.02,-0.03,91066000,-46448000,159395000,0.01737201590055564,-205843000
2008-12-31,1716332000,75963000,2009-02-03,0.83,0.78,90769000,150715000,107367000,0.8368826361422953,43348000
2009-03-31,1821406000,129003000,2009-04-30,1.33,1.31,91192000,463907000,113963000,1.4146306693569612,349944000
2009-06-30,780775000,1964000,2009-08-04,-0.04,-0.1,91652000,209972000,120996000,0.021428883166761226,88976000
2009-09-30,650567000,-15952000,2009-11-10,-0.08,-0.06,92509000,94639000,167168000,-0.17243727637310965,-72529000
2009-12-31,1292852000,93330000,2010-02-02,1.0,0.91,92509000,95156000,115439000,1.0088748121804365,-20283000
2010-03-31,1940266000,114126000,2010-05-05,1.44,1.45,92853000,388302000,117190000,1.2291040677199445,271112000
2010-06-30,761305000,-3154000,2010-08-04,0.09,,92648000,111106000,129720000,-0.03404282877126327,-18614000
2010-09-30,786315000,1537000,2010-11-03,0.02,-0.06,90408000,131912000,180287000,0.01700070790195558,-48375000
2010-12-31,1133262000,73997000,2011-02-08,0.81,0.85,90408000,45824000,123162000,0.8184784532342271,-77338000
2011-03-31,1581497000,132209000,2011-05-04,1.36,1.4,90533000,392647000,123501000,1.4603404283520927,269146000
2011-06-30,843615000,-566000,2011-08-03,0.04,0.09,90127000,81091000,143620000,-0.0062800270729082295,-62529000
2011-09-30,789260000,1961000,2011-11-09,0.06,0.04,90546000,63282000,232682000,0.02165750005522055,-169400000
2011-12-31,1083994000,68507000,2012-02-07,0.61,0.85,90546000,-15291000,154394000,0.7565988558301857,-169685000
2012-03-31,1225509000,109111000,2012-05-02,1.28,1.44,90322000,376014000,156729000,1.2080224087154845,219285000
2012-06-30,576414000,31132000,2012-08-08,0.32,0.15,90993000,158083000,186251000,0.34213620827975777,-28168000
2012-09-30,508029000,7967000,2012-11-07,0.03,0.08,91309000,68111000,235484000,0.08725317329069424,-167373000
2012-12-31,1034155000,80465000,2013-02-06,0.71,0.77,91309000,29858000,190027000,0.8812384321370292,-160169000
2013-03-31,1308996000,116425000,2013-05-01,1.25,1.22,91492000,346483000,199090000,1.2725156297818387,147393000
2013-06-30,857935000,38768000,2013-08-06,0.42,0.37,91550000,133234000,193356000,0.4234625887493173,-60122000
2013-09-30,685171000,7536000,2013-11-06,0.08,0.12,91818000,103552000,262560000,0.08207541005031693,-159008000
2013-12-31,1243858000,87016000,2014-02-04,0.88,0.83,91746000,34300000,180567000,0.9484446188389685,-146267000
