fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,20421000,790000,2005-11-08,0.0976,,18245520,1242000,432000,0.04329830007585424,810000
2005-12-31,20436000,1057000,2006-02-09,0.1299,,15672286,3642000,733000,0.06744389427298608,2909000
2006-03-31,24926000,1210000,2006-05-11,0.1486,,18806743,-2805000,645000,0.06433862577906233,-3450000
2006-06-30,29039000,2015000,2006-08-03,0.245,,18890272,1536000,962000,0.10666865993247741,574000
2006-09-30,28540000,1913000,2006-11-09,0.2315,,19030771,-1385000,693000,0.10052141345193004,-2078000
2006-12-31,28262000,598000,2007-03-13,0.0955,,16135985,2607000,3100000,0.0370600245352236,-493000
2007-03-31,42875000,4695000,2007-05-08,0.26,0.1,19363182,-3529000,3045000,0.24247047825094037,-6574000
2007-06-30,41368000,4501000,2007-08-02,0.24,0.11,19613825,-1200000,2872000,0.22948099108664424,-4072000
2007-09-30,37724000,4126000,2007-11-02,0.22,0.12,19852589,6092000,1649000,0.2078318349309503,4443000
2007-12-31,36273000,2069000,2008-02-14,0.11,0.14,16538370,7238000,2026000,0.12510301801205317,5212000
2008-03-31,41089000,2647000,2008-05-01,0.14,0.19,24806978,-315000,1011000,0.10670384760288013,-1326000
2008-06-30,47889000,5116000,2008-08-01,0.27,0.14,24518283,5750000,1119000,0.20866061461155336,4631000
2008-09-30,40363000,2379000,2008-10-30,0.13,0.19,24684572,-1798000,1058000,0.09637598739812057,-2856000
2008-12-31,44381000,-1781000,2009-02-12,-0.01,0.18,20724447,7868000,1137000,-0.08593715431827928,6731000
2009-03-31,50015000,1401000,2009-05-04,0.07,0.17,24869337,2916000,968000,0.05633443304097733,1948000
2009-06-30,47024000,1956000,2009-07-30,0.1,0.12,25474441,6560000,583000,0.0767828428502121,5977000
2009-09-30,48586000,2496000,2009-11-05,0.13,0.08,25476751,15606000,427000,0.09797167621569956,15179000
2009-12-31,45576000,-9655000,2010-02-09,0.14,0.06,21105524,6006000,488000,-0.4574631740960329,5518000
2010-03-31,46936000,3400000,2010-05-05,0.18,0.05,25326629,1573000,875000,0.1342460538273767,698000
2010-06-30,47089000,2430000,2010-07-29,0.13,0.11,26072617,5887000,611000,0.09320123100799586,5276000
2010-09-30,49906000,4647000,2010-11-04,0.23,0.13,26190405,7146000,1088000,0.17743139138169112,6058000
2010-12-31,195754000,14948000,2011-02-08,0.22,0.19,26061069,1897000,994000,0.5735758575367725,903000
2011-03-31,55128000,5209000,2011-05-04,0.26,0.18,26855978,-3455000,754000,0.19396054018215236,-4209000
2011-06-30,55475000,4548000,2011-08-09,0.22,0.24,27028145,6611000,6225000,0.16826903955117897,386000
2011-09-30,56404000,6665000,2011-11-03,0.33,0.24,31210547,9765000,5896000,0.21354960552277408,3869000
2011-12-31,61156000,5169000,2012-02-06,0.33,0.25,22945123,14987000,1406000,0.22527663068095125,13581000
2012-03-31,65138000,6095000,2012-05-01,0.29,0.28,27533966,4789000,1665000,0.2213629522169091,3124000
2012-06-30,64989000,5194000,2012-08-07,0.25,0.3,27585086,4169000,2831000,0.1882901506995483,1338000
2012-09-30,68899000,4930000,2012-11-06,0.21,0.27,33060477,8177000,6074000,0.14912065545817746,2103000
2012-12-31,67420000,5655000,2013-02-05,0.23,0.23,27773137,7043000,6150000,0.20361401738665674,893000
2013-03-31,73967000,8564000,2013-05-06,0.35,0.27,33248528,14326000,1828000,0.2575753128078332,12498000
2013-06-30,70833000,5158000,2013-07-31,0.21,0.29,33239399,2993000,1843000,0.1551772942705733,1150000
2013-09-30,89681000,7155000,2013-11-05,0.25,0.24,40277622,16829000,1162000,0.17764206635635044,15667000
2013-12-31,105456000,6389000,2014-02-13,0.21,0.28,34011687,15401000,2035000,0.18784719499506156,13366000
2014-03-31,140951000,7507000,2014-05-07,0.25,0.32,34464470,2573000,16906000,0.21781852441079175,-14333000
2014-06-30,174563000,13144000,2014-07-30,0.44,0.33,34442561,20657000,6185000,0.38162086727522965,14472000
2014-09-30,179442000,17080000,2014-11-04,0.57,0.55,39677867,45319000,6880000,0.4304666881412753,38439000
2014-12-31,166083000,18439000,2015-02-19,0.61,0.48,34492769,31325000,10911000,0.5345758121071694,20414000
2015-03-31,161638000,10683000,2015-05-12,0.36,0.54,34685207,26779000,7059000,0.30799873848237375,19720000
2015-06-30,173156000,17690000,2015-08-05,0.58,0.51,34730172,-5904000,5218000,0.509355381251783,-11122000
2015-09-30,200145000,24694000,2015-11-10,0.82,0.79,39873375,22299000,3580000,0.6193105048168107,18719000
2015-12-31,157340000,13907000,2016-02-17,0.46,0.51,34764557,35327000,2784000,0.40003386207395075,32543000
2016-03-31,159530000,11485000,2016-05-04,0.38,0.45,34912850,543000,2450000,0.3289619724542683,-1907000
2016-06-30,164426000,14980000,2016-08-03,0.5,0.42,34759900,22776000,3726000,0.4309563606339489,19050000
2016-09-30,155099000,12074000,2016-11-08,0.41,0.49,34279200,1831000,3693000,0.3522252561319984,-1862000
2016-12-31,154068000,9885000,2017-02-17,0.33,0.45,34203300,23704000,3168000,0.28900720105954686,20536000
2017-03-31,152396000,11587000,2017-05-04,0.38,0.32,34709300,6370000,2767000,0.33382983811255196,3603000
2017-06-30,151114000,7685000,2017-08-02,0.26,0.42,34602350,-1844000,2983000,0.22209474212011612,-4827000
2017-09-30,149636000,6060000,2017-11-07,0.21,0.31,33350000,17787000,3965000,0.18170914542728636,13822000
2017-12-31,171318000,-5653000,2018-02-26,0.42,0.45,32504750,15470000,3763000,-0.17391304347826086,11707000
2018-03-31,179059000,3294000,2018-05-09,0.11,0.37,33014000,-1054000,4346000,0.09977585266856485,-5400000
2018-06-30,208606000,14025000,2018-08-03,0.49,0.4,33122000,9164000,4149000,0.42343457520681116,5015000
2018-09-30,212674000,16999000,2018-11-05,0.52,0.49,32969000,7249000,3921000,0.5156055688677242,3328000
2018-12-31,202917000,12485000,2019-02-21,0.37,0.36,33344000,39522000,3901000,0.37443018234165065,35621000
2019-03-31,208174000,78146000,2019-05-08,0.5,0.32,33214000,11354000,3474000,2.352803034864816,7880000
