fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,1763213.0,-5539930.33,2005-11-04,-4.0,-3.0,1654940,-3353821.22,13304.07,-3.347511287418275,-3367125.29
2005-12-31,-1130630.58,-9415855.22,2006-03-14,-5.5,-4.57,1684440,-5161087.18,613179.11,-5.5899024126712735,-5774266.29
2006-03-31,1369016.0,-4599416.71,2006-05-15,-3.0,-6.5,1684440,-6445359.41,228169.5,-2.7305316366270094,-6673528.91
2006-06-30,936995.0,-5982767.91,2006-08-03,-4.0,-4.0,1685920,-4659469.17,60827.09,-3.548666550014236,-4720296.26
2006-09-30,519433.0,-6261866.38,2006-11-14,-4.0,-4.5,1685920,-4600885.2,590458.9,-3.71421323668976,-5191344.100000001
2006-12-31,638000.0,-5818755.33,2007-03-16,-4.5,-4.83,1905160,-5324656.85,342232.91,-3.054208218732285,-5666889.76
2007-03-31,605929.0,-6721567.27,2007-05-09,-4.0,-4.75,1905160,-6050624.13,194174.76,-3.5280854468915996,-6244798.89
2007-06-30,429309.0,-9322686.71,2007-08-14,-4.5,-4.5,2124640,-6820207.24,117708.76,-4.387890047255064,-6937916.0
2007-09-30,553988.0,-7413376.31,2007-11-06,-3.5,-4.83,2124860,-9374333.81,264264.75,-3.488877530754967,-9638598.56
2007-12-31,616273.0,-8602493.14,2008-03-18,-4.0,-4.5,2124869,-6214897.42,291265.65,-4.048481642868337,-6506163.07
2008-03-31,562518.0,-5185077.24,2008-05-06,-2.5,-4.0,2124869,-9920334.21,77722.72,-2.4401867785731732,-9998056.930000002
2008-06-30,555118.0,-5336018.86,2008-08-06,-2.5,-2.5,2124869,-4125647.32,103059.35,-2.511222508305218,-4228706.67
2008-09-30,2702626.0,-3511241.26,2008-11-14,-2.0,-2.5,2124869,-1936448.1,58212.82,-1.6524506969606125,-1994660.9200000002
2008-12-31,93447.0,-2198509.81,2009-03-27,-2.5,-2.0,2124869,-1407874.4,97899.1,-1.0346566353031645,-1505773.5
2012-09-30,87376.0,-1729235.46,2012-11-14,-0.4914,,3478420,-1092202.18,11176.02,-0.49713245094036945,-1103378.2
2013-03-31,87473.0,-779399.48,2013-05-16,-0.2039,,3857000,-199518.4,5897.1,-0.20207401607466943,-205415.5
2013-06-30,82687.0,-988442.82,2013-08-14,-0.2502,,3877000,-370666.06,45620.44,-0.25495043074542173,-416286.5
