fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,14636000000,4127000000,2005-10-19,1.04,1.02,7327993500,-3091000000,295000000,0.563182813958555,-3386000000
2005-12-31,13518000000,3347000000,2006-01-23,0.94,1.02,7327993500,-1889000000,370000000,0.4567416715093975,-2259000000
2006-03-31,17691000000,4986000000,2006-04-20,1.08,1.0,7327993500,8498000000,23000000,0.6804045336557681,8475000000
2006-06-30,18221000000,5475000000,2006-07-19,1.22,1.1,7327993500,1532000000,206000000,0.7471349421912015,1326000000
2006-09-30,18184000000,5416000000,2006-10-19,1.22,1.15,7327993500,-7188000000,192000000,0.7390836250059447,-7380000000
2006-12-31,15297000000,5256000000,2007-01-23,1.19,1.18,7327993500,11667000000,350000000,0.7172495445035534,11317000000
2007-03-31,18155000000,5255000000,2007-04-19,1.17,1.15,7327993500,-19631000000,358000000,0.7171130815004134,-19989000000
2007-06-30,19563000000,5761000000,2007-07-19,1.28,1.2,7327993500,16910000000,491000000,0.7861633610892259,16419000000
2007-09-30,15929000000,3698000000,2007-10-18,0.82,1.06,7327993500,1529000000,469000000,0.5046401856115184,1060000000
2007-12-31,12672000000,268000000,2008-01-22,0.05,0.18,7327993500,12228000000,825000000,0.036572084841505384,11403000000
2008-03-31,17003000000,1210000000,2008-04-21,0.23,0.41,7327993500,-3832000000,431000000,0.16512023379933402,-4263000000
2008-06-30,20315000000,3410000000,2008-07-21,0.72,0.53,7327993500,15030000000,678000000,0.46533884070721404,14352000000
2008-09-30,19621000000,1177000000,2008-10-06,0.15,0.62,7327993500,20078000000,417000000,0.16061695469571582,19661000000
2008-12-31,16471000000,-1789000000,2009-01-16,-0.48,0.08,7327993500,-27242000000,572000000,-0.24413231261736246,-27814000000
2009-03-31,35758000000,4247000000,2009-04-20,0.44,0.05,6393407000,54797000000,531000000,0.6642780601954482,54266000000
2009-06-30,26831000000,3224000000,2009-07-17,0.33,0.28,7269518000,19974000000,709000000,0.44349570356659135,19265000000
2009-09-30,25989000000,-1001000000,2009-10-16,-0.26,-0.21,8633834000,22906000000,292000000,-0.11593922236633226,22614000000
2009-12-31,23050000000,-194000000,2010-01-20,-0.6,-0.52,8634565000,32054000000,708000000,-0.022467837117445984,31346000000
2010-03-31,31969000000,3182000000,2010-04-16,0.28,0.09,10005254000,23876000000,213000000,0.3180329055114443,23663000000
2010-06-30,29153000000,3123000000,2010-07-16,0.27,0.22,10029776000,15475000000,64000000,0.31137285618342825,15411000000
2010-09-30,26466000000,-7299000000,2010-10-19,0.27,0.16,9976351000,38032000000,322000000,-0.7316302323364525,37710000000
2010-12-31,20886000000,-1244000000,2011-01-21,0.04,0.14,10036575000,5211000000,516000000,-0.12394666507249734,4695000000
2011-03-31,25490000000,2049000000,2011-04-15,0.17,0.27,10181351000,-576000000,352000000,0.2012503055832178,-928000000
2011-06-30,12069000000,-8826000000,2011-07-19,-0.9,-0.9,10094928000,51779000000,137000000,-0.8743004407758035,51642000000
2011-09-30,27092000000,6232000000,2011-10-18,0.31,0.19,10464395000,-11358000000,253000000,0.595543268387709,-11611000000
2011-12-31,21661000000,1991000000,2012-01-19,0.15,0.15,11124523000,24645000000,565000000,0.17897396589498712,24080000000
2012-03-31,21553000000,653000000,2012-04-19,0.24,0.12,10761917000,-15603000000,65000000,0.060676922150579675,-15668000000
2012-06-30,21606000000,2463000000,2012-07-18,0.17,0.14,11556011000,16873000000,9000000,0.21313583034837885,16864000000
2012-09-30,20196000000,340000000,2012-10-17,-0.0031,-0.07,10776173000,8817000000,146000000,0.031551089612239895,8671000000
2012-12-31,14856000000,367000000,2013-01-17,0.03,0.02,10884921000,-25909000000,146000000,0.03371636780827348,-26055000000
2013-03-31,21484000000,1110000000,2013-04-17,0.2,0.22,11154778000,26468000000,55000000,0.09950892792308372,26413000000
2013-06-30,21516000000,4012000000,2013-07-17,0.32,0.25,11524510000,46128000000,98000000,0.3481275993512956,46030000000
2013-09-30,21234000000,2497000000,2013-10-16,0.2,0.18,11482226000,8227000000,255000000,0.21746654350820127,7972000000
2013-12-31,21152000000,3439000000,2014-01-15,0.29,0.26,11404438000,11994000000,168000000,0.3015492740633076,11826000000
2014-03-31,21557000000,-514000000,2014-04-16,0.1,0.05,10560518000,22723000000,266000000,-0.04867185492226802,22457000000
2014-06-30,21336000000,2291000000,2014-07-16,0.22,0.29,11265123000,4778000000,185000000,0.2033710595081829,4593000000
2014-09-30,20573000000,-470000000,2014-10-15,-0.03,-0.09,10515790000,2946000000,233000000,-0.044694692457723104,2713000000
2014-12-31,18506000000,3050000000,2015-01-15,0.32,0.31,11273773000,-312000000,476000000,0.27053941923435926,-788000000
2015-03-31,20149000000,3357000000,2015-04-15,0.3,0.29,11266511000,245000000,179000000,0.29796269670353137,66000000
2015-06-30,20697000000,5320000000,2015-07-15,0.37,0.36,11238060000,-3332000000,258000000,0.47339131487107206,-3590000000
2015-09-30,20186000000,4508000000,2015-10-14,0.34,0.33,11197203000,25796000000,242000000,0.40260054229614306,25554000000
2015-12-31,18772000000,3336000000,2016-01-19,0.29,0.26,11153169000,5688000000,0,0.2991078141109491,5688000000
2016-03-31,19793000000,2680000000,2016-04-14,0.2,0.2,11100067000,10843000000,0,0.24143998410099687,10843000000
2016-06-30,20310000000,4232000000,2016-07-18,0.37,0.33,11059167000,15293000000,0,0.38266896593568034,15293000000
2016-09-30,20785000000,4955000000,2016-10-17,0.41,0.34,11000473000,526000000,0,0.45043517674194555,526000000
2016-12-31,19216000000,4696000000,2017-01-13,0.41,0.38,10958621000,-8356000000,0,0.4285210703062,-8356000000
2017-03-31,21413000000,4856000000,2017-04-18,0.41,0.35,10919700000,-12989000000,0,0.44470086174528606,-12989000000
2017-06-30,22103000000,5269000000,2017-07-18,0.46,0.43,10834800000,9649000000,0,0.4863033927714402,9649000000
2017-09-30,21005000000,5587000000,2017-10-13,0.48,0.45,10746700000,20471000000,0,0.5198805214624024,20471000000
2017-12-31,19435000000,2365000000,2018-01-17,0.48,0.44,10621809000,-7048000000,0,0.22265510517088002,-7048000000
