fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-11-30,558964569,119799345,2005-12-21,0.24,0.22,589606607,147605159,43298003,0.2031852146460089,104307156
2006-02-28,562196018,18783354,2006-04-06,0.22,0.22,576759760,-306801351,71889706,0.032567032762479825,-378691057
2006-05-31,613132180,128847400,2006-06-29,0.23,0.21,576759760,99030613,66157745,0.22339873364258284,32872868
2006-08-31,658068099,140675907,2006-09-28,0.25,0.24,570678000,251404556,77135281,0.24650662370023024,174269275
2006-11-30,835377502,176085400,2006-12-21,0.31,0.31,570033033,211370063,83049895,0.3089038525948022,128320168
2007-02-28,929120275,184737042,2007-04-11,0.33,0.33,571633634,168751839,87954082,0.3231738494939575,80797757
2007-05-31,1082161411,223271665,2007-06-28,0.39,0.35,571633634,225350145,76509704,0.39058524852300763,148840441
2007-08-31,1370513873,287321030,2007-10-04,0.5,0.59,572165000,224225345,92481223,0.5021646378230056,131744122
2007-11-30,1898329009,415870686,2007-12-20,0.65,0.62,574650000,521886310,138008871,0.7236938762725137,383877439
2008-02-29,1898329009,415870686,2008-04-02,0.72,0.7,574650000,610264277,421329365,0.7236938762725137,188934912
2008-05-31,2243753381,482770694,2008-06-25,0.84,0.85,574650000,5518922,292697024,0.8401125798312016,-287178102
2008-08-31,2577330000,495546000,2008-09-25,0.86,0.87,574831000,593560077,424368975,0.8620725047883638,169191102
2008-11-30,2782098000,396296000,2008-12-18,0.83,0.81,573514000,554016000,330472000,0.6909962093340354,223544000
2009-02-28,3463193000,518259000,2009-04-02,0.9,0.84,573259000,298750000,473896000,0.9040573283629215,-175146000
2009-05-31,3423510000,643030000,2009-06-18,0.98,0.93,573259000,614623000,310343000,1.1217093844143746,304280000
2009-08-31,3525692000,475621000,2009-09-24,1.03,1.0,573565000,581216000,486594000,0.829236442251532,94622000
2009-11-30,3924310000,628371000,2009-12-17,1.1,1.04,570929000,1067684000,339565000,1.1006114595685277,728119000
2010-02-28,4079712000,710122000,2010-03-31,1.27,1.28,558189000,771351000,294314000,1.2721891689015727,477037000
2010-05-31,4235000000,769000000,2010-06-24,1.38,1.34,558189000,1123000000,268000000,1.3776695707009632,855000000
2010-08-31,4621000000,797000000,2010-09-16,1.46,1.36,546387000,909000000,313000000,1.4586730650619433,596000000
2010-11-30,5495000000,911000000,2010-12-16,1.74,1.64,524406000,972000000,346000000,1.7372036170448089,626000000
2011-02-28,5555771000,934281000,2011-03-24,1.78,1.73,524524000,1004502000,668539000,1.781197809823764,335963000
2011-05-31,4908000000,695000000,2011-06-16,1.33,1.32,524524000,1020000000,782000000,1.3250108669955998,238000000
2011-08-31,4168000000,329000000,2011-09-15,0.8,0.9,524166000,-49000000,531000000,0.6276637553752056,-580000000
