fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2004-10-31,6646000000,148000000,2004-12-15,0.3,0.3,506600000,714000000,150000000,0.2921437031188314,564000000
2005-04-30,6118000000,170000000,2005-06-14,0.34,0.2,505300000,-419000000,105000000,0.33643380170195925,-524000000
2005-07-31,6702000000,188000000,2005-09-13,0.37,0.38,509100000,222000000,175000000,0.369279120015714,47000000
2005-10-31,7335000000,138000000,2005-12-13,0.28,0.3,507200000,608000000,217000000,0.27208201892744477,391000000
2006-04-30,6959000000,234000000,2006-06-13,0.47,0.36,500800000,-723000000,154000000,0.4672523961661342,-877000000
2006-07-31,7603000000,230000000,2006-09-12,0.47,0.44,496500000,683000000,145000000,0.46324269889224573,538000000
2006-10-31,8473000000,150000000,2006-12-12,0.31,0.35,495800000,288000000,221000000,0.30254134731746674,67000000
2007-04-30,7927000000,192000000,2007-06-19,0.39,0.49,491500000,-428000000,179000000,0.3906408952187182,-607000000
2007-07-31,8750000000,250000000,2007-09-18,0.55,0.44,456200000,559000000,197000000,0.5480052608505042,362000000
2007-10-31,9928000000,228000000,2007-12-18,0.53,0.41,430800000,1115000000,208000000,0.5292479108635098,907000000
2008-01-31,13418000000,737000000,2008-04-02,1.65,,423400000,779000000,213000000,1.740670760510156,566000000
2008-04-30,8990000000,179000000,2008-06-17,0.43,0.37,423400000,-61000000,220000000,0.42276806802078415,-281000000
2008-07-31,9801000000,202000000,2008-09-16,0.48,0.57,423300000,111000000,282000000,0.4772029293645169,-171000000
2008-10-31,11500000000,52000000,2008-12-16,0.35,0.24,422600000,-130000000,425000000,0.12304779933743493,-555000000
2009-01-31,14724000000,570000000,2009-03-26,1.35,,425700000,1957000000,376000000,1.3389711064129668,1581000000
2009-04-30,10095000000,153000000,2009-06-16,0.42,0.34,425700000,-53000000,186000000,0.3594080338266385,-239000000
2009-07-31,11022000000,158000000,2009-09-15,0.37,0.42,427000000,291000000,124000000,0.3700234192037471,167000000
2009-10-31,12024000000,227000000,2009-12-15,0.53,0.44,428600000,441000000,159000000,0.5296313579094727,282000000
2010-01-31,16553000000,779000000,2010-03-25,1.8156,,431700000,1527000000,146000000,1.804493861477878,1381000000
2010-04-30,10787000000,155000000,2010-06-15,0.36,0.5,431700000,169000000,161000000,0.35904563354181146,8000000
2010-07-31,11339000000,254000000,2010-09-14,0.6,0.44,423600000,-85000000,181000000,0.5996222851746931,-266000000
2010-10-31,11890000000,217000000,2010-12-14,0.54,0.61,407800000,461000000,187000000,0.5321235899950957,274000000
2011-01-31,16256000000,651000000,2011-03-24,1.6187,,397200000,645000000,215000000,1.6389728096676737,430000000
