fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2012-12-31,694580000,1278000,2013-02-27,0.0325,,37569000,15264000,9704000,0.03401740796933642,5560000
2013-03-31,744878000,80836000,2013-04-22,0.32,0.13,37569000,-53742000,5316000,2.1516675982858207,-59058000
2013-06-30,852295000,10412000,2013-07-31,0.24,0.19,43233000,7919000,8726000,0.24083454768348253,-807000
2013-09-30,877979000,15860000,2013-10-21,0.39,0.31,40640000,67900000,15893000,0.390255905511811,52007000
2013-12-31,798344000,9828000,2014-02-21,0.25,0.18,39435000,11350000,15816000,0.2492202358311145,-4466000
2014-03-31,767180000,5565000,2014-04-23,0.14,0.24,39452000,-23950000,12539000,0.14105748757984385,-36489000
2014-06-30,961187000,26418000,2014-07-24,0.67,0.43,39463000,53275000,9432000,0.669437194333933,43843000
2014-09-30,983319000,32285000,2014-10-23,0.82,0.69,39481000,58773000,18889000,0.8177351130923736,39884000
2014-12-31,862046000,15741000,2015-02-19,0.4,0.53,39604000,13745000,20357000,0.3974598525401475,-6612000
2015-03-31,809903000,7617000,2015-04-23,0.19,0.24,39622000,-15984000,12618000,0.19224168391297763,-28602000
2015-06-30,955397000,20230000,2015-07-23,0.51,0.57,39600000,35699000,18815000,0.5108585858585859,16884000
2015-09-30,991580000,22007000,2015-10-22,0.56,0.48,39240000,58211000,25265000,0.5608307849133537,32946000
2015-12-31,876535000,2328000,2016-02-18,0.06,0.28,38994000,2405000,30828000,0.05970149253731343,-28423000
2016-03-31,880695000,4950000,2016-05-03,0.19,-0.03,38880000,1181000,15461000,0.12731481481481483,-14280000
2016-06-30,1043773000,19228000,2016-07-28,0.49,0.38,38972000,44837000,19640000,0.49337986246535975,25197000
2016-09-30,1067214000,9981000,2016-10-24,0.41,0.56,39120000,67236000,20325000,0.25513803680981595,46911000
2016-12-31,919533000,4095000,2017-02-24,0.03,-0.04,38942000,38653000,28157000,0.10515638642083099,10496000
2017-03-31,974443000,10020000,2017-05-03,0.26,0.09,38901000,-41086000,17002000,0.25757692604303234,-58088000
2017-06-30,1138939000,22154000,2017-07-27,0.57,0.6,39002000,72564000,12549000,0.5680221527101175,60015000
2017-09-30,1226644000,31661000,2017-10-31,0.81,0.69,39139000,85658000,18509000,0.8089373770408033,67149000
2017-12-31,1091965000,19122000,2018-02-26,0.28,0.32,39396000,34431000,27390000,0.4853792263173926,7041000
2018-03-31,1182841000,37050000,2018-05-04,0.94,0.47,39396000,-21759000,13272000,0.940450807188547,-35031000
2018-06-30,1408132000,41825000,2018-08-06,1.29,1.06,39403000,110095000,15055000,1.061467400959318,95040000
2018-09-30,1338512000,13848000,2018-11-06,0.55,0.7,39461000,31485000,19378000,0.3509287651098553,12107000
2018-12-31,1065805000,-72246000,2019-02-26,-1.85,0.06,38968000,43790000,32282000,-1.8539827550810921,11508000
2019-03-31,1042086000,11389000,2019-05-07,0.29,0.23,39203000,-36959000,14347000,0.29051348111113945,-51306000
2019-06-30,1230081000,27718000,2019-08-05,0.71,0.48,39199000,103811000,18477000,0.7071098752519197,85334000
2019-09-30,1269524000,27171000,2019-11-07,0.69,0.68,39292000,127898000,20425000,0.6915148121755065,107473000
2019-12-31,1101713000,14647000,2020-02-24,0.37,0.2,39418000,50897000,29471000,0.3715815109848293,21426000
2020-03-31,1170534000,12200000,2020-05-07,0.31,0.46,39405000,-42467000,18563000,0.30960538002791527,-61030000
2020-06-30,1242760000,33586000,2020-07-31,0.85,0.54,39387000,160743000,10286000,0.8527179018457867,150457000
2020-09-30,1589313000,103192000,2020-10-30,2.88,1.86,39526000,175495000,18145000,2.610737236249557,157350000
2020-12-31,1472231000,26001000,2021-02-22,0.66,1.08,39587000,745000,32435000,0.656806527395357,-31690000
2021-03-31,1821316000,149156000,2021-05-06,3.76,2.46,39630000,72251000,13301000,3.7637143578097403,58950000
2021-06-30,2443161000,302556000,2021-08-02,7.62,4.83,39688000,218928000,18201000,7.62336222535779,200727000
2021-09-30,1879451000,91699000,2021-11-01,2.31,2.09,39661000,235912000,19958000,2.3120697914828168,215954000
2021-12-31,1782183000,169075000,2022-02-22,4.26,2.35,39735000,139893000,55058000,4.255064804328677,84835000
2022-03-31,2326282000,302600000,2022-05-05,7.61,6.5,39768000,198945000,17448000,7.609132971233152,181497000
2022-06-30,2278072000,218111000,2022-08-01,5.49,4.7,39763000,237111000,23360000,5.485275255891155,213751000
2022-09-30,2154647000,219587000,2022-10-31,5.52,4.22,39776000,378069000,21027000,5.520590305711987,357042000
2022-12-31,1628306000,117360000,2023-02-21,2.95,2.96,39830000,227094000,52282000,2.9465227215666583,174812000
2023-03-31,1544329000,96733000,2023-05-04,2.43,1.67,39838000,47992000,30063000,2.4281590441287215,17929000
2023-06-30,1815219000,146320000,2023-07-31,3.67,2.52,39834000,242226000,38224000,3.6732439624441433,204002000
2023-09-30,1834441000,143068000,2023-10-30,3.58,3.42,39983000,230911000,30964000,3.578220743816122,199947000
2023-12-31,1644256000,97535000,2024-02-20,2.44,2.58,40020000,166329000,116187000,2.4371564217891053,50142000
2024-03-31,1645420000,104124000,2024-05-06,2.61,2.3,39956000,27462000,34330000,2.6059665632195417,-6868000
2024-06-30,1797670000,112292000,2024-08-05,2.84,2.68,39608000,141703000,39769000,2.835083821450212,101934000
2024-09-30,1713724000,91038000,2024-11-04,2.33,2.32,39063000,174587000,61661000,2.330542969049996,112926000
2024-12-31,1567480000,68900000,2025-02-18,1.78,1.7783,38735000,94568000,93809000,1.7787530657028527,759000
2025-03-31,1536494000,40348000,2025-05-05,1.0558,1.285,38215000,-28476000,53205000,1.055815779144315,-81681000
2025-06-30,1740114000,61985000,2025-08-04,1.64,1.74,37795000,33170000,79052000,1.640031750231512,-45882000
2025-09-30,1667806000,21769000,2025-11-03,0.58,0.73,37509000,118438000,55190000,0.5803673784958276,63248000
