fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2017-06-30,86783000,-63475000,2017-09-06,-0.6,0.0,58557362,-15528000,1329000,-1.0839798418514823,-16857000
2017-12-31,123251000,-67761000,2018-01-19,-0.68,0.0,58135362,-2077000,837000,-1.165572857360035,-2914000
2018-03-31,169361000,-17716000,2018-05-30,-0.11,0.0,69939181,-34487000,223000,-0.25330579721830027,-34710000
2018-06-30,168881000,-45676000,2018-08-09,-0.64,-0.27,69939181,15902000,1372000,-0.6530817110941004,14530000
2018-09-30,190190000,-78579000,2018-11-05,-0.13,-0.17,81321000,4937000,5500000,-0.9662817722359538,-563000
2018-12-31,213606000,-115449000,2019-02-05,-0.12,-0.18,111842000,-44769000,10820000,-1.0322508538831565,-55589000
2019-03-31,200707000,-104920000,2019-05-06,-0.22,-0.24,111842000,-9845000,12794000,-0.9381091182203466,-22639000
2019-06-30,233782000,-81911000,2019-08-12,-0.13,-0.16,113622000,113461000,11795000,-0.720907922761437,101666000
2019-09-30,233471000,-51750000,2019-11-07,0.01,0.01,116330000,37869000,16579000,-0.4448551534427921,21290000
2019-12-31,117217000,-65833000,2020-03-16,-0.28,0.01,123763000,24587000,26101000,-0.5319279590830862,-1514000
2020-03-31,156699000,-75949000,2020-05-11,-0.34,-0.38,123763000,-27948000,12360000,-0.6136648271292713,-40308000
2020-06-30,187856000,-42512000,2020-07-28,-0.23,-0.21,125928000,-12287000,7200000,-0.33758973381614893,-19487000
2020-09-30,200305000,-11954000,2020-10-29,-0.04,-0.12,138964000,-39754000,13506000,-0.0860222791514349,-53260000
2020-12-31,249387000,-27138000,2021-02-10,-0.08,0.0015,165975000,-18806000,4847000,-0.16350655219159513,-23653000
2021-03-31,194007000,-24889000,2021-05-05,-0.07,-0.07,170745000,-89035000,12932000,-0.14576707956309115,-101967000
2021-06-30,228470000,-53863000,2021-08-04,-0.23,-0.06,172749000,53733000,21529000,-0.311799199995369,32204000
2021-09-30,207228000,-52370000,2021-11-04,-0.2,-0.08,174269000,-72654000,10164000,-0.30051242619169216,-82818000
2021-12-31,342471000,-33323000,2022-02-10,-0.05,-0.04,174269000,47226000,5185000,-0.19121587889986172,42041000
2022-03-31,201039000,-78359000,2022-05-05,-0.32,-0.1,177189000,-92443000,18510000,-0.4422339987245258,-110953000
2022-06-30,243236000,-118800000,2022-08-09,-0.2,-0.17,178507000,-6071000,26218000,-0.665520119659173,-32289000
2022-09-30,292274000,-57077000,2022-11-03,-0.2,-0.06,186487000,-69939000,36179000,-0.3060642296782081,-106118000
2022-12-31,462576000,-47172000,2023-02-09,0.27,0.12,201200000,-23270000,35916000,-0.23445328031809146,-59186000
2023-03-31,275191000,-71567000,2023-05-09,-0.22,-0.19,206724000,-314710000,26574000,-0.34619589404229795,-341284000
2023-06-30,301095000,-66061000,2023-08-03,-0.17,-0.15,208692000,-46485000,19576000,-0.3165478312537136,-66061000
2023-09-30,400268000,-168999000,2023-11-08,0.15,-0.04,210930000,-133169000,21335000,-0.8012089318731332,-154504000
2023-12-31,356916000,4511000,2024-02-15,0.07,0.11,274366000,121833000,16254000,0.016441541590430302,105579000
2024-03-31,235298000,-57524000,2024-05-09,-0.17,-0.11,225587000,-147266000,21435000,-0.25499696347750533,-168701000
2024-06-30,335767000,-61787000,2024-08-08,-0.06,-0.04,227167000,-175495000,12019000,-0.27198932943605364,-187514000
2024-09-30,330399000,-14711000,2024-11-07,-0.01,0.08,227957000,-69469000,14292000,-0.06453410072952355,-83761000
2024-12-31,572393000,104795000,2025-02-13,0.43,0.3073,294429000,484228000,11106000,0.35592621650720546,473122000
2025-03-31,326021000,-23814000,2025-05-07,0.03,-0.0633,230210000,-110682000,14259000,-0.10344468094348638,-124941000
2025-06-30,401242000,-42619000,2025-07-31,0.1,0.01,232542000,-213111000,7245000,-0.1832744192446956,-220356000
2025-09-30,519048000,-23093000,2025-10-28,0.15,0.1,234931000,19669000,12301000,-0.09829694676309214,7368000
