fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2019-06-30,6000,-17861000,2019-09-27,-0.45,0.0,35137576,-11354000,6585000,-0.5083162253423514,-17939000
2019-09-30,6000,-19005000,2019-11-27,-1.44,0.0,35137576,-16992000,1419000,-0.5408739635312351,-18411000
2019-12-31,6000,-27850000,2020-03-30,-4.47,-0.52,30725077,-17800000,2160000,-0.9064257186401844,-19960000
2020-03-31,6000,-30458000,2020-05-12,-1.03,-0.5,30725077,-27393000,3046000,-0.9913075238184106,-30439000
2020-06-30,6000,-34218000,2020-08-12,-0.69,-0.53,49430138,-22837000,2367000,-0.6922497363855226,-25204000
2020-09-30,6000,-34452000,2020-11-10,-0.69,-0.56,50087747,-21213000,2819000,-0.6878328945400559,-24032000
2020-12-31,6000,-95464000,2021-03-15,-1.69,-0.67,60210120,-24298000,8125000,-1.5855141959524413,-32423000
2021-03-31,6000,-201560000,2021-05-11,-3.34,-0.74,60210120,-38578000,11478000,-3.3476100031024685,-50056000
2021-06-30,6000,-76253000,2021-08-10,-1.23,-0.65,62210239,-32527000,16184000,-1.2257307032689586,-48711000
2021-09-30,763000,-28118000,2021-11-08,-0.42,-0.74,66377611,3007000,5780000,-0.4236066887071305,-2773000
2021-12-31,51069000,-64706999,2022-02-28,-0.95,-1.03,67988717,1830000,13369000,-0.9517314321433658,-11539000
2022-03-31,8432000,-69214000,2022-05-09,-1.01,-1.32,68703864,218490000,7259000,-1.007425142783818,211231000
2022-06-30,16652000,-71950000,2022-08-09,-1.02,-1.08,70210227,-52276000,21644000,-1.024779481200082,-73920000
2022-09-30,15799000,-109575000,2022-11-07,-1.56,-1.31,70343196,-74496000,11787000,-1.5577199534692736,-86283000
2022-12-31,20037000,-38349000,2023-02-28,-0.54,-1.33,70777542,-69191000,8261000,-0.5418244109127158,-77452000
2023-03-31,24208000,-96460000,2023-05-10,-1.33,-1.34,72273829,-109815000,6017000,-1.334646321284569,-115832000
2023-06-30,20116000,-82776000,2023-08-08,-1.08,-1.42,76335175,-84669000,16178000,-1.0843755843881933,-100847000
2023-09-30,17193000,-96088000,2023-11-08,-1.22,-1.36,79024647,-89784000,7948000,-1.2159244444331399,-97732000
2023-12-31,316192000,142797000,2024-02-27,1.73,-1.01,82702302,135073000,3589000,1.726638757890923,131484000
2024-03-31,7410000,-98669000,2024-05-07,-1.21,-1.42,81698633,-99747000,2438000,-1.2077191058998502,-102185000
2024-06-30,11772000,-91051000,2024-08-06,-1.11,-1.13,82312467,-83009000,1961000,-1.1061629339817989,-84970000
2024-09-30,14269000,-96668000,2024-11-05,-1.17,-1.16,82410095,-88125000,1577000,-1.1730116316453707,-89702000
2024-12-31,30067000,-90354000,2025-02-25,-1.09,-1.2158,82824151,-76365000,2970000,-1.0909136877237655,-79335000
2025-03-31,7470000,-109270000,2025-05-05,-1.2421,-1.1714,87975000,-103884000,3065000,-1.2420574026712135,-106949000
2025-06-30,8466000,-102291000,2025-08-05,-1.0,-1.11,101995184,-76450000,3136000,-1.0029002938021074,-79586000
2025-09-30,9698000,-112728000,2025-11-04,-1.1,-1.05,102570801,-81479000,5011000,-1.0990262228721408,-86490000
