fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2019-12-31,406000000,51000000,2020-01-27,1.04,0.0,69523985,226000000,147000000,0.733559792350798,79000000
2020-03-31,384000000,117000000,2020-05-14,1.04,0.22,69523984,180000000,121000000,1.6828724890104112,59000000
2020-06-30,322000000,-266000000,2020-08-13,0.35,0.35,67534663,168000000,63000000,-3.938718106877945,105000000
2020-09-30,349000000,-301000000,2020-11-12,0.2593,0.2593,67480027,237000000,107000000,-4.4605791281026015,130000000
2020-12-31,375000000,-102000000,2021-03-03,0.86,0.0497,67440673,145000000,108000000,-1.512440423007048,37000000
2021-03-31,399000000,-178000000,2021-05-11,0.93,0.93,67429870,124000000,95000000,-2.639779670344908,29000000
2021-06-30,416000000,-43000000,2021-08-10,0.8,0.8,67423558,235000000,101000000,-0.6377592828904105,134000000
2021-09-30,414000000,122000000,2021-11-08,1.93,0.87,94602115,260000000,109000000,1.2896117597370842,151000000
2021-12-31,414000000,-269000000,2022-03-10,-3.68,0.62,110156269,220000000,110000000,-2.441985394403654,110000000
2022-03-31,461000000,-216000000,2022-05-05,-5.07,,110340523,123000000,113000000,-1.9575763656657672,10000000
2022-06-30,479000000,673000000,2022-08-03,6.09,,110468803,232000000,140000000,6.092217727750703,92000000
2022-09-30,454000000,331000000,2022-11-02,2.07,,110513085,214000000,122000000,2.995120442072538,92000000
2022-12-31,492000000,565000000,2023-02-02,-0.03,-0.03,112671350,324000000,146000000,5.014584452924368,178000000
2023-03-31,497000000,-195000000,2023-05-03,-2.6706,,112708079,-10000000,125000000,-1.7301332941713965,-135000000
2023-06-30,538000000,-274000000,2023-08-03,0.38,0.38,112787509,-89000000,134000000,-2.4293470299091364,-223000000
2023-09-30,551000000,913000000,2023-11-01,0.03,0.03,142917349,194000000,122000000,6.388307692441175,72000000
2023-12-31,942344441,-233273923,2024-02-01,-1.5875,,142989728,622130660,217707186,-1.6314033620652806,404423474
2024-03-31,897970770,28000000,2024-05-01,0.1958,,131872066,276758175,96566701,0.21232699880503883,180191474
2024-06-30,907812738,491000000,2024-08-01,3.4328,,143108774,509308509,401328424,3.430956651197361,107980085
2024-09-30,912000000,-977000000,2024-11-01,-6.8264,,143121262,464000000,425000000,-6.826379158115585,39000000
2024-12-31,944000000,-150000000,2025-01-30,-1.26,0.96,119071029,490000000,87000000,-1.2597522777769898,403000000
2025-03-31,929000000,389000000,2025-04-30,0.49,1.87,119071029,243000000,134592095,3.26695757370166,108407905
2025-06-30,866000000,-477000000,2025-07-31,-3.611,1.9,119051449,478000000,209000000,-4.006671098980072,269000000
2025-09-30,917000000,82000000,2025-11-07,0.1,-1.65,119067426,389000000,1055485703,0.6886854176221127,-666485703
