fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2017-03-31,44489000,6560000,2017-05-31,0.25,0.0,28391900,5100000,797000,0.2310518140737323,4303000
2017-06-30,45566000,6146000,2017-07-27,0.24,0.21,24668000,23750000,807000,0.24914869466515324,22943000
2017-09-30,45506000,9755000,2017-10-26,0.32,0.22,29752331,-16052000,634000,0.32787346981317195,-16686000
2017-12-31,47909000,-766000,2018-01-25,0.24,0.23,29246900,-10330000,285000,-0.02619080996618445,-10615000
2018-03-31,47866000,6768000,2018-04-26,0.21,0.27,29913633,25468000,63000,0.2262513550259843,25405000
2018-06-30,57109000,2768000,2018-07-26,0.32,0.28,32568396,28509000,474000,0.08499036919104029,28035000
2018-09-30,71244000,14536000,2018-10-25,0.4,0.34,36958000,8189000,843000,0.3933113263704746,7346000
2018-12-31,75190000,17121000,2019-01-24,0.49,0.39,36906000,17769000,1198000,0.4639083075922614,16571000
2019-03-31,71325000,12597000,2019-04-25,0.38,0.34,36877000,13651000,979000,0.34159503213385034,12672000
2019-06-30,78850000,13211000,2019-07-25,0.41,0.4,37948000,-24701000,434000,0.3481342890270897,-25135000
2019-09-30,83791000,15342000,2019-10-24,0.41,0.4,38487000,23216000,878000,0.39862810819237665,22338000
2019-12-31,77661000,15852000,2020-01-23,0.42,0.38,38538000,17780000,1976000,0.4113342674762572,15804000
2020-03-31,70636000,2966000,2020-04-30,0.09,0.27,38663658,25842000,2040000,0.07671286560624967,23802000
2020-06-30,69018000,9139000,2020-07-23,0.24,0.04,38027289,17455000,1361000,0.24032741329522597,16094000
2020-09-30,78066000,13071000,2020-10-22,0.34,0.21,38249000,-40244000,747000,0.34173442442939683,-40991000
2020-12-31,75946000,12291000,2021-01-28,0.38,0.27,38574000,105969000,233000,0.31863431326800434,105736000
2021-03-31,74329000,21798000,2021-04-29,0.57,0.36,38915000,15000000,477000,0.5601439033791598,14523000
2021-06-30,80421000,28492000,2021-07-29,0.77,0.46,38696000,52827000,659000,0.7363034939011784,52168000
2021-09-30,80050000,25306000,2021-10-28,0.69,0.56,38018000,-21725000,626000,0.6656320690199379,-22351000
2021-12-31,81344000,17189000,2022-01-27,0.69,0.58,37999401,28324000,474000,0.45234923571558405,27850000
2022-03-31,82081000,22311000,2022-04-28,0.58,0.47,38043000,92768000,926000,0.586467944168441,91842000
2022-06-30,79607000,20283000,2022-07-28,0.54,0.52,37612268,60122000,1747000,0.5392655396372269,58375000
2022-09-30,91090000,22656000,2022-10-27,0.61,0.58,37371159,32739000,656000,0.6062429051237078,32083000
2022-12-31,103680000,22704000,2023-01-26,0.67,0.59,37360113,34704000,304000,0.6077069413574846,34400000
2023-03-31,114287000,23945000,2023-04-27,0.65,0.63,37539912,49135000,281000,0.6378544520828925,48854000
2023-06-30,120787000,26107000,2023-07-27,0.7,0.63,37337906,43336000,1258000,0.6992090022402435,42078000
2023-09-30,148019000,28222000,2023-10-26,0.77,0.63,43458110,78562000,1317000,0.6494069806533234,77245000
2023-12-31,149379000,29604000,2024-01-25,0.73,0.67,43538000,-4966000,1005000,0.6799577380678947,-5971000
2024-03-31,153207000,30440000,2024-04-25,0.7,0.64,43727000,62336000,512000,0.696137397946349,61824000
2024-06-30,153734000,29671000,2024-07-25,0.68,0.63,43742000,40146000,731000,0.6783183210644232,39415000
2024-09-30,160044000,30328000,2024-10-24,0.69,0.65,43966000,19793000,649000,0.6898057589955875,19144000
2024-12-31,154438000,30320000,2025-01-23,0.69,0.61,44180000,52885000,2100000,0.6862833861475781,50785000
2025-03-31,148845000,28248000,2025-04-24,0.65,0.62,44290000,27059000,2012000,0.6377963422894558,25047000
2025-06-30,158116000,30082000,2025-07-24,0.75,0.67,44290000,16267000,1088000,0.6792052382027546,15179000
2025-09-30,162580000,37200000,2025-10-23,0.83,0.72,45366000,38346000,381000,0.8199973548472425,37965000
