fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,19237200000,228300000,2005-10-26,0.63,0.72,431400000,724000000,76000000,0.5292072322670376,648000000
2005-12-31,19346900000,304000000,2006-01-26,0.74,0.73,431900000,660900000,142200000,0.7038666357953229,518700000
2006-03-31,20213200000,146800000,2006-04-27,0.87,0.86,427500000,271800000,112300000,0.3433918128654971,159500000
2006-06-30,21708300000,321000000,2006-08-03,0.87,0.87,404500000,483600000,112700000,0.7935723114956736,370900000
2006-09-30,20937500000,270700000,2006-10-27,0.78,0.76,413000000,718300000,85300000,0.6554479418886199,633000000
2006-12-31,21784600000,739300000,2007-01-25,0.83,0.78,410600000,-78900000,68700000,1.8005358012664394,-147600000
2007-03-31,21867100000,19000000,2007-04-26,0.96,0.91,394600000,770400000,89100000,0.0481500253421186,681300000
2007-06-30,22262900000,902200000,2007-08-09,0.89,0.87,363000000,-186700000,114300000,2.4853994490358127,-301000000
2007-09-30,21973400000,301800000,2007-11-05,0.86,0.86,370200000,408800000,91500000,0.8152350081037277,317300000
2007-12-31,23282700000,324700000,2008-01-29,0.9,0.87,364600000,-26200000,80600000,0.8905650027427318,-106800000
2008-03-31,22909600000,356000000,2008-05-01,1.08,1.01,360200000,887200000,79500000,0.9883398112159911,807700000
2008-06-30,22925600000,318000000,2008-08-07,0.97,0.95,356700000,242300000,124500000,0.8915054667788057,117800000
2008-09-30,23437100000,249100000,2008-10-29,0.74,0.7,361100000,-352900000,88600000,0.6898366103572418,-441500000
2008-12-31,24117800000,318900000,2009-02-05,0.93,0.89,360300000,271600000,93600000,0.8850957535387177,178000000
2009-03-31,24089300000,312900000,2009-04-30,0.97,0.95,360900000,820900000,80900000,0.8669991687448046,740000000
2009-06-30,25127000000,273200000,2009-08-18,0.86,0.86,359100000,827700000,270300000,0.7607908660540239,557400000
2009-09-30,24780700000,-38200000,2009-11-05,0.54,0.43,359100000,406000000,37000000,-0.10637705374547479,369000000
2009-12-31,24919700000,234500000,2010-01-28,0.57,0.46,361000000,524100000,42900000,0.649584487534626,481200000
2010-03-31,24342800000,222400000,2010-04-29,0.61,0.57,361800000,879400000,61900000,0.6147042564953012,817500000
2010-06-30,24459600000,223500000,2010-08-05,0.5,0.49,348900000,324200000,114000000,0.6405846947549441,210200000
2010-09-30,24437500000,294800000,2010-10-28,0.66,0.53,351900000,217000000,62000000,0.8377379937482239,155000000
2010-12-31,25371800000,215400000,2011-02-03,0.73,0.61,350700000,143800000,64100000,0.6142001710863987,79700000
2011-03-31,26071400000,246000000,2011-04-28,0.81,0.69,352900000,914000000,59900000,0.6970813261547181,854100000
2011-06-30,26763500000,202700000,2011-08-04,0.6,0.58,344800000,119800000,105300000,0.587877030162413,14500000
2011-09-30,26792000000,236800000,2011-10-27,0.73,0.72,349400000,504200000,44300000,0.6777332570120206,459900000
2011-12-31,27078000000,262000000,2012-02-02,0.81,0.76,348800000,-114500000,57000000,0.7511467889908257,-171500000
2012-03-31,26918000000,333400000,2012-05-03,0.94,0.88,349000000,893200000,57700000,0.9553008595988539,835500000
2012-06-30,26764500000,236000000,2012-08-02,0.73,0.72,349000000,-107000000,100000000,0.6762177650429799,-207000000
2012-09-30,25889000000,271000000,2012-10-30,0.81,0.79,344000000,568000000,26000000,0.7877906976744186,542000000
2012-12-31,25232000000,303000000,2013-02-05,0.93,0.86,343000000,-130000000,36000000,0.8833819241982507,-166000000
2013-03-31,24552000000,345000000,2013-05-02,1.02,0.95,345000000,989000000,41000000,1.0,948000000
2013-06-30,25420000000,-586000000,2013-08-01,0.79,0.77,341000000,300000000,92000000,-1.718475073313783,208000000
2013-09-30,24523000000,339000000,2013-10-31,0.92,0.86,344000000,951000000,26000000,0.9854651162790697,925000000
2013-12-31,22240000000,278000000,2014-01-30,0.9,0.84,346000000,37000000,64000000,0.8034682080924855,-27000000
2014-03-31,21427000000,315000000,2014-05-01,1.01,1.01,347000000,820000000,48000000,0.9077809798270894,772000000
2014-06-30,22894000000,234000000,2014-08-04,0.83,0.81,343000000,716000000,111000000,0.6822157434402333,605000000
2014-09-30,24070000000,266000000,2014-10-30,1.0,0.96,340000000,61000000,36000000,0.7823529411764706,25000000
2014-12-31,25537000000,289000000,2015-01-29,1.2,1.1,334000000,953000000,47000000,0.8652694610778443,906000000
2015-03-31,25375000000,365000000,2015-04-30,1.19,1.16,334000000,658000000,56000000,1.092814371257485,602000000
2015-06-30,27548000000,295000000,2015-07-30,1.0,0.99,333000000,868000000,161000000,0.8858858858858859,707000000
2015-09-30,28055000000,383000000,2015-11-02,1.38,1.1,331000000,-52000000,83000000,1.1570996978851964,-135000000
2015-12-31,31445000000,326000000,2016-02-01,1.3,1.26,332000000,1463000000,92000000,0.9819277108433735,1371000000
2016-03-31,30662000000,386000000,2016-04-28,1.43,1.33,331000000,919000000,109000000,1.1661631419939578,810000000
2016-06-30,31384000000,333000000,2016-08-02,1.14,1.13,327000000,641000000,181000000,1.018348623853211,460000000
2016-09-30,32039000000,309000000,2016-10-31,1.24,1.21,322000000,104000000,100000000,0.9596273291925466,4000000
2016-12-31,33150000000,324000000,2017-02-07,1.34,1.23,319000000,554000000,113000000,1.0156739811912225,441000000
2017-03-31,31821000000,381000000,2017-05-01,1.53,1.46,318000000,-198000000,80000000,1.1981132075471699,-278000000
2017-06-30,32966000000,274000000,2017-08-02,1.31,1.24,318000000,724000000,94000000,0.8616352201257862,630000000
2017-09-30,32641000000,115000000,2017-11-06,1.09,1.0,318000000,1181000000,67000000,0.36163522012578614,1114000000
2017-12-31,35186000000,1053000000,2018-02-08,1.51,1.15,316000000,279000000,101000000,3.3322784810126582,178000000
