fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,5046000000,496000000,2005-10-24,4.4,4.61,105720339,901000000,8573000000,4.691623245740822,-7672000000
2005-12-31,4578000000,536000000,2006-02-13,2.3,2.28,100000000,754000000,8226000000,5.36,-7472000000
2006-03-31,4217000000,70000000,2006-04-26,0.04,1.1,100000000,243000000,4025000000,0.7,-3782000000
2006-06-30,4252000000,121000000,2006-08-09,0.29,1.92,100190114,966000000,3574000000,1.2077039856447314,-2608000000
2006-09-30,1566000000,-1013000000,2006-11-21,0.49,0.47,100595829,-715000000,8862000000,-10.070000019583317,-9577000000
2006-12-31,1331000000,3000000,2007-02-20,0.2,0.12,100000000,-242000000,2130000000,0.03,-2372000000
2007-03-31,1365000000,13000000,2007-05-02,0.03,,108333333,355000000,3496000000,0.12000000036923077,-3141000000
2007-06-30,1516000000,24000000,2007-08-07,0.24,0.25,104347826,416000000,3035000000,0.23000000019166666,-2619000000
2007-09-30,1719000000,103000000,2007-11-06,0.63,0.66,104040404,601000000,2061000000,0.990000000384466,-1460000000
2007-12-31,1426000000,-1056000000,2008-02-13,0.2,0.18,109090909,342000000,2135000000,-9.680000008066667,-1793000000
2008-03-31,1445000000,-12000000,2008-05-06,-0.03,,102800000,395000000,3705000000,-0.11673151750972763,-3310000000
2008-06-30,1577000000,15000000,2008-08-06,0.16,0.06,101400000,445000000,2544000000,0.14792899408284024,-2099000000
2008-09-30,1701000000,-1006000000,2008-11-06,0.55,0.59,101600000,578000000,839000000,-9.901574803149606,-261000000
2008-12-31,1254000000,-121000000,2009-02-25,-1.08,-0.47,101800000,286000000,1603000000,-1.1886051080550097,-1317000000
2009-03-31,1194000000,-49000000,2009-05-06,-0.44,-0.63,101800000,328000000,1567000000,-0.481335952848723,-1239000000
2009-06-30,1312000000,-6000000,2009-08-04,-0.02,-0.08,102200000,360000000,2396000000,-0.05870841487279843,-2036000000
2009-09-30,1465000000,57000000,2009-11-02,0.65,0.55,104500000,562000000,1075000000,0.5454545454545454,-513000000
2009-12-31,1160000000,-49000000,2010-02-17,-0.25,-0.28,102300000,241000000,1776000000,-0.4789833822091887,-1535000000
2010-03-31,1153000000,-38000000,2010-05-03,-0.13,-0.26,102600000,280000000,2494000000,-0.37037037037037035,-2214000000
2010-06-30,1294000000,26000000,2010-08-04,0.25,0.18,126600000,380000000,2977000000,0.20537124802527645,-2597000000
2010-09-30,1512000000,90000000,2010-11-03,0.78,0.76,126600000,678000000,1117000000,0.7109004739336493,-439000000
2010-12-31,1226000000,-24000000,2011-02-16,-0.06,-0.06,103300000,302000000,1504000000,-0.23233301064859632,-1202000000
2011-03-31,1235000000,7000000,2011-05-03,0.11,-0.05,106800000,277000000,2534000000,0.06554307116104868,-2257000000
2011-06-30,1412000000,52000000,2011-08-03,0.63,0.33,129000000,425000000,2725000000,0.40310077519379844,-2300000000
2011-09-30,1623000000,82000000,2011-11-02,1.02,0.99,128900000,570000000,1472000000,0.6361520558572537,-902000000
2011-12-31,1630000000,-170000000,2012-02-15,-0.14,0.06,105500000,306000000,1993000000,-1.6113744075829384,-1687000000
2012-03-31,1623000000,-23000000,2012-05-07,0.12,-0.01,105900000,253000000,3073000000,-0.21718602455146366,-2820000000
2012-06-30,1866000000,79000000,2012-08-01,0.94,0.7,121900000,469000000,3914000000,0.6480721903199343,-3445000000
2012-09-30,2170000000,280000000,2012-11-01,1.46,1.51,118000000,802000000,2000000,2.3728813559322033,800000000
2012-12-31,1698000000,-46000000,2013-02-13,-0.07,-0.07,106900000,365000000,905000000,-0.4303086997193639,-540000000
2013-03-31,1691000000,-46000000,2013-05-01,0.08,0.02,107700000,300000000,738000000,-0.4271123491179202,-438000000
2013-06-30,2004000000,-28000000,2013-08-06,0.5,0.5,108400000,574000000,2190000000,-0.25830258302583026,-1616000000
2013-09-30,2395000000,118000000,2013-10-30,1.48,1.52,116200000,869000000,364000000,1.0154905335628228,505000000
2013-12-31,1849000000,-28000000,2014-02-19,0.15,0.12,107100000,510000000,922000000,-0.26143790849673204,-412000000
2014-03-31,1862000000,4000000,2014-05-07,0.16,0.08,108600000,390000000,841000000,0.03683241252302026,-451000000
2014-06-30,2194000000,26000000,2014-08-04,0.68,0.61,111000000,621000000,3071000000,0.23423423423423423,-2450000000
2014-09-30,2542000000,192000000,2014-10-29,1.91,1.8,109900000,1056000000,485000000,1.7470427661510464,571000000
2014-12-31,1887000000,23000000,2015-02-18,0.23,0.2,108300000,512000000,1036000000,0.2123730378578024,-524000000
2015-03-31,1850000000,-9000000,2015-05-04,0.17,0.14,106100000,503000000,792000000,-0.08482563619227144,-289000000
2015-06-30,2173000000,143000000,2015-08-03,0.84,0.68,106700000,524000000,2678000000,1.3402061855670102,-2154000000
2015-09-30,2577000000,184000000,2015-11-02,1.98,2.02,104000000,1011000000,338000000,1.7692307692307692,673000000
2015-12-31,1902000000,-5000000,2016-02-23,0.18,0.17,99500000,546000000,685000000,-0.05025125628140704,-139000000
2016-03-31,1881000000,-51000000,2016-05-03,-0.28,-0.08,96300000,463000000,1404000000,-0.5295950155763239,-941000000
2016-06-30,2252000000,36000000,2016-08-02,0.63,0.69,95100000,607000000,1767000000,0.3785488958990536,-1160000000
