fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,112016000,71635000,2005-11-07,0.09,0.07,81066000,-4159000,7678000,0.883662694594528,-11837000
2005-12-31,81766000,-3016000,2006-03-14,-0.1,-0.01,80874000,-33833000,2647000,-0.03729257857902416,-36480000
2006-03-31,45028000,-10273000,2006-05-09,-0.26,-0.25,78444000,10401000,9953000,-0.1309596654938555,448000
2006-06-30,175025000,33353000,2006-08-08,0.68,0.65,81738000,41242000,4227000,0.408047664488977,37015000
2006-09-30,106350000,8747000,2006-11-07,0.07,0.1,81936000,-4939000,7566000,0.10675405194297989,-12505000
2006-12-31,51987000,-2016000,2007-03-12,-0.03,-0.04,82578000,22804000,24853000,-0.024413281987938677,-2049000
2007-03-31,47842000,-8191000,2007-05-08,-0.21,-0.26,80226000,19732000,11533000,-0.10209907012689153,8199000
2007-06-30,169933000,29319000,2007-08-07,0.71,0.69,83418000,32888000,16142000,0.3514709055599511,16746000
2007-09-30,103905000,818000,2007-11-07,0.03,0.07,84228000,2721000,9873000,0.009711734815025881,-7152000
2007-12-31,89055000,-6215000,2008-03-13,-0.13,-0.07,84462000,-4116000,8084000,-0.07358338661173072,-12200000
2008-03-31,65721000,742000,2008-05-06,-0.22,-0.22,84060000,44509000,8647000,0.008827028313109683,35862000
2008-06-30,179297000,29412000,2008-08-05,0.7,0.74,83988000,40460000,7848000,0.35019288469781396,32612000
2008-09-30,99603000,2468000,2008-11-05,0.06,0.06,84150000,-10327000,12067000,0.02932857991681521,-22394000
2008-12-31,85945000,-4073000,2009-03-04,-0.09,-0.06,84120000,3592000,11588000,-0.0484189253447456,-7996000
2009-03-31,73737000,-4826000,2009-05-06,-0.12,-0.19,81438000,27997000,4160000,-0.059259805005034506,23837000
2009-06-30,180037000,30861000,2009-07-29,0.73,0.71,84186000,37172000,6808000,0.36658114175753687,30364000
2009-09-30,100896000,-2325000,2009-10-28,-0.03,0.08,81522000,-2300000,24587000,-0.028519908736292045,-26887000
2009-12-31,85031000,-6882000,2010-03-02,-0.17,-0.07,84240000,8178000,49635000,-0.0816951566951567,-41457000
2010-03-31,75050000,-8668000,2010-05-05,-0.21,-0.17,81654000,21273000,18963000,-0.10615524040463419,2310000
2010-06-30,200512000,27605000,2010-08-04,0.62,0.68,89370000,36613000,33185000,0.3088844131140204,3428000
2010-09-30,135744000,-689000,2010-11-03,0.07,-0.03,100608000,-2545000,7095000,-0.006848361959287532,-9640000
2010-12-31,174039000,-1895000,2011-03-14,-0.09,-0.04,101358000,4516000,5459000,-0.018696106868722744,-943000
2011-03-31,131554000,-3185000,2011-05-09,-0.06,-0.1,98148000,60475000,5517000,-0.03245099237885642,54958000
2011-06-30,249686000,40147000,2011-07-27,0.79,0.73,101610000,44334000,7600000,0.3951087491388643,36734000
2011-09-30,166349000,19780000,2011-10-26,0.12,0.1,101844000,26823000,5935000,0.1942186088527552,20888000
2011-12-31,149265000,7613000,2012-03-12,0.08,,106098000,41546000,5865000,0.07175441572885445,35681000
