fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2020-09-30,,-3576,2020-12-03,0.0,0.0,214780000,-3576,0,-1.664959493435143e-05,-3576
2020-12-31,,1115495,2021-02-17,-0.01,,214780000,-318064,0,0.005193663283359717,-318064
2021-03-31,,-113000,2021-05-07,-0.39,,200000000,-45000,56395594,-0.000565,-56440594
2021-06-30,0.0,-548000,2021-08-10,-0.05,,200000000,-958000,56395594,-0.00274,-57353594
2021-09-30,0.0,-2421183,2021-11-12,-0.01,,217657106,-25951679,130236,-0.011123840817767742,-26081915
2021-12-31,,-69070612,2022-03-04,-0.27,,251981657,-4565612,4979189,-0.2741096825155015,-9544801
2022-03-31,0.0,-17499000,2022-05-10,-0.07,,250174255,-3321000,103973000,-0.06994724537103149,-107294000
2022-06-30,0.0,-29219000,2022-08-09,-0.12,-0.12,247730410,-6611000,65907000,-0.11794676317695514,-72518000
2022-09-30,-8345000.0,59292000,2022-11-14,0.24,-0.07,248342200,1041000,43173000,0.23875120700388416,-42132000
2022-12-31,3037000.0,-51627000,2023-03-14,-0.21,-0.06,247551958,-12024000,14865000,-0.20855015818537778,-26889000
2023-03-31,21895000.0,-4553000,2023-05-09,-0.03,-0.02,248654082,10816000,19053000,-0.018310578146873133,-8237000
2023-06-30,31224000.0,-13198000,2023-08-08,-0.05,-0.03,249127664,-17654000,12420000,-0.052976854469281257,-30074000
2023-09-30,30304000.0,-18621000,2023-11-08,-0.07,-0.05,251789350,-18529000,6040000,-0.07395467679629818,-24569000
2023-12-31,43419000.0,11236000,2024-03-05,0.05,-0.04,290957862,-126645000,17507000,0.03861727578957808,-144152000
2024-03-31,48137000.0,39900000,2024-05-07,0.13,0.01,304397979,-26636000,12638000,0.1310783998339227,-39274000
2024-06-30,36808000.0,-15291000,2024-08-13,-0.05,-0.05,314353742,-25352000,39574000,-0.04864265302749283,-64926000
2024-09-30,24102000.0,-86754000,2024-10-31,-0.26,-0.08,332680037,-6545000,176483000,-0.26077308630334195,-183028000
2024-12-31,42223000.0,17510000,2025-03-03,0.14,0.0467,364351000,-28978000,75181000,0.04805805390955425,-104159000
2025-03-31,48959000.0,-38975000,2025-05-05,-0.1081,0.0375,360514620,-47238000,100027000,-0.1081093465779557,-147265000
2025-06-30,43565000.0,-45781000,2025-08-07,-0.12,-0.0776,375052248,-56217000,31297000,-0.12206565950245951,-87514000
2025-09-30,71707000.0,-3283000,2025-10-29,0.1,-0.0527,376372526,-50051000,45132000,-0.00872274083045052,-95183000
