fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,2911800000,340100000,2005-11-01,0.34,0.33,1079682540,577000000,98600000,0.3149999999073802,478400000
2005-12-31,2904600000,353800000,2006-01-25,0.35,0.34,1088573542,479000000,131400000,0.32501249235763624,347600000
2006-03-31,2870600000,317100000,2006-04-26,0.34,0.33,1074915254,382500000,51700000,0.2950000000651214,330800000
2006-06-30,3014300000,276500000,2006-07-25,0.36,0.36,1084313725,313400000,85000000,0.2550000001152803,228400000
2006-09-30,3143700000,337200000,2006-10-25,0.37,0.36,1070476190,674000000,115100000,0.3150000001401246,558900000
2006-12-31,3209100000,393900000,2007-01-30,0.39,0.38,1079759387,451600000,224600000,0.36480349672570156,227000000
2007-03-31,3213900000,479500000,2007-04-25,0.39,0.39,1077528090,487900000,92700000,0.4449999999535975,395200000
2007-06-30,3405400000,409000000,2007-07-25,0.42,0.42,1076315789,411100000,106900000,0.3800000001672372,304200000
2007-09-30,3528200000,413200000,2007-10-30,0.43,0.42,1073246753,739700000,127500000,0.3850000000885165,612200000
2007-12-31,3642200000,407700000,2008-01-31,0.46,0.45,1059425926,565000000,256000000,0.38483105802339973,309000000
2008-03-31,3713000000,466500000,2008-04-30,0.45,0.44,1079000000,569900000,85300000,0.43234476367006486,484600000
2008-06-30,3964800000,493800000,2008-07-29,0.49,0.47,1073200000,466500000,131400000,0.46011926947446885,335100000
2008-09-30,3988000000,493000000,2008-10-30,0.5,0.49,1068600000,740600000,175300000,0.46135130076735914,565300000
2008-12-31,3664100000,497000000,2009-01-29,0.5,0.49,1059800000,481300000,291100000,0.46895640686922063,190200000
2009-03-31,3502800000,508000000,2009-04-30,0.49,0.48,1052400000,690000000,73000000,0.4827061953629799,617000000
2009-06-30,3745000000,562000000,2009-07-30,0.54,0.52,1049800000,521000000,137000000,0.5353400647742427,384000000
2009-09-30,3998000000,590000000,2009-10-29,0.56,0.56,1049200000,1164000000,137000000,0.5623332062523828,1027000000
2009-12-31,4081000000,631000000,2010-01-28,0.61,0.59,1046800000,902000000,228000000,0.6027894535727932,674000000
2010-03-31,3829000000,357000000,2010-04-29,0.61,0.59,1038000000,733000000,81000000,0.3439306358381503,652000000
2010-06-30,3814000000,603000000,2010-07-29,0.59,0.58,1030769231,569000000,123000000,0.5849999998690298,446000000
2010-09-30,3943000000,619000000,2010-10-28,0.61,0.59,1019000000,941000000,114000000,0.6074582924435721,827000000
2010-12-31,3978000000,624000000,2011-01-27,0.62,0.62,999000000,968000000,232000000,0.6246246246246246,736000000
2011-03-31,3994000000,576000000,2011-04-28,0.58,0.58,993200000,680000000,78000000,0.5799436165928312,602000000
2011-06-30,4185000000,622000000,2011-07-28,0.63,0.62,986600000,474000000,147000000,0.6304480032434624,327000000
2011-09-30,4383000000,643000000,2011-10-27,0.66,0.65,981000000,903000000,99000000,0.6554536187563711,804000000
2011-12-31,4172000000,590000000,2012-01-26,0.65,0.65,976000000,839000000,213000000,0.6045081967213115,626000000
2012-03-31,4200000000,593000000,2012-04-26,0.62,0.62,967800000,662000000,60000000,0.6127299028724943,602000000
2012-06-30,4267000000,627000000,2012-07-26,0.67,0.67,962700000,531000000,129000000,0.6512932377687753,402000000
2012-09-30,4332000000,654000000,2012-10-25,0.69,0.69,958400000,940000000,128000000,0.6823873121869783,812000000
2012-12-31,4286000000,598000000,2013-01-31,0.71,0.7,952100000,1063000000,248000000,0.628085285159122,815000000
2013-03-31,4315000000,460000000,2013-04-25,0.66,0.66,945000000,777000000,94000000,0.48677248677248675,683000000
2013-06-30,4346000000,561000000,2013-07-25,0.7,0.7,942300000,548000000,149000000,0.5953517987901942,399000000
2013-09-30,4398000000,656000000,2013-10-24,0.73,0.73,936900000,1040000000,176000000,0.7001814494609884,864000000
2013-12-31,4361000000,564000000,2014-01-30,0.75,0.74,935400000,839000000,251000000,0.6029506093649776,588000000
2014-03-31,4325000000,388000000,2014-04-25,0.68,0.68,928600000,820000000,168000000,0.4178332974370019,652000000
2014-06-30,4352000000,622000000,2014-07-31,0.73,0.73,925900000,569000000,146000000,0.6717788098066746,423000000
2014-09-30,4379000000,542000000,2014-10-24,0.76,0.76,922800000,1003000000,179000000,0.5873428695275249,824000000
2014-12-31,4221000000,628000000,2015-01-29,0.76,0.74,920100000,906000000,264000000,0.6825345071187915,642000000
2015-03-31,4070000000,542000000,2015-04-30,0.66,0.66,916300000,727000000,122000000,0.5915093310051294,605000000
2015-06-30,4066000000,574000000,2015-07-30,0.7,0.7,912400000,496000000,158000000,0.6291100394563788,338000000
2015-09-30,3999000000,726000000,2015-10-30,0.72,0.72,906900000,885000000,179000000,0.8005292755540854,706000000
2015-12-31,3899000000,-458000000,2016-01-29,0.73,0.72,903400000,841000000,232000000,-0.5069736550808058,609000000
2016-03-31,3762000000,533000000,2016-04-28,0.63,0.63,900200000,614000000,114000000,0.5920906465229949,500000000
2016-06-30,3845000000,600000000,2016-07-28,0.7,0.69,901100000,706000000,134000000,0.6658528465209189,572000000
2016-09-30,3867000000,702000000,2016-10-27,0.73,0.73,899200000,997000000,144000000,0.780693950177936,853000000
2016-12-31,3721000000,606000000,2017-01-27,0.75,0.75,893000000,824000000,201000000,0.6786114221724524,623000000
2017-03-31,3762000000,570000000,2017-04-28,0.67,0.66,891000000,691000000,121000000,0.6397306397306397,570000000
2017-06-30,3826000000,524000000,2017-07-21,0.72,0.72,890800000,614000000,108000000,0.5882352941176471,506000000
2017-09-30,3974000000,607000000,2017-10-27,0.73,0.73,886300000,990000000,153000000,0.6848696829515966,837000000
2017-12-31,3892000000,323000000,2018-01-26,0.75,0.75,883300000,759000000,171000000,0.3656741763840145,588000000
2018-03-31,4002000000,634000000,2018-04-27,0.74,0.72,879900000,616000000,118000000,0.7205364245937038,498000000
2018-06-30,3886000000,637000000,2018-07-27,0.77,0.77,874000000,681000000,98000000,0.7288329519450801,583000000
2018-09-30,3845000000,523000000,2018-10-26,0.72,0.72,871100000,897000000,105000000,0.6003903111009069,792000000
2018-12-31,3811000000,606000000,2019-01-25,0.74,0.73,867000000,862000000,115000000,0.698961937716263,747000000
2019-03-31,3884000000,560000000,2019-04-26,0.67,0.66,863200000,605000000,71000000,0.6487488415199258,534000000
2019-06-30,3866000000,586000000,2019-07-26,0.72,0.72,861900000,644000000,75000000,0.6798932590787794,569000000
2019-09-30,3928000000,578000000,2019-11-01,0.71,0.7,861200000,914000000,80000000,0.6711565257779842,834000000
