fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,178580000,5457000,2005-11-07,0.16,0.2,35288000,-880000,5443000,0.15464180457946045,-6323000
2005-12-31,193714000,7952000,2006-03-07,0.22,0.16,35361000,21513000,6140000,0.2248805180848958,15373000
2006-03-31,184495000,2805000,2006-05-04,0.07,0.08,41018000,4808000,10218000,0.06838461163391682,-5410000
2006-06-30,199562000,11372000,2006-08-08,0.28,0.27,41098000,25636000,10771000,0.2767044625042581,14865000
2006-09-30,213903000,21005000,2006-11-08,0.51,0.29,41214000,20647000,10164000,0.5096569126995681,10483000
2006-12-31,231849000,11493000,2007-03-14,0.28,0.29,41264000,10291000,11863000,0.2785236525785188,-1572000
2007-03-31,205024000,3501000,2007-05-09,0.09,0.15,41274000,-4367000,5786000,0.08482337549062363,-10153000
2007-06-30,238708000,11188000,2007-08-08,0.27,0.27,41322000,19695000,10066000,0.2707516577125986,9629000
2007-09-30,245507000,12940000,2007-11-07,0.32,0.28,41372000,34455000,7962000,0.312771923039737,26493000
2007-12-31,257678000,16569000,2008-02-27,0.41,0.33,41316000,30212000,12714000,0.4010310775486494,17498000
2008-03-31,242509000,8922000,2008-05-07,0.22,0.2,41820000,13016000,19207000,0.2133428981348637,-6191000
2008-06-30,265259000,15987000,2008-08-06,0.35,0.33,45872000,29265000,10878000,0.348513254272759,18387000
2008-09-30,273157000,14628000,2008-11-05,0.36,0.37,47644000,33952000,9133000,0.3070271177902779,24819000
2008-12-31,249788000,17949000,2009-02-25,0.38,0.34,46688000,33357000,18244000,0.3844456819739548,15113000
2009-03-31,206306000,4955000,2009-05-06,0.11,0.2,47724000,11911000,24200000,0.10382616712765066,-12289000
2009-06-30,215337000,8624000,2009-08-03,0.18,0.29,47778000,37146000,10451000,0.1805014860395998,26695000
2009-09-30,305608000,9185000,2009-11-04,0.3,0.31,51104000,17472000,12855000,0.1797315278647464,4617000
2009-12-31,346969000,13922000,2010-02-24,0.27,0.33,51304000,26741000,14738000,0.27136285669733357,12003000
2010-03-31,354896000,10430000,2010-05-05,0.2,0.21,52742000,-8207000,17138000,0.19775510977968222,-25345000
2010-06-30,471639000,57929000,2010-08-04,1.1,0.43,52849000,105524000,20544000,1.0961229162330413,84980000
2010-09-30,487651000,38827000,2010-11-03,0.74,0.56,52963000,56613000,40321000,0.7330966901421747,16292000
2010-12-31,417058000,23329000,2011-02-23,0.44,0.39,52947500,70178000,42651000,0.4406062609188347,27527000
2011-03-31,434962000,22730000,2011-05-04,0.39,0.33,53158000,14856000,34437000,0.4275932126867075,-19581000
2011-06-30,447235000,29156000,2011-08-03,0.55,0.42,53362000,60773000,32089000,0.5463813200404782,28684000
2011-09-30,556053000,37133000,2011-11-02,0.7,0.52,53370000,75707000,49474000,0.6957654112797452,26233000
2011-12-31,545886000,38233000,2012-02-22,0.6,0.48,53406000,28195000,35440000,0.7158933453170055,-7245000
2012-03-31,572022000,32015000,2012-05-02,0.6,0.57,53488000,29553000,28086000,0.5985454681423871,1467000
2012-06-30,523118000,23426000,2012-08-08,0.44,0.56,53505000,146221000,55838000,0.437828240351369,90383000
2012-09-30,533806000,12359000,2012-11-07,0.54,0.54,53565000,56918000,48811000,0.23072902081583124,8107000
2012-12-31,558962000,61874000,2013-02-20,0.3,0.4,55746000,91673000,68708000,1.1099271696623974,22965000
2013-03-31,862163000,10502000,2013-05-01,0.39,0.33,60630000,39589000,72974000,0.17321458024080488,-33385000
2013-06-30,860528000,22902000,2013-08-07,0.45,0.59,60687000,98023000,70661000,0.377379010331702,27362000
2013-09-30,907535000,35361000,2013-11-06,0.61,0.65,60760000,142502000,68363000,0.5819782751810402,74139000
2013-12-31,879430000,26801000,2014-02-26,0.44,0.55,60835000,135725000,74949000,0.4405523136352429,60776000
2014-03-31,846667000,8960000,2014-05-07,0.19,0.14,60861000,4596000,76080000,0.14722071605790243,-71484000
2014-06-30,858480000,28672000,2014-08-06,0.47,0.43,60778000,110348000,64997000,0.4717496462535786,45351000
2014-09-30,851465000,-93337000,2014-11-05,0.45,0.63,60369000,81095000,63243000,-1.5461081018403484,17852000
2014-12-31,845024000,27377000,2015-02-25,0.46,0.32,59613000,101327000,59812000,0.45924546659285725,41515000
2015-03-31,732499000,-7089000,2015-05-06,-0.12,-0.01,58875000,84777000,54120000,-0.12040764331210191,30657000
2015-06-30,936228000,10395000,2015-08-05,0.72,0.51,58710000,109038000,73113000,0.17705671946857435,35925000
2015-09-30,893366000,40228000,2015-11-04,0.69,0.73,58268000,115778000,67399000,0.690396100775726,48379000
2015-12-31,713044000,568000,2016-02-24,0.01,0.12,57720000,86790000,67860000,0.00984060984060984,18930000
2016-03-31,636083000,-20871000,2016-05-04,-0.22,-0.22,57617000,39289000,76293000,-0.36223683982158045,-37004000
2016-06-30,697510000,3966000,2016-08-03,0.15,0.23,57678000,80762000,48209000,0.06876105274107978,32553000
2016-09-30,729520000,-10255000,2016-11-02,0.16,0.33,57487000,58776000,52766000,-0.17838815732252508,6010000
2016-12-31,692113000,-12713000,2017-02-22,-0.06,0.06,57350000,80797000,44947000,-0.22167393199651264,35850000
2017-03-31,688941000,-21393000,2017-05-03,-0.19,-0.18,57262000,57119000,43213000,-0.3735985470294436,13906000
2017-06-30,752788000,25880000,2017-08-02,0.24,0.26,57336000,59812000,46768000,0.4513743546811776,13044000
2017-09-30,755846000,12058000,2017-11-01,0.21,0.39,57195000,104538000,39103000,0.21082262435527582,65435000
2017-12-31,747403000,84194000,2018-02-28,-0.06,0.07,56955000,64229000,39540000,1.4782547625318234,24689000
2018-03-31,749778000,-12631000,2018-05-02,-0.12,-0.16,56457000,51903000,45487000,-0.2237277928334839,6416000
2018-06-30,849140000,30747000,2018-08-01,0.54,0.35,56505000,77767000,50758000,0.5441465357048049,27009000
2018-09-30,843181000,31089000,2018-10-31,0.59,0.43,56291000,117545000,57977000,0.5522907747242011,59568000
2018-12-31,858204000,16431000,2019-02-27,0.24,0.17,56207000,125995000,43810000,0.29233013681569914,82185000
2019-03-31,780839000,976000,2019-05-01,0.09,0.02,56082000,29740000,60079000,0.017403088334938126,-30339000
2019-06-30,868678000,36244000,2019-07-31,0.66,0.62,56066000,108730000,60216000,0.6464523953911462,48514000
2019-09-30,891668000,36369000,2019-10-30,0.72,0.71,56165000,146205000,57134000,0.6475385026261907,89071000
2019-12-31,871005000,24151000,2020-02-26,0.42,0.46,56124000,128517000,42799000,0.43031501674862804,85718000
2020-03-31,858563000,11572000,2020-04-29,0.28,0.09,56055000,33681000,83215000,0.20644010346980643,-49534000
2020-06-30,710000000,29023000,2020-08-05,0.52,0.01,55748000,139805000,43748000,0.5206106048647485,96057000
2020-09-30,779344000,54910000,2020-11-04,0.9,0.27,55738000,143946000,25257000,0.9851447845276113,118689000
2020-12-31,796190000,39332000,2021-02-24,0.63,0.39,55264000,113165000,46065000,0.7117110596409959,67100000
2021-03-31,808148000,21736000,2021-05-05,0.42,0.25,55043000,103000000,42418000,0.39489126682775283,60582000
2021-06-30,926458000,67075000,2021-08-04,1.19,0.81,54854000,162432000,51320000,1.222791409924527,111112000
2021-09-30,951479000,65443000,2021-11-03,1.14,1.0,54707000,102794000,55575000,1.1962454530498838,47219000
2021-12-31,1119481000,48993000,2022-02-23,0.89,0.68,54658000,177771000,96391000,0.8963555197775257,81380000
2022-03-31,1169109000,45314000,2022-05-04,0.83,0.72,54672000,-38629000,70629000,0.8288337723148961,-109258000
2022-06-30,1356312000,148157000,2022-08-03,2.44,1.48,54597000,170599000,78249000,2.71364726999652,92350000
2022-09-30,1363086000,135799000,2022-11-02,2.43,2.11,54381000,225572000,96763000,2.497177322962064,128809000
2022-12-31,1278098000,82474000,2023-03-01,1.44,1.36,54378000,268672000,101381000,1.5166795395196586,167291000
2023-03-31,1307387000,72401000,2023-05-03,1.36,1.17,54404000,28008000,82019000,1.330802882141019,-54011000
2023-06-30,1397900000,115766000,2023-08-02,2.13,2.1,54448000,207565000,123393000,2.1261754334410816,84172000
2023-09-30,1365696000,91340000,2023-11-01,1.68,2.1,54419000,220119000,108001000,1.6784578915452324,112118000
2023-12-31,1338169000,98349000,2024-02-21,1.82,1.69,54259000,278860000,111536000,1.8125840874324997,167324000
2024-03-31,1376695000,69832000,2024-05-01,1.29,1.15,54213000,18549000,138447000,1.2881043292199288,-119898000
2024-06-30,1552719000,133280000,2024-07-31,2.46,2.23,54248000,216045000,136444000,2.4568647692080816,79601000
2024-09-30,1529422000,115213000,2024-10-30,2.12,2.18,54229000,239239000,97480000,2.1245643474893505,141759000
2024-12-31,1431116000,83974000,2025-02-19,1.6209,1.36,54199000,303938000,69477000,1.5493643794165943,234461000
2025-03-31,1431950000,58680000,2025-04-29,1.09,1.06,53993000,1605000,118695000,1.0868075491267386,-117090000
2025-06-30,1549854000,126905000,2025-07-29,2.36,2.38,53799000,208040000,90029000,2.35887284150263,118011000
2025-09-30,1549337000,118799000,2025-10-29,2.21,2.4,53713000,301987000,94445000,2.2117364511384583,207542000
