fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2010-09-30,1443000000,145000000,2010-12-31,0.1132,0,254700000,-50000000,187000000,0.569297212406753,-237000000
2010-12-31,1682000000,25000000,2011-03-31,0.51,0,250000000,-39000000,222000000,0.1,-261000000
2011-03-31,2055000000,135000000,2011-06-30,0.38,0,261700000,841000000,208000000,0.5158578525028659,633000000
2011-06-30,1364000000,100000000,2011-09-30,0.53,0,261900000,375000000,191000000,0.3818251240931653,184000000
2011-09-30,1464000000,139000000,2011-12-31,0.1544,0,263900000,-21000000,268000000,0.5267146646456992,-289000000
2011-12-31,1620000000,41000000,2012-03-31,0.22,0,255600000,-26000000,258000000,0.16040688575899845,-284000000
2012-03-31,1743000000,67000000,2012-06-30,0.37,0,266800000,635000000,301000000,0.25112443778110943,334000000
2012-06-30,1333000000,100000000,2012-09-30,0.55,0,268200000,308000000,294000000,0.37285607755406414,14000000
2012-09-30,1507000000,148000000,2012-12-31,0.2517,0,269000000,-9000000,298000000,0.550185873605948,-307000000
2012-12-31,1670000000,67000000,2013-03-31,0.53,0,262900000,307000000,383000000,0.25484975275770255,-76000000
2013-03-31,1979000000,144000000,2013-06-30,0.29,0,270900000,725000000,283000000,0.53156146179402,442000000
2013-06-30,1406000000,80000000,2013-09-30,0.46,0,272200000,370000000,320000000,0.29390154298310067,50000000
2013-09-30,1445000000,126000000,2013-12-31,0.3713,0,272000000,23000000,335000000,0.4632352941176471,-312000000
2013-12-31,1736000000,102000000,2014-03-31,0.75,0,272000000,303000000,443000000,0.375,-140000000
2014-03-31,2523000000,204000000,2014-06-30,0.3,0,273000000,611000000,318000000,0.7472527472527473,293000000
2014-06-30,1468000000,83000000,2014-09-30,0.34,0,274600000,326000000,381000000,0.3022578295702841,-55000000
2014-09-30,1430000000,94000000,2014-12-31,0.3504,0,275000000,25000000,488000000,0.3418181818181818,-463000000
2014-12-31,1758000000,96000000,2015-03-31,0.73,0,275000000,485000000,465000000,0.3490909090909091,20000000
2015-03-31,2111000000,202000000,2015-06-30,0.2433,0,275700000,760000000,393000000,0.7326804497642365,367000000
2015-06-30,1350000000,67000000,2015-09-30,0.53,0,276200000,502000000,338000000,0.24257784214337436,164000000
2015-09-30,1486000000,148000000,2015-12-31,0.3804,0,276900000,158000000,471000000,0.5344889851932105,-313000000
2015-12-31,1509000000,106000000,2016-03-31,0.59,0,277000000,220000000,491000000,0.38267148014440433,-271000000
2016-03-31,1801000000,164000000,2016-06-30,0.4457,0,277900000,632000000,428000000,0.5901403382511695,204000000
2016-06-30,1371000000,124000000,2016-09-30,0.6686,0,279300000,469000000,440000000,0.4439670605084139,29000000
2016-09-30,1587000000,186000000,2016-12-31,0.277,0,279200000,140000000,407000000,0.666189111747851,-267000000
2016-12-31,1640000000,77000000,2017-03-31,0.71,0,279000000,388000000,448000000,0.27598566308243727,-60000000
2017-03-31,1829000000,199000000,2017-06-30,0.3292,0,279900000,646000000,365000000,0.7109682029296177,281000000
2017-06-30,1449000000,92000000,2017-09-30,0.61,0,280300000,473000000,381000000,0.328219764537995,92000000
2017-09-30,1527000000,172000000,2017-12-31,-0.0107,0,281600000,80000000,462000000,0.6107954545454546,-382000000
2017-12-31,1778000000,-3000000,2018-03-31,0.8561,0,280800000,506000000,457000000,-0.010683760683760684,49000000
2018-03-31,1953000000,241000000,2018-06-30,0.49,0,282200000,708000000,422000000,0.854004252303331,286000000
2018-06-30,1492000000,139000000,2018-09-30,0.59,0,282600000,708000000,450000000,0.49186128803963197,258000000
2018-09-30,1599000000,169000000,2018-12-31,0.3801,0,283200000,149000000,700000000,0.5967514124293786,-551000000
2018-12-31,1829000000,108000000,2019-03-31,0.75,0,283300000,138000000,502000000,0.3812213201553124,-364000000
2019-03-31,2059000000,213000000,2019-06-30,0.3287,0,283600000,617000000,481000000,0.7510578279266573,136000000
2019-06-30,1445000000,93000000,2019-09-30,0.73,0,284000000,568000000,492000000,0.3274647887323944,76000000
2019-09-30,1546000000,207000000,2019-12-31,0.5796,0,284600000,210000000,597000000,0.7273366127898805,-387000000
2019-12-31,1795000000,167000000,2020-03-31,0.8009,0,284800000,395000000,534000000,0.586376404494382,-139000000
2020-03-31,1864000000,243000000,2020-06-30,0.4483,0,285200000,201000000,523000000,0.8520336605890603,-322000000
2020-06-30,1382000000,136000000,2020-09-30,0.72,0,286500000,595000000,421000000,0.47469458987783597,174000000
2020-09-30,1507000000,218000000,2020-12-31,0.5488,0,286900000,348000000,749000000,0.7598466364586964,-401000000
2020-12-31,1798000000,158000000,2021-03-31,1.0902,0,286900000,132000000,618000000,0.5507145346810736,-486000000
2021-03-31,2013000000,349000000,2021-06-30,0.5467,0,289100000,832000000,436000000,1.207194742303701,396000000
2021-06-30,1558000000,176000000,2021-09-30,0.5396,0,289400000,535000000,441000000,0.608154803040774,94000000
2024-12-31,1989000000,265000000,2025-02-11,0.88,0,298784865,403000000,918000000,0.8869257818664945,-515000000
2025-03-31,2447000000,304000000,2025-04-24,1.01,0,299100000,1000000000,888000000,1.0163824807756603,112000000
2025-06-30,1838000000,201000000,2025-07-31,0.66,0,299100000,414000000,884000000,0.6720160481444333,-470000000
2025-09-30,2021000000,277000000,2025-10-30,0.92,0,300400000,343000000,978000000,0.9221038615179761,-635000000
