fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2021-12-31,9072000000,302000000,2022-02-08,0.25,0.21,1354295000,2190000000,781000000,0.22299425162169248,1409000000
2022-03-31,4645000000,333000000,2022-05-03,0.28,0.23,1362000000,-887000000,177000000,0.2444933920704846,-1064000000
2022-06-30,6082000000,548000000,2022-07-29,0.43,0.37,1360000000,-271000000,214000000,0.40294117647058825,-485000000
2022-09-30,5881000000,556000000,2022-11-08,0.41,0.33,1355000000,272000000,222000000,0.4103321033210332,50000000
2022-12-31,6943000000,592000000,2023-02-02,0.36,0.35,1361000000,1443000000,386000000,0.43497428361498897,1057000000
2023-03-31,5342000000,482000000,2023-05-05,0.35,0.32,1359000000,-701000000,197000000,0.35467255334805003,-898000000
2023-06-30,6567000000,706000000,2023-07-28,0.52,0.49,1355000000,-139000000,264000000,0.5210332103321034,-403000000
2023-09-30,5986000000,537000000,2023-11-07,0.42,0.43,1351000000,232000000,324000000,0.39748334566987414,-92000000
2023-12-31,6792000000,616000000,2024-02-14,0.42,0.42,1334000000,1515000000,410000000,0.4617691154422789,1105000000
2024-03-31,4818000000,368000000,2024-05-02,0.33,0.26,1274000000,-894000000,202000000,0.28885400313971743,-1096000000
2024-06-30,5488000000,399000000,2024-07-31,0.38,0.37,1260000000,379000000,218000000,0.31666666666666665,161000000
2024-09-30,4654000000,306000000,2024-11-07,0.24,0.28,1254000000,791000000,291000000,0.24401913875598086,500000000
2024-12-31,4876000000,173000000,2025-02-04,0.14,0.17,1253000000,1692000000,475000000,0.1380686352753392,1217000000
2025-03-31,3828000000,131000000,2025-05-01,0.1,0.1,1253000000,162000000,264000000,0.10454908220271349,-102000000
2025-06-30,4711000000,213000000,2025-08-01,0.17,0.14,1253000000,772000000,252000000,0.16999201915403034,520000000
2025-09-30,4399000000,80000000,2025-11-07,0.08,0.14,1253000000,659000000,186000000,0.06384676775738228,473000000
