fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,14870000,2036000,2005-10-27,0.14,0.17,14145690,1499000,688000,0.14393076619097406,811000
2005-12-31,14434000,1932000,2006-01-31,0.14,0.12,14107000,2423000,465000,0.1369532856028922,1958000
2006-03-31,10366000,-1067000,2006-04-27,-0.08,0.03,14107000,1663000,316000,-0.0756362089742681,1347000
2006-06-30,13927000,1372000,2006-07-31,0.1,0.09,14021000,2754000,587000,0.09785322016974538,2167000
2006-09-30,14639000,1302000,2006-10-26,0.1,0.11,14689000,-3042000,625000,0.08863775614405338,-3667000
2006-12-31,15026000,2291000,2007-01-25,0.16,0.09,14606000,4172000,690000,0.15685334793920308,3482000
2007-03-31,14862000,1309000,2007-04-26,0.09,0.06,14686000,-391000,127000,0.08913250714966635,-518000
2007-06-30,14121000,1017000,2007-07-26,0.07,0.06,13963000,-52000,350000,0.07283535056936188,-402000
2007-09-30,13847000,998000,2007-10-26,0.1,0.11,13939000,-635000,332000,0.07159767558648397,-967000
2007-12-31,13671000,532000,2008-02-01,0.0393,,13145000,2964000,164000,0.040471662228984406,2800000
2008-03-31,13226000,1217000,2008-04-24,0.0925,,13164000,-1769000,369000,0.0924491036159222,-2138000
2008-06-30,13346000,1408000,2008-07-25,0.1076,,13084000,3115000,1273000,0.10761235096300825,1842000
2008-09-30,12736000,1518000,2008-10-24,0.1167,,13004000,2476000,844000,0.11673331282682252,1632000
2008-12-31,13230000,1699000,2009-02-02,0.1307,,12991000,-4526000,372000,0.1307828496651528,-4898000
2009-03-31,13326000,799000,2009-04-27,0.0516,,12993000,4858000,201000,0.061494650965904715,4657000
2009-06-30,15257000,1201000,2009-07-31,0.081,,12997000,14847000,440000,0.09240593983226898,14407000
2009-09-30,13802000,1535000,2009-10-29,0.1067,,13005000,-9387000,56000,0.11803152633602461,-9443000
2009-12-31,12631000,1038000,2010-01-29,0.0616,,14575000,-6696000,45000,0.07121783876500858,-6741000
2010-03-31,14613000,281000,2010-05-03,0.0093,,14580000,6227000,59000,0.019272976680384087,6168000
2010-06-30,14675000,2014000,2010-07-29,0.1282,,14576000,3622000,112000,0.13817233809001098,3510000
2010-09-30,14170000,2139000,2010-10-28,0.136,,14649000,4476000,95000,0.14601679295515052,4381000
2010-12-31,12823000,2570000,2011-01-28,0.15,0.15,16290000,3322000,34000,0.15776550030693678,3288000
2011-03-31,14559000,3018000,2011-04-27,0.18,0.17,16301000,4793000,35000,0.18514201582724987,4758000
2011-06-30,14752000,3584000,2011-07-28,0.18,0.16,16316000,3051000,58000,0.21966168178475118,2993000
2011-09-30,15202000,3702000,2011-10-27,0.22,0.19,16313000,7235000,37000,0.2269355728560044,7198000
2011-12-31,15129000,3622000,2012-01-26,0.2,0.2,16332000,3005000,186000,0.22177320597599803,2819000
2012-03-31,15350000,4231000,2012-04-26,0.25,0.23,16338000,5121000,136000,0.25896682580487207,4985000
2012-06-30,15100000,4353000,2012-07-26,0.26,0.25,16342000,3497000,152000,0.2663688654999388,3345000
2012-09-30,15854000,4454000,2012-10-25,0.27,0.24,16363000,5749000,308000,0.2721994744240054,5441000
2012-12-31,15279000,4469000,2013-01-25,0.27,0.27,16363698,6699000,246000,0.2731045268618377,6453000
2013-03-31,15949000,4924000,2013-04-25,0.3,0.27,16373588,8168000,182000,0.3007282215724495,7986000
2013-06-30,15686000,4923000,2013-07-25,0.3,0.27,16375774,1977000,122000,0.3006270115843074,1855000
2013-09-30,16084000,5094000,2013-10-24,0.31,0.28,16385155,7623000,231000,0.3108911694762729,7392000
2013-12-31,16400000,4984000,2014-01-21,0.3,0.3,16396931,5385000,438000,0.30395932019229693,4947000
