fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2019-03-31,135495000,-5257500,2019-06-30,-0.09,0.0,66994000,177744000,8756500,-0.0784771770606323,168987500
2019-06-30,135495000,-5257500,2019-09-30,-0.1503,0.0,66994000,177744000,8756500,-0.0784771770606323,168987500
2019-09-30,125911000,-9936000,2019-12-31,-0.1503,0.0,66994000,-218041000,35698500,-0.14831178911544318,-253739500
2019-12-31,125911000,-9936000,2020-03-31,0.0725,0.0,66994000,-218041000,35698500,-0.14831178911544318,-253739500
2020-03-31,190630000,31973000,2020-06-30,0.0725,0.0,205575000,470299000,4319000,0.1555296120637237,465980000
2020-06-30,186382000,32260000,2020-09-30,0.605,0.0,205575000,167339000,2516000,0.15692569621792532,164823000
2020-09-30,315357000,81299000,2020-12-31,0.605,0.0,185986111,208189000,6930000,0.43712403879448825,201259000
2020-12-31,585112000,176785000,2021-03-23,0.41,0.8,192593056,2158243000,5037000,0.9179199067281013,2153206000
2021-03-31,1801112000,771463000,2021-05-13,3.09,3.09,199200000,3411765000,4406000,3.8728062248995982,3407359000
2021-06-30,2227962000,1606349000,2021-08-10,3.45,2.33,248147000,3982899000,29616000,6.473376667862195,3953283000
2021-09-30,1311908000,406100000,2021-11-09,1.62,1.57,250536000,342047000,7113000,1.6209247373630935,334934000
2021-12-31,2498463000,840208000,2022-02-24,3.32,1.85,235250500,2993320000,44648000,3.5715460753537185,2948672000
2022-03-31,1166436000,-429659000,2022-05-10,-1.98,0.21,217472000,-91356000,10281000,-1.975698020894644,-101637000
2022-06-30,808325000,-1093654000,2022-08-09,-4.76,-2.65,221034000,-351132000,25548000,-4.947899418189057,-376680000
2022-09-30,590339000,-544635000,2022-11-03,-2.43,-2.4,223916000,-397495000,15749000,-2.4323183693885206,-413244000
2022-12-31,629108000,-557001000,2023-02-21,-2.46,-2.53,223127000,3231857000,12393000,-2.4963406490474034,3219464000
2023-03-31,772529000,-78896000,2023-05-04,-0.34,-1.35,231489000,463078000,50000,-0.3408196501777622,463028000
2023-06-30,707911000,-97405000,2023-08-03,-0.5,-0.77,234641000,151124000,50000,-0.41512352913599926,151074000
2023-09-30,674148000,-2265000,2023-11-02,-0.01,-0.53,237270000,313935000,154000,-0.009546086736629157,313781000
2023-12-31,953795000,273437000,2024-02-15,1.04,-0.01,261168000,-5186000,11031000,1.0469774244930465,-16217000
2024-03-31,1637570000,1176245000,2024-05-02,2.15,1.14,267945000,411485000,0,4.389874787736289,411485000
2024-06-30,1425044000,36150000,2024-08-01,0.14,0.93,266831000,484197000,0,0.13547901105943463,484197000
2024-09-30,1205193000,75495000,2024-10-30,0.28,0.38,267440000,696544000,0,0.2822876159138498,696544000
2024-12-31,2271637000,1291176000,2025-02-13,4.68,2.13,276752000,964618000,0,4.665462218881887,964618000
2025-03-31,2034295000,65608000,2025-05-08,0.24,1.87,271251000,-182727000,0,0.2418719193661959,-182727000
2025-06-30,1497208000,1428900000,2025-07-31,5.14,1.51,278913000,328474000,0,5.123102903055791,328474000
2025-09-30,1868693000,432552000,2025-11-05,1.5,1.18,291958000,-784515000,0,1.4815555662115785,-784515000
