fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,13918353000,74055000,2005-11-03,0.24,0.23,425264000,276088000,39784000,0.17413888784378645,236304000
2005-12-31,14653147000,98685000,2006-01-25,0.22,0.2,420698000,230507000,27913000,0.23457444532657631,202594000
2006-03-31,15220679000,129001000,2006-04-26,0.28,0.27,421542000,472131000,32236000,0.30602170127769,439895000
2006-06-30,15686315000,119468000,2006-07-25,0.28,0.27,414670000,182037000,29025000,0.28810379337786673,153012000
2006-09-30,15643004000,122078000,2006-11-02,0.31,0.28,402550000,-77410000,23958000,0.3032617066202956,-101368000
2006-12-31,16725393000,122187000,2007-01-24,0.33,0.28,389940000,287871000,28135000,0.31334820741652564,259736000
2007-03-31,16512541000,129496000,2007-04-25,0.34,0.34,383594000,422936000,29262000,0.3375860936302445,393674000
2007-06-30,16445928000,129908000,2007-07-26,0.3,0.31,375902000,369520000,26303000,0.3455900740086512,343217000
2007-09-30,16390450000,87576000,2007-11-01,0.35,0.32,353548000,127577000,34351000,0.2477061106271284,93226000
2007-12-31,17372915000,109820000,2008-01-24,0.31,0.31,334124000,-101030000,26931000,0.3286803701619758,-127961000
2008-03-31,17846246000,133852000,2008-04-23,0.41,0.38,326536000,193313000,28174000,0.40991498640272434,165139000
2008-06-30,17996666000,-108020000,2008-07-24,0.37,0.33,322234000,130672000,25516000,-0.33522222980815186,105156000
2008-09-30,17157846000,114907000,2008-10-30,0.37,0.35,315818000,514114000,56688000,0.36383929984991353,457426000
2008-12-31,17338377000,111056000,2009-01-22,0.37,0.35,310178000,-304366000,42344000,0.35803957727498403,-346710000
2009-03-31,17311651000,143387000,2009-04-23,0.48,0.45,304584000,336784000,26243000,0.47076340188585086,310541000
2009-06-30,18393899000,118807000,2009-07-30,0.42,0.39,300592000,398041000,33634000,0.39524338638420187,364407000
2009-09-30,18716063000,130147000,2009-11-03,0.44,0.4,295503000,353304000,43616000,0.44042530871090985,309688000
2009-12-31,19335859000,151307000,2010-01-26,0.52,0.46,291287000,-41689000,42574000,0.5194430235472232,-84263000
2010-03-31,19300627000,181008000,2010-04-22,0.63,0.55,287162000,388082000,45463000,0.6303340971298431,342619000
2010-06-30,19602120000,163205000,2010-07-27,0.52,0.49,286693000,212998000,44265000,0.5692674742668987,168733000
2010-09-30,19715373000,141228000,2010-11-02,0.5,0.48,17109042,549233000,52333000,8.254582576861988,496900000
2010-12-31,19888609000,160500000,2011-02-04,0.57,0.54,280693000,-99200000,50091000,0.5717990829839006,-149291000
2011-03-31,19760257000,214381000,2011-04-28,0.77,0.69,279766000,676404000,43682000,0.7662868254183853,632722000
2011-06-30,20161022000,184419000,2011-07-28,0.66,0.59,279015000,230641000,33700000,0.6609644642761142,196941000
2011-09-30,20407670000,147324000,2011-11-01,0.61,0.56,271357000,360103000,40481000,0.5429157899003896,319622000
2011-12-31,20360645000,162116000,2012-01-26,0.62,0.63,263084000,431703000,48138000,0.6162138328442627,383565000
2012-03-31,20071271000,212105000,2012-04-26,0.83,0.81,262363000,236421000,40060000,0.8084409768145661,196361000
2012-06-30,19769384000,181271000,2012-07-26,0.72,0.69,255725000,91931000,39405000,0.7088513051129143,52526000
2012-09-30,19288296000,163494000,2012-11-01,0.69,0.68,246400000,545394000,36438000,0.6635308441558442,508956000
2012-12-31,21466314000,168611000,2013-01-24,0.69,0.67,235992000,-241707000,56543000,0.7144776094104885,-298250000
2013-03-31,20523668000,45634000,2013-04-25,0.88,0.88,234587000,985362000,31834000,0.19452910860363107,953528000
2013-06-30,21906648000,168439000,2013-07-24,0.73,0.75,235669000,75409000,49550000,0.7147270111894225,25859000
2013-09-30,24469040000,51023000,2013-10-31,0.79,0.74,235127000,-30939000,64523000,0.21700187558213221,-95462000
2013-12-31,29176362000,41385000,2014-01-23,0.8,0.78,237012000,-1003643000,59183000,0.17461141208040099,-1062826000
2014-03-31,28455903000,180077000,2014-04-24,1.06,0.99,236268000,1116296000,66209000,0.7621726175360184,1050087000
2014-06-30,30348154000,-12780000,2014-07-24,1.01,0.92,225727000,519842000,73278000,-0.05661706397551024,446564000
2014-09-30,31588708000,67802000,2014-10-30,1.1,1.05,235074000,830658000,65787000,0.28842832469775476,764871000
2014-12-31,33588602000,-199947000,2015-01-28,1.14,0.97,219456000,896964000,52557000,-0.9111029090113736,844407000
2015-03-31,32669267000,-513390000,2015-04-30,1.45,1.19,220243000,741720000,52644000,-2.3310161957474245,689076000
2015-06-30,34233556000,214163000,2015-07-23,1.2,1.15,240236000,1121581000,51888000,0.8914692219317671,1069693000
2015-09-30,35470378000,364287000,2015-10-29,1.17,1.18,233395000,1160114000,74496000,1.56081749823261,1085618000
2015-12-31,36709046000,330377000,2016-02-04,1.27,1.25,226718000,750848000,90110000,1.4572155717675703,660738000
2016-03-31,35698357000,604135000,2016-05-05,1.68,1.58,225450000,879738000,89902000,2.6796850742958527,789836000
2016-06-30,36881680000,349803000,2016-08-02,1.37,1.27,224802000,191372000,130166000,1.556049323404596,61206000
2016-09-30,37560603000,143614000,2016-11-02,1.3,1.23,226898000,1356539000,154438000,0.6329452000458355,1202101000
2016-12-31,38169265000,247246000,2017-01-31,1.36,1.23,221979000,-430355000,137282000,1.1138260826474577,-567637000
2017-03-31,37147402000,411473000,2017-05-04,1.77,1.68,221221000,798739000,125418000,1.860008769511032,673321000
2017-06-30,38707144000,50352000,2017-08-03,1.43,1.37,221873000,-244700000,108728000,0.2269406372113777,-353428000
2017-09-30,39120015000,-294587000,2017-11-02,1.33,1.32,218501000,1380454000,94969000,-1.3482180859584167,1285485000
2017-12-31,40466332000,861853000,2018-02-06,1.55,1.35,220822000,10326000,73641000,3.9029308673954586,-63315000
2018-03-31,41033858000,287455000,2018-05-02,1.94,1.82,222303000,-87568000,95175000,1.293077466340985,-182743000
2018-06-30,43142309000,275809000,2018-08-02,1.54,1.45,220760000,823285000,79543000,1.249361297336474,743742000
2018-09-30,43297136000,233288000,2018-11-06,1.45,1.46,217453000,665345000,88052000,1.0728203335893274,577293000
2018-12-31,45392452000,393652000,2019-01-31,1.6,1.51,213969000,478968000,79233000,1.8397618346582916,399735000
