fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-10-31,2002000000,302000000,2005-11-21,0.58,0.56,414000000,113000000,38000000,0.7294685990338164,75000000
2006-01-31,2159000000,254000000,2006-02-17,0.61,0.59,414000000,536000000,47000000,0.6135265700483091,489000000
2006-04-30,1728000000,166000000,2006-05-22,0.4,0.35,413000000,328000000,61000000,0.4019370460048426,267000000
2006-07-31,1116000000,44000000,2006-09-11,0.23,0.22,414000000,249000000,163000000,0.10628019323671498,86000000
2006-10-31,2153000000,291000000,2006-11-20,0.66,0.61,405000000,-88000000,46000000,0.7185185185185186,-134000000
2007-01-31,2064000000,285000000,2007-02-16,0.68,0.63,395000000,416000000,75000000,0.7215189873417721,341000000
2007-04-30,1750000000,217000000,2007-05-21,0.45,0.41,395000000,295000000,66000000,0.549367088607595,229000000
2007-07-31,1594000000,61000000,2007-09-06,0.14,0.18,396000000,51000000,147000000,0.15404040404040403,-96000000
2007-10-31,2185000000,270000000,2007-11-19,0.7,0.71,388000000,74000000,40000000,0.6958762886597938,34000000
2008-01-31,2218000000,274000000,2008-02-15,0.69,0.7,386000000,368000000,50000000,0.7098445595854922,318000000
2008-04-30,1880000000,532000000,2008-05-19,0.43,0.44,381000000,132000000,64000000,1.3963254593175853,68000000
2008-07-31,1715000000,89000000,2008-09-11,0.26,0.25,377000000,192000000,144000000,0.23607427055702918,48000000
2008-10-31,2250000000,260000000,2008-11-24,0.77,0.76,362000000,-15000000,35000000,0.7182320441988951,-50000000
2009-01-31,2122000000,233000000,2009-02-23,0.65,0.64,358000000,433000000,63000000,0.6508379888268156,370000000
2009-04-30,1686000000,174000000,2009-05-21,0.48,0.42,351000000,388000000,78000000,0.49572649572649574,310000000
2009-07-31,1528000000,69000000,2009-09-11,0.3,0.26,358000000,360000000,169000000,0.19273743016759776,191000000
2009-10-31,2203000000,304000000,2009-11-23,0.87,0.81,346000000,-36000000,44000000,0.8786127167630058,-80000000
2010-01-31,2153000000,259000000,2010-02-22,0.74,0.74,344000000,532000000,59000000,0.752906976744186,473000000
2010-04-30,1802000000,168000000,2010-05-24,0.54,0.51,342000000,363000000,74000000,0.49122807017543857,289000000
2010-07-31,1518000000,113000000,2010-09-03,0.33,0.3,343000000,198000000,138000000,0.3294460641399417,60000000
2010-10-31,2172000000,279000000,2010-11-23,0.82,0.83,338000000,-29000000,27000000,0.8254437869822485,-56000000
2011-01-31,2127000000,239000000,2011-02-18,0.71,0.71,332000000,512000000,47000000,0.7198795180722891,465000000
2011-04-30,1813000000,187000000,2011-05-23,0.57,0.52,323000000,375000000,59000000,0.5789473684210527,316000000
2011-07-31,1607000000,100000000,2011-09-02,0.43,0.38,329000000,284000000,139000000,0.303951367781155,145000000
2011-10-31,2161000000,265000000,2011-11-22,0.82,0.79,322000000,73000000,35000000,0.8229813664596274,38000000
2012-01-31,2112000000,205000000,2012-02-17,0.64,0.62,320000000,405000000,62000000,0.640625,343000000
2012-04-30,1821000000,177000000,2012-05-21,0.56,0.52,318000000,360000000,76000000,0.5566037735849056,284000000
2012-07-31,1613000000,127000000,2012-09-04,0.41,0.38,317000000,282000000,150000000,0.40063091482649843,132000000
2012-10-31,2205000000,245000000,2012-11-20,0.88,0.85,316000000,81000000,41000000,0.7753164556962026,40000000
2013-01-31,2162000000,190000000,2013-02-15,0.7,0.66,316000000,418000000,69000000,0.6012658227848101,349000000
2013-04-30,1962000000,181000000,2013-05-20,0.62,0.56,317000000,365000000,95000000,0.5709779179810726,270000000
2013-07-31,1289000000,-158000000,2013-08-29,0.45,0.42,317000000,155000000,131000000,-0.49842271293375395,24000000
2013-10-31,2165000000,172000000,2013-11-19,0.66,0.86,317000000,38000000,52000000,0.5425867507886435,-14000000
2014-01-31,2281000000,325000000,2014-02-14,0.76,0.73,316000000,325000000,75000000,1.0284810126582278,250000000
