fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,35155121,-693774,2005-11-04,-0.08,-0.06,8777889,-5445491,7637302,-0.07903654284076729,-13082793
2005-12-31,74408990,4132668,2006-02-27,0.46,0.43,8856651,-4140747,14592455,0.46661746070834226,-18733202
2006-03-31,90950673,6096415,2006-05-05,0.67,0.72,9071977,19743844,6956380,0.6720051208242702,12787464
2006-06-30,44303752,1132509,2006-08-08,0.13,0.1,8945394,2649324,9290708,0.1266024727362484,-6641384
2006-09-30,35141530,-656579,2006-11-09,-0.07,-0.07,8959723,-3418721,12088181,-0.07328117175051059,-15506902
2006-12-31,60804636,3934179,2007-03-01,0.41,0.46,10058743,11142551,20510559,0.39112034177630345,-9368008
2007-03-31,93526891,7991088,2007-05-01,0.79,0.73,10230693,16921271,8357392,0.781089609472203,8563879
2007-06-30,52501920,1481791,2007-08-07,0.15,0.15,10274835,3696786,7612165,0.14421555187990853,-3915379
2007-09-30,41418718,-355898,2007-11-07,-0.03,-0.07,10131975,-926129,6908023,-0.03512622168925604,-7834152
2007-12-31,70838967,4080729,2008-03-05,0.4,0.4,10131975,5989956,8399810,0.4027575077909292,-2409854
2008-03-31,100273502,7574343,2008-05-05,0.73,0.82,10360686,7286997,4411890,0.7310657807793808,2875107
2008-06-30,69056959,1818924,2008-08-11,0.18,0.15,10380063,2355656,11028584,0.17523246246193303,-8672928
2008-09-30,49698013,-198298,2008-11-07,-0.02,-0.04,10226304,3780461,8283856,-0.019390974490881552,-4503395
2008-12-31,72415004,4412291,2009-03-09,0.43,0.42,10223829,15119275,7031515,0.43156932691264693,8087760
2009-03-31,104479000,8593000,2009-05-04,0.83,0.77,10414693,31036000,4132000,0.8250843303782455,26904000
2009-06-30,40834000,806000,2009-08-06,0.08,0.19,10303075,15785000,7844000,0.07822907238858302,7941000
2009-09-30,31758000,308000,2009-11-05,0.03,-0.02,10332036,631000,7731000,0.029810194234708435,-7100000
2009-12-31,91714000,6191000,2010-03-05,0.47,0.43,14129898,-1643000,7314000,0.4381489519598797,-8957000
2010-03-31,153260000,13974000,2010-05-05,0.98,0.84,14286447,46409000,6466000,0.978129831720931,39943000
2010-06-30,80061000,3340000,2010-08-05,0.23,0.13,14336028,11299000,8194000,0.23297945567628633,3105000
2010-09-30,76466000,1628000,2010-11-04,0.11,0.01,14246544,-2062000,12815000,0.11427332832439924,-14877000
2010-12-31,117759000,7114000,2011-03-07,0.49,0.38,14303071,5359000,18226000,0.49737570344158955,-12867000
2011-03-31,146597000,13747000,2011-05-04,0.95,1.01,14450694,34270000,8355000,0.9513037920531706,25915000
2011-06-30,86831000,3520000,2011-08-04,0.25,0.27,14476330,25819000,12881000,0.24315555116524698,12938000
2011-09-30,80610000,2397000,2011-11-03,0.12,0.15,14486955,-7315000,12141000,0.16545920105363757,-19456000
2011-12-31,103988000,7958000,2012-03-07,0.55,0.5,14356905,18347000,14305000,0.554297740355599,4042000
2012-03-31,120914000,10727000,2012-05-02,0.74,0.94,14500327,34550000,14744000,0.7397764202145234,19806000
2012-06-30,83897000,5060000,2012-08-08,0.35,0.26,14522395,25963000,19590000,0.348427377164717,6373000
