fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2013-06-30,1050000000,205000000,2013-09-30,6.0724,0.0,38500000,469000000,400000000,5.324675324675325,69000000
2013-09-30,1107000000,235000000,2013-12-31,5.4069,0.0,49500000,726000000,443000000,4.747474747474747,283000000
2013-12-31,1080000000,212000000,2014-03-31,5.7,0.0,38500000,573000000,489000000,5.5064935064935066,84000000
2014-03-31,1121000000,223000000,2014-06-30,6.3,0.0,49500000,740000000,475000000,4.505050505050505,265000000
2014-06-30,1140000000,246000000,2014-09-30,4.8,0.0,49500000,496000000,528000000,4.96969696969697,-32000000
2014-09-30,1092000000,188000000,2014-10-23,-54.4645,0.0,38563958,631000000,566000000,4.875018274835794,65000000
2014-12-31,820000000,-2091000000,2015-02-19,-0.2,0.65,38381979,504000000,451000000,-54.4786916797594,53000000
2015-03-31,577000000,-100000000,2015-04-30,-2.5,-2.8,38250000,115000000,306000000,-2.6143790849673203,-191000000
2015-06-30,651000000,-68000000,2015-08-06,-1.3,-1.8,38300000,117000000,125000000,-1.7754569190600522,-8000000
2015-09-30,558000000,-104000000,2015-11-05,-2.2,-2.81,38300000,180000000,94000000,-2.715404699738903,86000000
2015-12-31,514000000,-3282000000,2016-02-29,-2.0,-2.4,38300000,-9000000,81000000,-85.69190600522194,-90000000
2016-03-31,347000000,-50000000,2016-05-05,-2.6,-3.1,38500000,115000000,28000000,-1.2987012987012987,87000000
2016-06-30,435000000,-140000000,2016-08-04,-1.8,-1.49,39900000,-71000000,9000000,-3.508771929824561,-80000000
2016-09-30,470000000,546000000,2016-11-03,-1.75,-1.55,40800000,101000000,19000000,13.382352941176471,82000000
2016-12-31,501000000,-77000000,2017-02-16,-1.76,-1.64,42300000,-15000000,30000000,-1.8203309692671394,-45000000
2017-03-31,517000000,52000000,2017-05-04,-1.02,-1.25,42600000,133000000,50000000,1.2206572769953052,83000000
2017-06-30,473000000,-48000000,2017-08-03,-1.83,-1.72,42400000,-13000000,82000000,-1.1320754716981132,-95000000
2017-09-30,510000000,-133000000,2017-11-06,-1.22,-1.59,42700000,105000000,100000000,-3.1147540983606556,5000000
2017-12-31,596000000,-138000000,2018-02-26,-0.33,-0.57,44200000,23000000,139000000,-3.1221719457013575,-116000000
2018-03-31,647000000,-2000000,2018-05-03,0.18,-0.77,44200000,200000000,139000000,-0.04524886877828054,61000000
2018-06-30,716000000,-82000000,2018-08-02,-0.29,-0.36,48200000,34000000,188000000,-1.7012448132780082,-154000000
2018-09-30,882000000,64000000,2018-11-01,0.81,0.36,49100000,159000000,177000000,1.3034623217922607,-18000000
2018-12-31,818000000,339000000,2019-02-27,0.53,-0.02,48600000,68000000,186000000,6.9753086419753085,-118000000
2019-03-31,779000000,-67000000,2019-05-02,0.63,-0.43,48700000,158000000,131000000,-1.375770020533881,27000000
2019-06-30,632000000,12000000,2019-08-01,-0.29,0.2,49200000,114000000,140000000,0.24390243902439024,-26000000
2019-09-30,644000000,93000000,2019-10-31,0.35,-0.32,49200000,266000000,122000000,1.8902439024390243,144000000
2019-12-31,638000000,-67000000,2020-02-26,0.73,0.37,49200000,138000000,62000000,-1.3617886178861789,76000000
2020-03-31,494000000,-1796000000,2020-06-25,-0.16,-1.71,49300000,228000000,30000000,-36.43002028397566,198000000
2020-06-30,280000000,-271000000,2020-08-06,-4.08,-4.5,49500000,-135000000,3000000,-5.474747474747475,-138000000
2020-09-30,409000000,-29000000,2020-11-05,-4.08,0.0,49500000,48000000,4000000,-0.5858585858585859,44000000
2020-12-31,426000000,3840000000,2021-03-11,0.13,-2.51,83319660,-35000000,10000000,46.087562047180704,-45000000
2021-03-31,576000000,-94000000,2021-05-13,1.22,1.22,83300000,147000000,27000000,-1.128451380552221,120000000
2021-06-30,569000000,-111000000,2021-08-05,0.94,0.83,83100000,127000000,50000000,-1.3357400722021662,77000000
2021-09-30,713000000,103000000,2021-11-11,1.83,0.7,82400000,182000000,51000000,1.25,131000000
2021-12-31,707000000,714000000,2022-01-11,2.13,2.21,82000000,204000000,66000000,8.707317073170731,138000000
2022-03-31,715000000,-175000000,2022-05-05,1.13,1.26,78500000,160000000,99000000,-2.229299363057325,61000000
2022-06-30,847000000,190000000,2022-08-03,1.13,1.98,78800000,181000000,98000000,2.4111675126903553,83000000
2022-09-30,882000000,426000000,2022-11-03,1.45,1.41,76300000,235000000,107000000,5.5832241153342075,128000000
2022-12-31,814000000,83000000,2023-02-24,1.24,1.55,75000000,114000000,75000000,1.1066666666666667,39000000
2023-03-31,982000000,301000000,2023-05-01,2.63,1.96,73500000,310000000,47000000,4.095238095238095,263000000
2023-06-30,560000000,97000000,2023-07-31,0.53,0.71,71900000,108000000,39000000,1.349095966620306,69000000
2023-09-30,664000000,-22000000,2023-11-01,1.02,0.81,68700000,104000000,119000000,-0.32023289665211063,-15000000
2023-12-31,607000000,188000000,2024-02-27,0.93,0.91,70750000,123000000,66000000,2.6572438162544167,57000000
2024-03-31,525000000,-10000000,2024-05-07,0.75,0.63,69000000,79000000,54000000,-0.14492753623188406,25000000
2024-06-30,509000000,8000000,2024-08-06,0.6,0.78,70000000,100000000,34000000,0.11428571428571428,66000000
2024-09-30,997000000,345000000,2024-11-05,1.5,1.34,91200000,220000000,79000000,3.7828947368421053,141000000
2024-12-31,926000000,33000000,2025-02-25,0.91,0.968,92200000,206000000,88000000,0.3579175704989154,118000000
2025-03-31,906000000,115000000,2025-05-02,1.07,0.7717,91200000,186000000,55000000,1.2609649122807018,131000000
2025-06-30,821000000,172000000,2025-08-06,1.92,0.9049,89400000,165000000,56000000,1.9239373601789709,109000000
2025-09-30,878000000,64000000,2025-11-04,1.46,1.29,84400000,278000000,91000000,0.7582938388625592,187000000
