fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2021-06-30,60876000,-211000,2021-09-27,0.04,0.03,172949844,2016000,921000,-0.0012200068824577835,1095000
2021-09-30,64489000,-8314000,2021-11-03,0.04,0.02,235978541,7293000,1268000,-0.03523201713498178,6025000
2021-12-31,69763000,101000,2022-03-02,0.06,0.05,252300560,12417000,1526000,0.0004003161943041268,10891000
2022-03-31,70778000,398000,2022-05-04,0.05,0.05,246916663,6916000,2227000,0.001611879875437973,4689000
2022-06-30,73409000,-2428000,2022-08-03,0.05,0.05,237545574,18251000,1741000,-0.010221196543952446,16510000
2022-09-30,76552000,-2974000,2022-11-02,0.06,0.05,237869291,14680000,1912000,-0.012502664751289817,12768000
2022-12-31,82687000,-2962000,2023-02-21,0.07,0.06,190015070,18158000,1878000,-0.015588237290863298,16280000
2023-03-31,84606000,-4384000,2023-05-04,0.07,0.06,192993574,7935000,1717000,-0.022715782236355703,6218000
2023-06-30,89879000,-10921000,2023-08-02,0.08,0.07,158413742,21137000,1576000,-0.06893972620127868,19561000
2023-09-30,94664000,-1889000,2023-11-01,0.09,0.08,201582951,31698000,770000,-0.009370832159312918,30928000
2023-12-31,99019000,-4186000,2024-02-28,0.1,0.08,206193802,24097000,1562000,-0.020301289172600833,22535000
2024-03-31,102719000,1898000,2024-05-01,0.1,0.09,255458196,10037000,1438000,0.007429787063868563,8599000
2024-06-30,106791000,-430000,2024-07-31,0.1,0.1,218349567,43926000,1509000,-0.001969319224709065,42417000
2024-09-30,115828000,3629000,2024-11-06,0.12,0.11,231467214,49557000,1490000,0.01567824633686566,48067000
2024-12-31,126465000,419282000,2025-02-19,0.13,0.11,258131701,-29199000,822000,1.624294878837838,-30021000
2025-03-31,126864000,6510000,2025-05-02,0.03,0.12,246212517,24500000,1468000,0.026440572881191088,23032000
2025-06-30,181937000,-23225000,2025-08-06,-0.09,0.11,270632308,47081000,2987000,-0.08581754400143533,44094000
2025-09-30,205110000,-10335000,2025-11-05,0.14,0.14,287979411,48984000,4112000,-0.035887982283566794,44872000
