fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,69193000,8150000,2005-10-27,0.21,0.2,231408000,-4014000,1247000,0.03521917997649174,-5261000
2005-12-31,90963000,12076000,2006-02-28,0.31,0.22,224424000,47307000,505000,0.05380886179731223,46802000
2006-03-31,56004000,5649000,2006-04-27,0.15,0.08,229734000,11560000,297000,0.02458930763404633,11263000
2006-06-30,41721000,2530000,2006-07-27,0.07,0.02,230508000,279000,1284000,0.010975757891266247,-1005000
2006-09-30,82322000,10380000,2006-10-26,0.28,0.18,230958000,-18374000,1748000,0.044943236432598135,-20122000
2006-12-31,124376000,12543000,2007-02-27,0.61,0.44,226710000,55033000,2214000,0.05532618764059812,52819000
2007-03-31,72575000,9451000,2007-04-26,0.25,0.17,232776000,11691000,1560000,0.04060126473519607,10131000
2007-06-30,52730000,2267000,2007-07-26,0.07,0.04,234324000,-17479000,505000,0.00967463853467848,-17984000
2007-09-30,129381000,19330000,2007-10-25,0.49,0.41,234324000,-27927000,1669000,0.08249261706013895,-29596000
2007-12-31,194243000,35389000,2008-02-28,0.9,0.8,234144000,94769000,2651000,0.15114203225365588,92118000
2008-03-31,97535000,11294000,2008-04-24,0.29,0.25,237150000,21367000,6323000,0.04762386675100148,15044000
2008-06-30,91116000,-3820000,2008-08-07,0.13,0.08,234576000,-48733000,3464000,-0.01628470090716868,-52197000
2008-09-30,197288000,26014000,2008-10-23,0.66,0.62,237582000,-53657000,6813000,0.10949482704918723,-60470000
2008-12-31,303506000,40460000,2009-02-26,1.35,1.32,235620000,134299000,5671000,0.1717171717171717,128628000
2009-03-31,134226000,12340000,2009-04-23,0.31,0.21,237618000,39498000,2513000,0.051932092686580986,36985000
2009-06-30,102548000,2879000,2009-07-23,0.09,-0.03,237780000,-49393000,4050000,0.012107830767936749,-53443000
2009-09-30,228414000,33825000,2009-10-22,0.86,0.75,235260000,-24537000,4698000,0.14377709767916347,-29235000
2009-12-31,347989000,67742000,2010-02-25,1.74,1.43,231786000,219906000,2438000,0.2922609648555133,217468000
2010-03-31,155927000,17895000,2010-04-22,0.46,0.3,234360000,21617000,3238000,0.07635688684075781,18379000
2010-06-30,137059000,8966000,2010-07-22,0.23,0.1,234360000,-17443000,3495000,0.0382573818057689,-20938000
