fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2006-09-30,104864000,-25706000,2006-12-05,-0.39,-0.05,114282812,38071000,14963000,-0.2249332121789233,23108000
2006-12-31,122622000,-29068000,2007-02-28,-0.18,-0.08,115005860,38582000,1948143000,-0.2527523380112979,-1909561000
2007-03-31,127575000,-3273000,2007-05-08,-0.03,0.04,115005860,42589000,13471000,-0.02845941937219547,29118000
2007-06-30,126749000,-1260000,2007-08-08,-0.01,-0.02,114861872,36624000,45078000,-0.010969697585983972,-8454000
2007-09-30,130932000,-2785000,2007-11-06,-0.03,-0.02,110956113,45059000,14029000,-0.02510001409295944,31030000
2007-12-31,132964000,-5690000,2008-02-11,-0.05,-0.01,112645587,30533000,100226000,-0.050512409332111693,-69693000
2008-03-31,134828000,-2500000,2008-05-06,-0.02,-0.06,118283579,54043000,627103000,-0.0211356472397576,-573060000
2008-06-30,149375000,-9428000,2008-08-05,-0.08,-0.05,121313515,36736000,0,-0.07771599067094874,36736000
2008-09-30,153236000,-9696000,2008-11-04,-0.08,-0.05,121509000,46039000,0,-0.07979655827963361,46039000
2008-12-31,168475000,-6369000,2009-02-10,-0.05,-0.06,120726000,46013000,0,-0.05275582724516674,46013000
2009-03-31,151417000,-1867000,2009-05-05,-0.02,-0.09,121841789,54912000,0,-0.015323149925186998,54912000
2009-06-30,139795000,-7482000,2009-08-04,-0.06,-0.08,121319000,40752000,0,-0.0616721206076542,40752000
2009-09-30,140427000,-8806000,2009-11-03,-0.07,-0.07,121486000,48992000,0,-0.0724857185190063,48992000
2009-12-31,139421000,-8909000,2010-02-09,-0.07,-0.08,121553000,35687000,0,-0.07329313139124496,35687000
2010-03-31,137787000,-8287000,2010-05-03,-0.07,-0.08,121643700,48718000,0,-0.06812518856299175,48718000
2010-06-30,139209000,-8991000,2010-08-03,-0.07,-0.08,122332000,34877000,14944000,-0.07349671386064154,19933000
2010-09-30,148070000,-3896000,2010-11-02,-0.03,-0.04,123077000,53002000,15187000,-0.03165498021563737,37815000
2010-12-31,145778000,-5249000,2011-02-08,-0.04,-0.11,123792090,52278000,12118000,-0.04240173988499588,40160000
2011-03-31,142591000,-349000,2011-05-03,-0.0028,-0.02,124610000,61173000,12118000,-0.0028007383035069415,49055000
2011-06-30,145408000,-5016000,2011-08-02,-0.04,-0.09,124610000,47925000,14085000,-0.04025359120455822,33840000
2011-09-30,144059000,3397000,2011-11-01,0.03,-0.06,161186000,53477000,13747000,0.021075031330264414,39730000
2011-12-31,143279000,3419000,2012-02-07,0.03,-0.01,159966000,45263000,16013000,0.021373291824512707,29250000
2012-03-31,143388000,5386000,2012-05-01,0.04,0.06,171816000,60021000,17659000,0.03134748801042976,42362000
2012-06-30,146468000,6527000,2012-07-31,0.05,0.06,173193000,49614000,45682000,0.037686280623350825,3932000
2012-09-30,145993000,5055000,2012-11-06,0.04,0.04,173825000,56007000,14470000,0.029080972242197613,41537000
2012-12-31,143150000,5974000,2013-02-12,0.04,0.04,173660000,44731000,15795000,0.0344005528043303,28936000
2013-03-31,145458000,12082000,2013-05-07,0.08,0.07,174582000,71895000,19542000,0.06920530180660091,52353000
2013-06-30,148716000,13635000,2013-08-06,0.09,0.08,175252000,51126000,16179000,0.07780225047360373,34947000
2013-09-30,149686000,10751000,2013-11-05,0.07,0.08,174756000,67703000,14187000,0.06152006225823434,53516000
2013-12-31,147676000,8843000,2014-02-11,0.06,0.08,174600000,53249000,17548000,0.05064719358533792,35701000
2014-03-31,148876000,12917000,2014-05-06,0.09,0.11,175751000,73435000,20972000,0.0734960256271657,52463000
2014-06-30,151426000,13363000,2014-07-31,0.09,0.08,176310000,53367000,22708000,0.07579263796721683,30659000
2014-09-30,148146000,7365000,2014-11-10,0.05,0.08,148641000,67907000,22697000,0.0495489131531677,45210000
2014-12-31,151091000,10893000,2015-02-10,0.07,0.08,176436000,52006000,22326000,0.0617391008637693,29680000
2015-03-31,154809000,18583000,2015-05-05,0.12,0.11,149802000,72926000,21193000,0.12405041321210665,51733000
2015-06-30,160457000,13381000,2015-08-04,0.09,0.08,150304000,63269000,18471000,0.08902624015328933,44798000
2015-09-30,160077000,12011000,2015-11-03,0.08,0.08,150740000,69456000,15805000,0.07968024412896378,53651000
2015-12-31,160431000,14167000,2016-02-09,0.09,0.09,151531000,65776000,23792000,0.09349242069279554,41984000
2016-03-31,168572000,15366000,2016-05-03,0.1,0.1,151451000,89841000,16968000,0.10145855755326805,72873000
2016-06-30,187215000,18381000,2016-08-02,0.11,0.11,152805000,76930000,24182000,0.12029056640816727,52748000
2016-09-30,192121000,31848000,2016-11-01,0.12,0.1,153419000,98892000,35256000,0.2075883691068251,63636000
2016-12-31,194643000,19701000,2017-02-07,0.13,0.11,154052000,73786000,43140000,0.12788538934905097,30646000
2017-03-31,194481000,18951000,2017-05-02,0.12,0.13,153655000,107552000,35185000,0.12333474341869773,72367000
2017-06-30,199632000,20244000,2017-08-01,0.13,0.13,155952000,91050000,39831000,0.12980917205293938,51219000
2017-09-30,208749000,25456000,2017-11-07,0.15,0.15,165520000,110080000,47229000,0.15379410343160949,62851000
2017-12-31,209190000,29536000,2018-02-13,0.17,0.17,169562000,94015000,49099000,0.1741899718097215,44916000
2018-03-31,212247000,28089000,2018-05-08,0.17,0.17,169625000,117617000,36277000,0.16559469417833456,81340000
2018-06-30,219469000,31528000,2018-07-31,0.19,0.17,169926000,98263000,63324000,0.18553958782058072,34939000
2018-09-30,223308000,30412000,2018-11-01,0.18,0.18,169931000,115963000,64869000,0.178966757095527,51094000
2018-12-31,226292000,25531000,2019-02-12,0.15,0.19,170121000,101139000,83051000,0.1500755344725225,18088000
2019-03-31,224186000,28575000,2019-05-02,0.17,0.15,170221000,132489000,64063000,0.16787000428854254,68426000
2019-06-30,230534000,33827000,2019-08-05,0.2,0.17,172498000,95687000,50208000,0.19610082435738385,45479000
2019-09-30,238069000,22401000,2019-11-05,0.13,0.17,175278000,130792000,58660000,0.12780269058295965,72132000
2019-12-31,245227000,278558000,2020-02-11,1.58,0.15,175356000,110618000,65177000,1.5885284792080112,45441000
2020-03-31,251673000,26923000,2020-05-07,0.15,0.06,175373000,153510000,58413000,0.15351850056736213,95097000
2020-06-30,207656000,2029999,2020-08-06,0.01,0.09,175375000,83299000,69518000,0.011575190306486101,13781000
2020-09-30,217132000,3773000,2020-11-02,0.02,0.03,175375000,119920000,71671000,0.021513898788310764,48249000
2020-12-31,211592000,17695000,2021-02-09,0.06,0.01,175398000,63489000,97996000,0.10088484475307587,-34507000
2021-03-31,216462000,11601000,2021-05-04,0.06,0.02,175464000,125044000,79511000,0.06611612638489947,45533000
2021-06-30,225292000,16197000,2021-08-03,0.09,0.06,175471000,96794000,80203000,0.09230585110930012,16591000
2021-09-30,238504000,18141000,2021-11-02,0.1,0.07,175480000,117744000,76353000,0.10337930248461363,41391000
2021-12-31,234285000,19328000,2022-02-08,0.11,0.1,175496000,107369000,57024000,0.11013356429776178,50345000
2022-03-31,239129000,25514000,2022-05-03,0.14,0.12,175656000,139470000,49260000,0.1452498064398597,90210000
2022-06-30,247288000,24374000,2022-08-01,0.14,0.14,175784000,116020000,67211000,0.13865880853775087,48809000
2022-09-30,254019000,22955000,2022-11-03,0.13,0.14,175784000,126179000,55786000,0.1305864014927411,70393000
2022-12-31,254137000,24302000,2023-02-07,0.14,0.13,175799000,115219000,65861000,0.13823741887041452,49358000
2023-03-31,252682000,18373000,2023-05-02,0.1,0.1,175765000,145474000,51984000,0.10453161892299377,93490000
2023-06-30,254005000,-7262000,2023-08-01,-0.04,0.09,169256000,96249000,69158000,-0.04290542137354067,27091000
2023-09-30,255699000,-13362000,2023-10-31,-0.08,-0.08,166738000,90486000,60997000,-0.08013770106394463,29489000
2023-12-31,222159000,-40455000,2024-02-06,-0.24,-0.09,166758000,94755000,48498000,-0.24259705681286656,46257000
2024-03-31,244969000,8909000,2024-05-07,0.05,-0.13,167326000,139024000,57805000,0.05324336923132089,81219000
2024-06-30,245777000,10878000,2024-08-08,0.06,0.02,167385000,91864000,49700000,0.06498790214176897,42164000
2024-09-30,250753000,4618000,2024-11-04,0.03,-0.01,167411000,103702000,47306000,0.02758480625526399,56396000
2024-12-31,244979000,-888000,2025-02-04,-0.01,-0.05,167434000,74103000,84578000,-0.0053035823070583035,-10475000
2025-03-31,251535000,39800000,2025-05-06,0.24,-0.05,167442000,132636000,59821000,0.2376942463659058,72815000
2025-06-30,252434000,-5835000,2025-08-05,-0.04,-0.06,167446000,81291000,73105000,-0.03484705517002496,8186000
2025-09-30,250580000,-10854000,2025-11-04,-0.07,-0.07,167446000,109769000,84077000,-0.06482089748336778,25692000
