fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2006-03-31,659759000,12869000,2006-05-24,0.3267,,39389869,-8131000,12088000,0.32670837265287683,-20219000
2006-06-30,819590000,42194000,2006-08-09,0.88,0.7,48144592,48639000,31265000,0.8764016527546853,17374000
2006-09-30,920851000,26343000,2006-11-09,0.51,0.53,52015905,54487000,40746000,0.5064412509981322,13741000
2006-12-31,807500000,11594000,2007-03-08,0.22,0.21,50889869,15205000,13401000,0.22782530644753674,1804000
2007-03-31,805600000,20900000,2007-05-10,0.4,0.42,52153729,42300000,8200000,0.40073836331051227,34100000
2007-06-30,1103000000,67200000,2007-08-07,1.29,1.22,52255690,92900000,18800000,1.2859843588325022,74100000
2007-09-30,1064900000,20400000,2007-11-08,0.38,0.44,53237543,21200000,23000000,0.3831882324095986,-1800000
2007-12-31,1123600000,-12100000,2008-02-26,-0.23,-0.09,52299679,23500000,37700000,-0.23135897258566349,-14200000
2008-03-31,1218200000,-5000000,2008-05-06,-0.09,-0.16,53668058,60500000,35900000,-0.09316528650990129,24600000
2008-06-30,1449600000,4000000,2008-08-07,0.04,0.23,54418019,-16200000,35600000,0.07350506456326535,-51800000
2008-09-30,1465100000,25400000,2008-11-06,0.47,0.38,54380835,54600000,19900000,0.4670763146612221,34700000
2008-12-31,482300000,2100000,2009-03-05,0.33,-0.05,53680570,-70600000,10700000,0.03912029995210557,-81300000
2009-03-31,352700000,100000,2009-05-07,-0.05,0.13,53682070,87500000,80800000,0.0018628193733959961,6700000
2009-06-30,595500000,26500000,2009-08-06,0.24,0.21,54988101,35200000,71900000,0.48192244354828695,-36700000
2009-09-30,817900000,-4800000,2009-11-05,-0.13,0.04,53700497,28600000,900000,-0.08938464759460234,27700000
2009-12-31,900600000,-21100000,2010-03-11,-0.5,-0.28,53700497,-13500000,16400000,-0.3929200133846061,-29900000
2010-03-31,892900000,-14100000,2010-05-06,-0.26,-0.23,53920639,-8100000,9800000,-0.2614954173669937,-17900000
2010-06-30,997700000,15000000,2010-08-05,0.23,0.12,54370369,58200000,14800000,0.2758855655366253,43400000
2010-09-30,875500000,-9900000,2010-11-04,-0.18,-0.11,54385007,-10100000,15700000,-0.18203546429625356,-25800000
2010-12-31,989500000,-70900000,2011-03-09,-0.14,-0.15,54385007,31000000,16700000,-1.3036681230913512,14300000
