fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2019-12-31,32426000,5903000,2020-03-31,-0.3337,0.0,181702520,7886000,134000,0.03248716638602481,7752000
2020-09-30,45113000,10037000,2020-12-31,0.439,0.0,185207000,12701000,1446000,0.05419341601559336,11255000
2020-12-31,58709000,17231000,2021-03-31,-0.0883,0.0,185207000,23961000,1075000,0.0930364403073318,22886000
2021-03-31,66687000,21483000,2021-06-25,0.06,0.0,197439760,37551000,913000,0.10880787132237195,36638000
2021-06-30,72669000,26322000,2021-08-10,0.11,0.08,197439760,33175000,812000,0.13331661262149022,32363000
2021-09-30,79350000,36088000,2021-11-09,0.19,0.09,216672000,19152000,1100000,0.16655590016245753,18052000
2021-12-31,97876000,55647000,2022-02-08,0.29,0.12,216396000,27284000,1676000,0.2571535518216603,25608000
2022-03-31,93653000,36726000,2022-05-17,0.21,0.15,215862000,46964000,2109000,0.17013647608194124,44855000
2022-06-30,90639000,22383000,2022-08-04,0.14,0.11,214954000,44752000,2125000,0.10412925556165505,42627000
2022-09-30,102185000,26299000,2022-11-10,0.17,0.16,213949000,39514000,1817000,0.1229218178163955,37697000
2022-12-31,115262000,33468000,2023-02-09,0.22,0.17,212065000,48697000,1216000,0.15781953646287694,47481000
2023-03-31,110966000,30668000,2023-05-16,0.2,0.17,212742000,46639000,1026000,0.1441558319466772,45613000
2023-06-30,108469000,28406000,2023-08-08,0.19,0.15,212355000,57200000,1564000,0.13376657013020649,55636000
2023-09-30,113612000,30602000,2023-11-09,0.22,0.18,209014000,12898000,1279000,0.1464112451797487,11619000
2023-12-31,135284000,47956000,2024-02-08,0.29,0.24,200463000,50054000,1324000,0.23922619136698542,48730000
2024-03-31,118057000,40618000,2024-05-16,0.25,0.2,201110000,63944000,1634000,0.20196907165232958,62310000
2024-06-30,126676000,41377000,2024-08-08,0.28,0.23,199224000,41243000,1704000,0.20769084046098862,39539000
2024-09-30,136832000,44154000,2024-11-07,0.3,0.26,200407000,68346000,1543000,0.22032164545150618,66803000
2024-12-31,168603000,75196000,2025-02-06,0.45,0.34,202233000,65189000,1771000,0.3718285344132758,63418000
2025-03-31,138288000,62458000,2025-05-15,0.38,0.27,202987000,98487000,1507000,0.3076945814263968,96980000
2025-06-30,145913000,53320000,2025-08-07,0.36,0.31,201158000,62101000,1966000,0.26506527207468755,60135000
2025-09-30,168525000,62059000,2025-11-06,0.45,0.38,200745000,93944000,2369000,0.3091434406834541,91575000
