fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-11-30,1325093000,55057000,2005-12-15,0.35,0.31,156200000,42051000,85071000,0.35247759282970553,-43020000
2006-02-28,1474181000,105318000,2006-03-21,0.67,0.64,156900000,269682000,72900000,0.6712428298279158,196782000
2006-05-31,1512199000,92306000,2006-06-20,0.6,0.59,153800000,200306000,99083000,0.6001690507152145,101223000
2006-08-31,1359600000,88500000,2006-09-19,0.59,0.58,150300000,113453000,95569000,0.5888223552894212,17884000
2006-11-30,1298100000,61700000,2006-12-19,0.41,0.41,150700000,37896000,86714000,0.40942269409422694,-48818000
2007-02-28,1449500000,106400000,2007-03-20,0.73,0.7,148300000,275051000,88017000,0.7174645987862441,187034000
2007-05-31,1183000000,-55200000,2007-06-19,0.67,0.7,145900000,180000000,74900000,-0.37834132967786155,105100000
2007-08-31,1467500000,105900000,2007-09-18,0.73,0.7,146200000,158500000,86700000,0.7243502051983585,71800000
2007-11-30,1522000000,43500000,2007-12-18,0.42,0.5,146900000,71500000,114700000,0.29611980939414567,-43200000
2008-02-29,1811400000,126000000,2008-03-18,0.85,0.83,143700000,315400000,121600000,0.8768267223382046,193800000
2008-05-31,1825600000,101800000,2008-06-24,0.78,0.75,143200000,188800000,106200000,0.7108938547486033,82600000
2008-08-31,1774200000,82100000,2008-09-16,0.61,0.62,142800000,161300000,135400000,0.5749299719887955,25900000
2008-11-30,1668900000,59700000,2008-12-18,0.44,0.3,139400000,46600000,162500000,0.4282639885222382,-115900000
2009-02-28,1798900000,107500000,2009-03-17,0.8,0.68,138600000,334400000,125100000,0.7756132756132756,209300000
2009-05-31,1975600000,123000000,2009-06-23,0.9,0.86,141300000,240100000,112300000,0.8704883227176221,127800000
2009-08-31,1734000000,94300000,2009-09-29,0.67,0.66,141300000,177500000,95700000,0.667374380750177,81800000
2009-11-30,1641300000,60300000,2009-12-17,0.44,0.41,141700000,132400000,118700000,0.4255469301340861,13700000
2010-02-28,1874000000,134300000,2010-03-23,0.95,0.92,142300000,441700000,109700000,0.94378074490513,332000000
2010-05-31,1863800000,115600000,2010-06-23,0.82,0.88,144000000,150400000,114400000,0.8027777777777778,36000000
2010-08-31,1806700000,113100000,2010-09-21,0.8,0.77,141700000,214800000,113200000,0.7981651376146789,101600000
2010-11-30,1726200000,74500000,2010-12-20,0.54,0.55,141200000,66000000,163000000,0.5276203966005666,-97000000
