fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2018-03-31,583250000,-2500000,2018-05-23,0.01,0.0,145000000,26250000,10000000,-0.017241379310344827,16250000
2018-06-30,583250000,-2500000,2018-08-15,0.0,0.0,145000000,26250000,10000000,-0.017241379310344827,16250000
2018-09-30,583250000,-2500000,2018-11-14,0.0,-0.01,145000000,26250000,10000000,-0.017241379310344827,16250000
2019-03-31,678500000,18750000,2019-05-21,-0.01,-0.01,145000000,39250000,13750000,0.12931034482758622,25500000
2019-06-30,678500000,18750000,2019-08-21,-0.01,-0.01,145000000,39250000,13750000,0.12931034482758622,25500000
2019-09-30,678500000,18750000,2019-11-19,-0.02,-0.02,145000000,39250000,13750000,0.12931034482758622,25500000
2020-03-31,583000000,10000000,2020-05-19,0.0668,-0.01,145000000,-296000000,13000000,0.06896551724137931,-309000000
2020-06-30,650000000,13000000,2020-08-11,0.02,0.01,145000000,69000000,19000000,0.0896551724137931,50000000
2020-09-30,719000000,15000000,2020-11-10,0.05,0.02,145000000,-3000000,5000000,0.10344827586206896,-8000000
2020-12-31,826000000,47000000,2021-02-10,0.06,0.06,145000000,355000000,19000000,0.32413793103448274,336000000
2021-03-31,681000000,29000000,2021-05-11,0.08,0.07,145000000,-249000000,13000000,0.2,-262000000
2021-06-30,658000000,32000000,2021-08-02,0.2,0.09,145454545,64000000,16000000,0.2200000006875,48000000
2021-09-30,720000000,35000000,2021-11-03,0.12,0.11,145833333,74000000,13000000,0.24000000054857143,61000000
2021-12-31,820000000,58000000,2022-02-09,0.1,0.12,145000000,289000000,18000000,0.4,271000000
2022-03-31,612000000,36000000,2022-05-10,-0.01,0.12,144000000,-255000000,13000000,0.25,-268000000
2022-06-30,627000000,25000000,2022-08-17,-0.09,0.06,210000000,13000000,9000000,0.11904761904761904,4000000
2022-09-30,634000000,279000000,2022-11-07,1.9241,0.09,145312500,-4000000,13000000,1.92,-17000000
2022-12-31,820000000,65000000,2023-03-28,0.35,0.28,229045000,279000000,30000000,0.283787028749809,249000000
2023-03-31,569000000,12000000,2023-05-03,0.07,0.05,262000000,-334000000,15000000,0.04580152671755725,-349000000
2023-06-30,628000000,35000000,2023-08-02,0.15,0.11,264000000,-12000000,12000000,0.13257575757575757,-24000000
2023-09-30,703000000,47000000,2023-11-02,0.2,0.16,265000000,36000000,15000000,0.17735849056603772,21000000
2023-12-31,926000000,74000000,2024-02-27,0.31,0.3,265700000,515000000,18000000,0.2785095972901769,497000000
2024-03-31,688000000,29000000,2024-05-01,0.14,0.11,266442999,-265000000,10000000,0.10884129104101549,-275000000
2024-06-30,753000000,38000000,2024-07-30,0.18,0.14,267000000,34000000,34000000,0.14232209737827714,0
2024-09-30,812000000,57000000,2024-10-30,0.24,0.2,268000000,59000000,12000000,0.2126865671641791,47000000
2024-12-31,981000000,89000000,2025-02-25,0.38,0.3531,268000000,443000000,29000000,0.332089552238806,414000000
2025-03-31,799000000,50000000,2025-04-29,0.2,0.1651,268800000,-138000000,32000000,0.18601190476190477,-170000000
2025-06-30,829000000,54000000,2025-07-28,0.23,0.2142,268800000,-28000000,28000000,0.20089285714285715,-56000000
2025-09-30,960000000,72000000,2025-10-29,0.29,0.2795,268800000,107000000,30000000,0.26785714285714285,77000000
