fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,1105515000,254971000,2005-10-19,0.2,0.2,1387038000,491703000,70471000,0.18382409133707944,421232000
2005-12-31,1328859000,279221000,2006-01-18,0.24,0.22,1406309000,526237000,97747000,0.19854882532928397,428490000
2006-03-31,1390419000,248282000,2006-04-19,0.24,0.24,1437581000,584204000,133576000,0.17270818131291385,450628000
2006-06-30,1410784000,249994000,2006-07-19,0.24,0.24,1435757000,515513000,148432000,0.17411999384296925,367081000
2006-09-30,1448637000,280896000,2006-10-18,0.26,0.24,1426112000,522113000,136867000,0.1969662971772203,385246000
2006-12-31,1719901000,346467000,2007-01-24,0.31,0.28,1366915000,625961000,96573000,0.25346638232808916,529388000
2007-03-31,1768074000,377176000,2007-04-18,0.33,0.3,1384287000,564492000,85413000,0.27246950957424293,479079000
2007-06-30,1834429000,375824000,2007-07-18,0.34,0.32,1378697000,654585000,121328000,0.2725936155660018,533257000
2007-09-30,1889220000,-935635000,2007-10-17,0.41,0.33,1354786000,629486000,119294000,-0.6906146062920638,510192000
2007-12-31,2180606000,530886000,2008-01-23,0.45,0.41,1333791000,792546000,127932000,0.39802787693124336,664614000
2008-03-31,2192223000,459718000,2008-04-16,0.42,0.39,1343989000,766270000,134644000,0.3420548828896665,631626000
2008-06-30,2195661000,460345000,2008-07-16,0.43,0.41,1325136000,738599000,121683000,0.34739453158015476,616916000
2008-09-30,2117531000,492219000,2008-10-15,0.46,0.41,1297484000,693403000,150412000,0.37936421566662865,542991000
2008-12-31,2035846000,367192000,2009-01-21,0.41,0.39,1283810000,683723000,159151000,0.28601740132885706,524572000
2009-03-31,2020586000,357113000,2009-04-22,0.39,0.33,1287814000,668527000,90934000,0.27730169108271846,577593000
2009-06-30,2097992000,327342000,2009-07-22,0.37,0.36,1300434000,730718000,128454000,0.2517175035411255,602264000
2009-09-30,2237852000,349736000,2009-10-21,0.38,0.37,1311274000,738241000,174768000,0.2667146607040176,563473000
