fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,3375000000,285000000,2005-10-20,1.17,1.21,245400000,577000000,344000000,1.1613691931540342,233000000
2005-12-31,3108000000,138000000,2006-01-26,0.59,0.53,245500000,183000000,568000000,0.5621181262729125,-385000000
2006-03-31,3317000000,181000000,2006-05-03,0.74,0.79,246500000,582000000,376000000,0.7342799188640974,206000000
2006-06-30,2555000000,124000000,2006-08-02,0.51,0.49,246700000,221000000,498000000,0.5026347790839076,-277000000
2006-09-30,3441000000,231000000,2006-11-02,0.92,1.06,250000000,-157000000,437000000,0.924,-594000000
2006-12-31,2823000000,201000000,2007-01-19,0.78,0.61,258000000,708000000,542000000,0.7790697674418605,166000000
2007-03-31,3418000000,256000000,2007-05-10,1.03,0.82,259100000,478000000,444000000,0.9880355075260517,34000000
2007-06-30,3029000000,154000000,2007-08-02,0.57,0.51,266200000,343000000,450000000,0.5785123966942148,-107000000
2007-09-30,3643000000,310000000,2007-11-01,1.15,1.06,272000000,106000000,467000000,1.1397058823529411,-361000000
2007-12-31,3029000000,207000000,2008-01-24,0.71,0.61,272200000,628000000,573000000,0.7604702424687729,55000000
2008-03-31,3577000000,303000000,2008-05-02,0.87,0.99,273000000,560000000,504000000,1.10989010989011,56000000
2008-06-30,3149000000,552000000,2008-08-07,0.42,0.5,273500000,730000000,564000000,2.0182815356489945,166000000
2008-09-30,3858000000,182000000,2008-11-07,0.98,1.0,273800000,-1240000000,534000000,0.664718772826881,-1774000000
2008-12-31,2999000000,160000000,2009-01-22,0.72,0.68,273900000,579000000,724000000,0.5841548010222709,-145000000
2009-03-31,3423000000,180000000,2009-05-01,0.78,0.86,274500000,642000000,483000000,0.6557377049180327,159000000
2009-06-30,2845000000,150000000,2009-08-04,0.48,0.49,275300000,795000000,554000000,0.5448601525608427,241000000
2009-09-30,3489000000,336000000,2009-11-02,1.16,1.04,276000000,23000000,492000000,1.2173913043478262,-469000000
2009-12-31,3274000000,202000000,2010-01-21,0.67,0.76,281400000,1006000000,664000000,0.7178393745557925,342000000
2010-03-31,3462000000,226000000,2010-05-06,0.93,0.81,282700000,1000000,431000000,0.7994340290060135,-430000000
2010-06-30,3017000000,183000000,2010-08-05,0.51,0.5,283500000,794000000,519000000,0.6455026455026455,275000000
2010-09-30,3707000000,350000000,2010-11-01,1.32,1.22,284600000,176000000,511000000,1.229796205200281,-335000000
2010-12-31,3140000000,233000000,2011-01-20,0.69,0.7,292000000,1410000000,568000000,0.797945205479452,842000000
2011-03-31,3349000000,311000000,2011-05-05,0.98,1.0,293600000,362000000,421000000,1.0592643051771118,-59000000
2011-06-30,2993000000,165000000,2011-08-04,0.57,0.53,294300000,1227000000,587000000,0.5606523955147809,640000000
2011-09-30,3629000000,383000000,2011-11-03,1.33,1.33,294600000,572000000,461000000,1.3000678886625934,111000000
2011-12-31,2966000000,191000000,2012-01-19,0.74,0.72,292900000,976000000,498000000,0.6520996927278935,478000000
2012-03-31,3078000000,277000000,2012-05-03,1.01,1.04,294500000,402000000,480000000,0.9405772495755518,-78000000
2012-06-30,2771000000,214000000,2012-08-02,0.61,0.59,294400000,845000000,593000000,0.7269021739130435,252000000
2012-09-30,3438000000,440000000,2012-11-05,1.44,1.38,294600000,391000000,445000000,1.4935505770536321,-54000000
2012-12-31,2901000000,207000000,2013-01-31,0.69,0.73,294500000,961000000,551000000,0.7028862478777589,410000000
2013-03-31,3184000000,192000000,2013-05-02,1.08,1.05,294200000,-84000000,629000000,0.6526172671651937,-713000000
2013-06-30,2818000000,172000000,2013-08-01,0.55,0.57,294300000,1057000000,614000000,0.5844376486578321,443000000
2013-09-30,3484000000,464000000,2013-11-04,1.48,1.42,294300000,265000000,607000000,1.5766224940536868,-342000000
2013-12-31,2867000000,234000000,2014-02-20,0.69,0.66,292900000,1314000000,688000000,0.798907476954592,626000000
2014-03-31,3789000000,361000000,2014-05-08,1.17,1.05,294100000,224000000,559000000,1.227473648418905,-335000000
2014-06-30,2911000000,212000000,2014-08-07,0.65,0.54,294000000,1033000000,627000000,0.7210884353741497,406000000
2014-09-30,3390000000,436000000,2014-11-06,1.48,1.43,294000000,494000000,629000000,1.4829931972789117,-135000000
2014-12-31,2829000000,82000000,2015-02-19,0.58,0.55,294000000,1080000000,604000000,0.2789115646258503,476000000
2015-03-31,3616000000,370000000,2015-05-07,1.25,1.18,293900000,559000000,592000000,1.2589316093909493,-33000000
2015-06-30,2788000000,219000000,2015-08-06,0.77,0.63,294000000,927000000,760000000,0.7448979591836735,167000000
2015-09-30,3443000000,428000000,2015-11-05,1.44,1.48,294200000,713000000,852000000,1.4547926580557444,-139000000
2015-12-31,2707000000,176000000,2016-02-18,0.61,0.54,294600000,1078000000,850000000,0.5974202308214528,228000000
2016-03-31,3156000000,310000000,2016-05-05,1.18,1.21,294800000,524000000,813000000,1.0515603799185889,-289000000
