fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,1497100000,58500000,2005-10-26,0.14,0.16,447200000,-66100000,45900000,0.1308139534883721,-112000000
2005-12-31,1783900000,81700000,2006-01-26,0.35,0.28,433200000,449900000,58100000,0.18859649122807018,391800000
2006-03-31,1578200000,59500000,2006-05-04,0.22,0.19,429800000,85700000,66100000,0.13843648208469056,19600000
2006-06-30,1604600000,44500000,2006-08-16,0.26,0.24,424800000,240300000,90500000,0.10475517890772128,149800000
2006-09-30,1593500000,58300000,2006-10-25,0.14,0.09,427200000,-71300000,67300000,0.1364700374531835,-138600000
2006-12-31,1991100000,208400000,2007-01-31,0.5,0.38,422800000,378300000,73200000,0.49290444654683063,305100000
2007-03-31,1690500000,93900000,2007-05-03,0.23,0.23,416000000,143600000,71500000,0.22572115384615385,72100000
2007-06-30,1762400000,88600000,2007-08-16,0.23,0.25,407600000,211000000,100100000,0.21736997055937193,110900000
2007-09-30,1710100000,39100000,2007-10-25,0.1,0.05,394400000,-132800000,78500000,0.09913793103448276,-211300000
2007-12-31,2308800000,224400000,2008-02-01,0.57,0.57,393000000,494700000,81900000,0.5709923664122137,412800000
2008-03-31,1879800000,90100000,2008-05-06,0.23,0.23,393200000,156600000,89900000,0.22914547304170904,66700000
2008-06-30,2012100000,120200000,2008-08-14,0.31,0.28,387800000,171600000,107500000,0.30995358432181536,64100000
2008-09-30,1903500000,51100000,2008-10-28,0.13,0.11,397600000,-196200000,75900000,0.12852112676056338,-272100000
2008-12-31,2041000000,158000000,2009-02-05,0.4,0.38,395000000,412900000,81600000,0.4,331300000
2009-03-31,1696500000,27200000,2009-05-04,0.08,0.02,394400000,90000000,58400000,0.06896551724137931,31600000
2009-06-30,1682800000,-17900000,2009-08-13,0.1,0.1,393400000,389300000,63900000,-0.04550076258261312,325400000
2009-09-30,1833400000,140700000,2009-10-30,0.43,0.17,396400000,2700000,45400000,0.35494450050454085,-42700000
2009-12-31,2262300000,256200000,2010-01-28,0.64,0.61,400800000,614200000,58800000,0.6392215568862275,555400000
2010-03-31,1860000000,57500000,2010-04-27,0.17,0.16,403600000,181300000,57200000,0.14246778989098116,124100000
2010-06-30,1840100000,23900000,2010-08-12,0.14,0.15,396000000,158500000,109200000,0.060353535353535354,49300000
2010-09-30,2091700000,191100000,2010-10-29,0.49,0.39,400800000,-39100000,57700000,0.47679640718562877,-96800000
2010-12-31,2492000000,343900000,2011-02-03,0.89,0.72,401800000,547100000,343200000,0.8558984569437531,203900000
2011-03-31,2165700000,124700000,2011-05-05,0.36,0.28,404000000,219600000,79100000,0.30866336633663366,140500000
2011-06-30,2060600000,41100000,2011-08-15,0.13,0.12,395400000,299400000,127100000,0.1039453717754173,172300000
2011-09-30,2476700000,278600000,2011-11-03,0.71,0.59,399200000,-36200000,80800000,0.6978957915831663,-117000000
