fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,1816000000,123000000,2005-10-27,0.77,0.62,164000000,163000000,100000000,0.75,63000000
2005-12-31,1729000000,66000000,2006-01-26,0.45,0.58,162913907,395000000,119000000,0.4051219519276522,276000000
2006-03-31,1803000000,105000000,2006-04-27,0.68,0.62,165354331,37000000,82000000,0.6349999988811905,-45000000
2006-06-30,1929000000,114000000,2006-07-27,0.7,0.69,166423358,126000000,95000000,0.6849999986179824,31000000
2006-09-30,1966000000,95000000,2006-10-26,0.62,0.57,165217391,70000000,114000000,0.5750000010592106,-44000000
2006-12-31,1752000000,95000000,2007-01-25,0.5,0.47,163793103,376000000,114000000,0.5800000015873684,262000000
2007-03-31,1637000000,77000000,2007-04-26,0.6,0.53,169230769,-66000000,91000000,0.45500000062045454,-157000000
2007-06-30,1764000000,105000000,2007-07-26,0.67,0.66,172131148,165000000,112000000,0.6099999983733333,53000000
2007-09-30,1692000000,20000000,2007-10-25,0.63,0.63,166666667,312000000,151000000,0.11999999976,161000000
2007-12-31,1327000000,98000000,2008-01-24,0.61,0.55,166666667,321000000,175000000,0.587999998824,146000000
2008-03-31,1727000000,133000000,2008-04-24,0.74,0.66,158333333,-53000000,135000000,0.840000001768421,-188000000
2008-06-30,1834000000,115000000,2008-07-24,0.77,0.77,155405405,132000000,149000000,0.7400000019304348,-17000000
2008-09-30,1819000000,100000000,2008-10-23,0.68,0.69,150200000,214000000,154000000,0.6657789613848203,60000000
2008-12-31,1346000000,-2000000,2009-01-29,0.03,0.15,148148148,360000000,206000000,-0.0135000000135,154000000
2009-03-31,1129000000,2000000,2009-04-23,0.13,0.07,145800000,82000000,112000000,0.013717421124828532,-30000000
2009-06-30,1253000000,65000000,2009-07-23,0.43,0.36,146200000,255000000,96000000,0.44459644322845415,159000000
2009-09-30,1337000000,101000000,2009-10-22,0.69,0.57,147000000,331000000,66000000,0.6870748299319728,265000000
2009-12-31,1328000000,-32000000,2010-01-28,0.57,0.5,145200000,90000000,44000000,-0.22038567493112948,46000000
2010-03-31,1370000000,101000000,2010-04-22,0.69,0.57,146600000,-225000000,33000000,0.6889495225102319,-258000000
2010-06-30,1502000000,148000000,2010-07-29,1.02,0.83,147000000,206000000,46000000,1.0068027210884354,160000000
