fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,83482000,8747000,2005-11-01,0.35,0.25,23411959,40023000,7509000,0.37361247728137575,32514000
2005-12-31,83332000,5213000,2006-02-08,0.2,0.18,23106569,17957000,213107000,0.22560683933646747,-195150000
2006-03-31,83057000,10322000,2006-05-03,0.43,0.35,23095493,43322000,7877000,0.44692702597861844,35445000
2006-06-30,84547000,22512000,2006-08-02,0.95,0.29,23226466,25931000,12469000,0.9692391429673374,13462000
2006-09-30,91542000,12477000,2006-11-01,0.45,0.3,23677569,68248000,224756000,0.5269544352293937,-156508000
2006-12-31,82959000,17437000,2007-02-07,0.63,0.3,23142385,22434000,294620000,0.7534659889203296,-272186000
2007-03-31,90706000,37546000,2007-05-02,1.46,0.51,24214984,59931000,63902000,1.550527557647777,-3971000
2007-06-30,95548000,12187000,2007-08-01,0.39,0.39,25104021,39721000,11600000,0.48546007828785676,28121000
2007-09-30,96280000,12308000,2007-10-31,0.39,0.38,25555928,58496000,405968000,0.48161037235666027,-347472000
2007-12-31,96013000,53597000,2008-02-06,2.02,0.3,25165276,32729000,75236000,2.1297998082754983,-42507000
2008-03-31,99957000,18014000,2008-04-30,0.63,0.6,24877626,47235000,31298000,0.7241044623791675,15937000
2008-06-30,101547000,11999000,2008-07-30,0.38,0.37,25153826,42498000,67687000,0.47702484703519854,-25189000
2008-09-30,103253000,14686000,2008-10-29,0.49,0.51,27910297,53315000,139838000,0.5261857299476247,-86523000
2008-12-31,106032000,20655000,2009-02-04,0.7,0.45,24752000,38193000,60567000,0.834478021978022,-22374000
2009-03-31,105111000,18396000,2009-04-29,1.53,0.39,28692959,55063000,37242000,0.6411328995381759,17821000
2009-06-30,103632000,12999000,2009-08-05,0.43,0.24,26853693,34171000,36434000,0.4840674986490685,-2263000
2009-09-30,101694000,-1239000,2009-11-03,0.74,0.24,30070076,58428000,33171000,-0.041203753525598005,25257000
2009-12-31,100487000,6953000,2010-02-04,0.24,0.18,30070076,25925000,85596000,0.23122655227076913,-59671000
2010-03-31,101184000,13669000,2010-05-05,0.45,0.26,29018571,52975000,34354000,0.47104318127863704,18621000
