fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2020-06-30,649000,-5104000,2020-07-10,0.0,0.0,142260102,-4713000,1835000,-0.03587794418986147,-6548000
2020-09-30,1461000,-6262000,2020-11-16,-0.01,,142260102,-5288000,2198000,-0.044017963659269695,-7486000
2020-12-31,2035000,-9596000,2021-03-25,-0.04,,142260102,-4857000,2305000,-0.06745390917827403,-7162000
2021-03-31,3999000,-13755000,2021-05-24,-0.52,-0.29,142260102,-12038000,2522000,-0.09668909136589822,-14560000
2021-06-30,4678000,-22977000,2021-08-16,-0.33,-0.17,142260102,-6254000,5432000,-0.16151401325439793,-11686000
2021-09-30,8424000,20807000,2021-11-10,0.16,-0.1,153936436,-24273000,3040000,0.13516617988999044,-27313000
2021-12-31,6846000,2517000,2022-03-14,0.02,-0.1,161906393,-19151000,1656000,0.015546019853582928,-20807000
2022-03-31,8710000,-13801000,2022-05-11,-0.13,-0.12,142878406,-29430000,7417000,-0.09659262296081327,-36847000
2022-06-30,9070000,-25686000,2022-08-10,-0.12,-0.13,143552032,-23065000,5263000,-0.1789316364396709,-28328000
2022-09-30,16530000,-18615000,2022-11-09,-0.13,-0.13,144117273,-16926000,6810000,-0.12916564137318917,-23736000
2022-12-31,20885000,-28304000,2023-03-01,-0.12,-0.14,144856047,-5307000,4703000,-0.1953939831037913,-10010000
2023-03-31,18581000,-28609000,2023-05-10,-0.12,-0.15,146433378,-3434000,14098000,-0.19537212342393687,-17532000
2023-06-30,19825000,-66754000,2023-08-10,-0.1,-0.11,148882160,-5321000,20674000,-0.4483680247519246,-25995000
2023-09-30,20191000,5999000,2023-11-09,-0.08,-0.09,173976375,2097000,19076000,0.034481693275883005,-16979000
2023-12-31,21821000,-16890000,2024-02-29,-0.07,-0.08,151087430,-3143000,17488000,-0.11178957772992763,-20631000
2024-03-31,22181000,-11272000,2024-05-09,-0.09,-0.07,153076719,-16151000,21394000,-0.07363627907389365,-37545000
2024-06-30,25540000,3462000,2024-08-08,-0.06,-0.07,171563943,-21581000,3336000,0.02017906524799328,-24917000
2024-09-30,27360000,-30443000,2024-11-06,-0.07,-0.0725,158288746,3905000,4716000,-0.19232573868517475,-811000
2024-12-31,29100000,-15720000,2024-12-31,-0.1051,-0.05,159602069,3204000,8098000,-0.09849496374636597,-4894000
2025-03-31,32007000,-1689000,2025-05-30,-0.0989,-0.05,160808391,-2539000,14286000,-0.010503183257396064,-16825000
2025-06-30,32544000,-40535000,2025-08-14,-0.02,-0.05,165252554,2113000,4125000,-0.24529121649762822,-2012000
2025-09-30,42850000,-1796000,2025-11-13,-0.02,-0.0333,172790098,3524000,13810000,-0.01039411413494308,-10286000
