fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2006-09-30,35665045,4140360,2006-11-16,0.0753,,21997319,8114935,1509240,0.18822111912819922,6605695
2006-12-31,39315243,5944044,2007-03-06,0.22,0.14,28141321,8973514,6622151,0.21122121452649648,2351363
2007-03-31,39854448,5408626,2007-05-10,0.04,0.02,29084264,-8314796,3039802,0.18596399757614634,-11354598
2007-06-30,43019839,5620048,2007-08-08,0.04,0.02,29210372,9437032,1829233,0.1923990560613196,7607799
2007-09-30,46629050,6239440,2007-11-13,0.04,0.04,29115603,10258167,2213291,0.21429884175848943,8044876
2007-12-31,50386519,9775472,2008-03-11,0.33,0.22,28644120,12044727,1630142,0.3412732525907586,10414585
2008-03-31,50948630,6799812,2008-05-06,0.05,0.05,29292838,-8009900,6849131,0.23213223655557033,-14859031
2008-06-30,53815795,5264000,2008-08-06,0.04,0.04,29351038,16331088,3636571,0.1793462977357053,12694517
2008-09-30,46572902,-1075260,2008-11-06,-0.01,0.01,29127304,10096301,2329698,-0.036915877967971224,7766603
2008-12-31,43694368,3419045,2009-03-11,0.12,-0.02,28846137,15955514,2017210,0.11852696255307947,13938304
2009-03-31,40986000,2883000,2009-05-06,0.02,0.01,29079675,-1240000,5013000,0.09914141062443098,-6253000
2009-06-30,42385000,1252000,2009-08-06,0.01,0.01,29159547,7841000,1772000,0.04293619513362124,6069000
2009-09-30,48186000,3994000,2009-11-06,0.03,0.01,29368390,9658000,2401000,0.13599655956625473,7257000
2009-12-31,59438000,7524000,2010-03-09,0.25,0.12,28930344,19436000,2230000,0.2600729531594923,17206000
2010-03-31,54489000,5623000,2010-05-05,0.04,0.03,30157956,-851000,5385000,0.18645162822042713,-6236000
2010-06-30,60639000,4869000,2010-08-04,0.03,0.03,30201092,7808000,4606000,0.16121933604255104,3202000
2010-09-30,67585000,7804000,2010-11-03,0.05,0.03,30385308,16739000,4839000,0.2568346517994815,11900000
2010-12-31,70040000,8296000,2011-02-28,0.05,0.04,29302862,12810000,5030000,0.2831122775652426,7780000
