fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2014-03-31,2384069,-115919,2014-03-31,-0.0012,,95749006,-25295,32250,-0.0012106548657016868,-57545
2014-06-30,3550011,38431,2014-06-30,0.0004,,96029940,104447,750,0.00040019810488270635,103697
2014-09-30,3877289,47163,2014-09-30,0.0005,,96146872,69251,6174,0.0004905307787860223,63077
2014-12-31,3557536,134168,2014-12-31,0.0014,,96146872,96039,9858,0.0013954484135479726,86181
2015-03-31,3449241,-16817,2015-03-31,-0.0002,,97454770,-140172,4577,-0.00017256210239888719,-144749
2015-06-30,5584963,-4998154,2015-06-30,-0.0508,,98365904,142660,30397,-0.050811854481609804,112263
2015-09-30,7419103,1517108,2015-09-30,0.0148,,102326438,216585,2847,0.014826158612107655,213738
2015-12-31,6413480,-1083586,2015-12-31,-0.0108,,99428570,127113,19295,-0.010898135214053667,107818
2016-03-31,7142812,-619867,2016-03-31,-0.0061,,101235538,-89293,64028,-0.006123017788476612,-153321
2016-06-30,13282028,-6005907,2016-06-30,-0.059,,101880920,548911,86300,-0.05895026271847565,462611
2016-09-30,15756956,-14647098,2016-11-16,-0.015,,102451634,178263,130875,-0.1429659774874845,47388
2017-03-31,22011237,-69729,2017-05-16,-0.0553,,104832784,157286,213625,-0.000665144979837605,-56339
2017-06-30,39574311,3230209,2017-08-14,-0.04,-0.05,105498172,145194,335133,0.030618625316086046,-189939
2017-09-30,48105769,-7750570,2017-11-14,-0.07,-0.02,106671644,2094221,301006,-0.0726582033365868,1793215
2017-12-31,46413227,-17514305,2018-02-28,-0.21,-0.21,106671644,1730163,431383,-0.16418894790821822,1298780
2018-03-31,61962531,-10696346,2018-05-15,-0.09,-0.02,112387506,4788422,513521,-0.09517379983501013,4274901
2018-06-30,130542808,-1886658,2018-08-13,-0.01,-0.06,113754198,7740771,315012,-0.01658539230349987,7425759
2018-09-30,157236070,-4628171,2018-11-13,-0.04,-0.03,116720466,6325852,567813,-0.03965175224711663,5758039
2018-12-31,150406272,-5219182,2019-03-18,-0.04,-0.05,116720466,5455674,738116,-0.044715225862789136,4717558
2019-03-31,157033632,-6295823,2019-05-09,-0.05,-0.05,121498000,6657355,827919,-0.05181832622759222,5829436
2019-06-30,266704945,-2195741,2019-08-08,-0.02,0.01,123052000,18119125,1256982,-0.017844009036829957,16862143
2019-09-30,282179339,-1847363,2019-11-06,-0.01,-0.02,126394990,14999646,1529194,-0.014615792920273185,13470452
2019-12-31,274019325,811213,2020-03-12,0.01,-0.04,126394990,15410306,1525942,0.006418078754545572,13884364
2020-03-31,271421000,165000,2020-05-05,0.0023,-0.02,144647818,17489000,1355000,0.001140701617773453,16134000
2020-06-30,353525000,8275000,2020-08-05,0.06,-0.01,145124056,28547000,1307000,0.05702018140948321,27240000
2020-09-30,564017000,14970000,2020-11-09,0.1,0.03,150917721,43170000,1602000,0.09919312258896355,41568000
2020-12-31,609322000,7721000,2021-03-11,0.05,0.08,156543876,30453000,2172000,0.049321635552194966,28281000
2021-03-31,583833000,4846000,2021-05-06,0.03,0.04,158722126,78919000,2257000,0.030531345075355154,76662000
2021-06-30,999887000,37050000,2021-08-04,0.24,0.09,157288672,88506000,3352000,0.23555415357566245,85154000
2021-09-30,1110480000,23821000,2021-11-03,0.15,0.11,157345924,30988000,3550000,0.15139254576432498,27438000
2021-12-31,1076970000,15503000,2022-02-24,0.16,0.07,157509206,48479000,4264000,0.09842599295434198,44215000
2022-03-31,1010731000,8882000,2022-05-04,0.06,0.01,156842721,111507000,4684000,0.05662997902210585,106823000
2022-06-30,1415060000,9359000,2022-08-03,0.06,0.19,155816038,53791000,3393000,0.06006442032623112,50398000
2022-09-30,1238975000,4402000,2022-11-02,0.03,0.04,155915307,22026000,1145000,0.028233276672443713,20881000
2022-12-31,933395000,-7201000,2023-02-28,-0.05,-0.02,152316335,23211000,2829000,-0.047276610220433675,20382000
2023-03-31,848453000,1453000,2023-05-02,0.01,-0.07,155668712,56144000,1432000,0.009333924469035242,54712000
2023-06-30,1231116000,9422000,2023-08-03,0.06,0.07,156693959,98024000,3180000,0.06012995051072773,94844000
2023-09-30,1212793000,1349000,2023-11-02,0.01,0.05,158183888,22348000,1511000,0.008528049329524636,20837000
2023-12-31,983049000,-21197000,2024-02-22,-0.14,-0.04,153725911,32615000,1834000,-0.13788827050763094,30781000
2024-03-31,943054000,-15639000,2024-05-01,-0.02,-0.06,154740334,60654000,1438000,-0.10106608662225067,59216000
2024-06-30,1295244000,12383000,2024-07-31,0.08,0.08,155984147,71147000,1843000,0.07938627250370514,69304000
2024-09-30,1231187000,-8506000,2024-11-07,-0.06,0.05,153260000,45999000,2292000,-0.05550045674018009,43707000
2024-12-31,1098187000,-9505000,2025-02-20,-0.0602,-0.015,153260000,13714000,2300000,-0.062018791595980685,11414000
2025-03-31,954906000,-11024000,2025-04-29,-0.07,0.04,154738000,39838000,3003000,-0.07124300430404942,36835000
2025-06-30,1308877000,-2291000,2025-07-31,-0.01,0.09,156091692,36088000,2348000,-0.014677270587854221,33740000
2025-09-30,1316683000,3497000,2025-11-06,0.02,0.01,160767662,28891000,2595000,0.02175188689377096,26296000
