fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2021-01-31,4937000000,94000000,2021-03-16,2.63,2.9,225600000,140000000,66000000,0.4166666666666667,74000000
2021-04-30,5916000000,369000000,2021-05-19,0.0,0.0,225300000,457000000,51000000,1.6378162450066578,406000000
2021-07-31,6567000000,710000000,2021-09-28,4.62,3.93,222700000,591000000,64000000,3.188145487202515,527000000
2021-10-31,6803000000,560000000,2021-12-07,2.5,2.14,222700000,-13000000,51000000,2.5145936237090254,-64000000
2022-01-31,6508000000,436000000,2022-03-15,1.97,2.05,221200000,228000000,70000000,1.9710669077757685,158000000
2022-04-30,7284000000,546000000,2022-06-14,2.5,2.08,218000000,452000000,74000000,2.5045871559633026,378000000
2022-07-31,7971000000,580000000,2022-09-27,2.85,2.79,209756022,468000000,95000000,2.765117275155037,373000000
2022-10-31,7931000000,595000000,2022-12-06,2.95,2.78,207654899,498000000,95000000,2.865330906544131,403000000
2023-01-31,6825000000,374000000,2023-03-07,1.91,2.01,207800000,673000000,147000000,1.7998075072184794,526000000
2023-04-30,7140000000,336000000,2023-06-06,2.2,2.17,206100000,631000000,119000000,1.6302765647743813,512000000
2023-07-31,7838000000,584000000,2023-09-26,2.77,2.46,205100000,921000000,80000000,2.847391516333496,841000000
2023-10-31,7708000000,519000000,2023-12-05,2.65,2.62,204600000,557000000,91000000,2.536656891495601,466000000
2024-01-31,6673000000,322000000,2024-03-05,1.74,1.84,203900000,306000000,101000000,1.579205492888671,205000000
2024-04-30,7308000000,443000000,2024-06-04,2.32,2.31,203200000,642986056,70533308,2.1801181102362204,572452748
2024-07-31,7946000000,451000000,2024-09-17,2.98,2.86,202300000,366000000,109000000,2.2293623331685617,257000000
2024-10-31,7772000000,470000000,2024-12-10,2.45,2.61,201300000,345000000,77000000,2.334823646299056,268000000
2025-01-31,6872000000,276000000,2025-03-11,1.52,1.6,199800000,340000000,81000000,1.3813813813813813,259000000
2025-04-30,7621000000,410000000,2025-06-03,2.5,2.02,198500000,698202000,80555000,2.065491183879093,617647000
2025-07-31,8497000000,700000000,2025-09-16,3.48,3.01,199200000,541000000,70000000,3.5140562248995986,471000000
2025-10-31,8169000000,570000000,2025-12-09,2.84,2.75,196600000,430000000,118000000,2.899287894201424,312000000
