fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,282774000,57892000,2005-10-25,0.48,0.47,127920000,188129000,74602000,0.45256410256410257,113527000
2005-12-31,295886000,36310000,2006-01-27,0.61,0.61,169989000,34518000,20683000,0.21360205660366258,13835000
2006-03-31,900936000,39358000,2006-04-26,0.45,0.45,172987000,97896000,69264000,0.2275199870510501,28632000
2006-06-30,1021946000,66029000,2006-07-25,0.51,0.51,195374000,125464000,80156000,0.33796206250575817,45308000
2006-09-30,1080651000,78580000,2006-10-25,0.57,0.56,193626000,148162000,67114000,0.40583392726183465,81048000
2006-12-31,1129069000,75120000,2007-02-06,0.58,0.58,189196000,121735000,83663000,0.39704856339457495,38072000
2007-03-31,1124066000,59503000,2007-04-25,0.54,0.52,195807000,72430000,74116000,0.30388596934736756,-1686000
2007-06-30,1176238000,148004000,2007-07-24,0.59,0.59,196977000,170657000,79894000,0.7513770643273072,90763000
2007-09-30,712812000,245304000,2007-10-24,0.63,0.64,196649000,13319000,90661000,1.2474205309968522,-77342000
2007-12-31,1330414000,108411000,2008-02-14,0.68,0.69,196500000,207146000,98628000,0.5517099236641222,108518000
2008-03-31,830300000,70500000,2008-04-24,0.57,0.58,196500000,168200000,89600000,0.35877862595419846,78600000
2008-06-30,1339038000,71900000,2008-08-05,0.36,0.34,194400000,74600000,66000000,0.3698559670781893,8600000
2008-09-30,893844000,43600000,2008-10-27,0.42,0.4,191800000,155900000,48200000,0.2273201251303441,107700000
2008-12-31,835280000,28770000,2009-02-10,0.48,0.44,190000000,197751000,51591000,0.15142105263157896,146160000
2009-03-31,797800000,33000000,2009-04-28,0.31,0.31,191600000,162900000,45300000,0.1722338204592902,117600000
2009-06-30,834800000,59200000,2009-07-28,0.42,0.36,192700000,168200000,50900000,0.30721328489880645,117300000
2009-09-30,850700000,67600000,2009-10-21,0.46,0.47,194600000,173900000,49400000,0.3473792394655704,124500000
2009-12-31,1286200000,-53900000,2010-02-04,0.44,0.43,239400000,209100000,66900000,-0.22514619883040934,142200000
2010-03-31,1249600000,93600000,2010-04-27,0.41,0.39,379900000,271600000,58200000,0.24638062648065281,213400000
2010-06-30,1286100000,89900000,2010-07-20,0.46,0.46,384600000,173600000,76000000,0.23374934997399896,97600000
2010-09-30,1367200000,110400000,2010-10-26,0.52,0.51,339200000,340700000,93100000,0.32547169811320753,247600000
2010-12-31,1396300000,110600000,2011-02-08,0.64,0.6,305400000,285400000,86700000,0.3621480026195154,198700000
2011-03-31,1383400000,92800000,2011-05-03,0.45,0.45,308700000,260200000,71600000,0.3006154842889537,188600000
2011-06-30,1441700000,123500000,2011-07-19,0.55,0.54,310900000,263300000,68000000,0.39723383724670314,195300000
2011-09-30,1426200000,136300000,2011-11-01,0.62,0.61,306800000,275600000,82200000,0.4442633637548892,193400000
2011-12-31,1494400000,117000000,2012-02-13,0.66,0.65,289700000,372400000,78500000,0.4038660683465654,293900000
2012-03-31,1446900000,87100000,2012-04-26,0.55,0.51,295400000,203800000,65000000,0.2948544346648612,138800000
2012-06-30,1457200000,150600000,2012-07-17,0.66,0.59,298300000,258900000,90700000,0.5048608783104257,168200000
2012-09-30,1436900000,86800000,2012-11-05,0.63,0.62,297900000,255300000,70600000,0.2913729439409198,184700000
2012-12-31,1500100000,136700000,2013-02-12,0.68,0.69,297800000,328700000,69800000,0.4590329079919409,258900000
2013-03-31,1478000000,144100000,2013-04-30,0.62,0.6,295500000,207500000,73700000,0.4876480541455161,133800000
2013-06-30,1512500000,104800000,2013-07-30,0.71,0.7,294300000,157300000,83300000,0.35609921848453957,74000000
2013-09-30,1501700000,172300000,2013-10-29,0.74,0.71,293200000,311100000,81600000,0.5876534788540245,229500000
2013-12-31,1578500000,71900000,2014-02-04,0.76,0.78,293000000,384400000,97600000,0.2453924914675768,286800000
2014-03-31,1520300000,154500000,2014-05-01,0.68,0.68,291900000,222600000,89900000,0.5292908530318602,132700000
2014-06-30,1599100000,178800000,2014-07-29,0.75,0.74,289200000,256500000,96700000,0.6182572614107884,159800000
2014-09-30,1605300000,150500000,2014-10-30,0.8,0.79,287000000,208000000,86000000,0.524390243902439,122000000
2014-12-31,1689100000,195300000,2015-02-05,0.87,0.87,286500000,477800000,98600000,0.6816753926701571,379200000
2015-03-31,1554800000,111000000,2015-04-30,0.65,0.66,287000000,231000000,101000000,0.3867595818815331,130000000
2015-06-30,1587000000,240000000,2015-07-23,0.74,0.71,284400000,212000000,118000000,0.8438818565400844,94000000
2015-09-30,1578800000,175000000,2015-11-03,0.9,0.91,283800000,255000000,87000000,0.616631430584919,168000000
2015-12-31,1874800000,105200000,2016-02-09,0.93,0.92,299200000,439400000,109600000,0.3516042780748663,329800000
2016-03-31,2181000000,55000000,2016-05-03,0.79,0.75,327000000,385000000,145000000,0.16819571865443425,240000000
2016-06-30,2305000000,121000000,2016-07-26,0.9,0.87,329000000,435000000,148000000,0.3677811550151976,287000000
