fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,94925000,23494000,2005-10-27,0.5,0.49,42468000,15698000,213383000,0.5532165395121033,-197685000
2005-12-31,97795000,25465000,2006-02-22,0.51,0.53,43887000,12323000,402467000,0.5802401622348303,-390144000
2006-03-31,96836000,22943000,2006-04-26,0.39,0.47,43887000,27885000,233141000,0.5227743978854786,-205256000
2006-06-30,100497000,32294000,2006-07-25,0.62,0.55,44006000,25499000,156318000,0.733854474389856,-130819000
2006-09-30,103100000,29371000,2006-10-25,0.54,0.49,44032000,-3572000,261874000,0.6670376090116279,-265446000
2006-12-31,99910000,27385000,2007-02-21,0.49,0.63,44410000,9739000,162507000,0.6166403963071381,-152768000
2007-03-31,106417000,35187000,2007-04-25,0.66,0.55,44410000,23275000,196785000,0.7923215492006305,-173510000
2007-06-30,115036000,37413000,2007-07-24,0.67,0.54,44471000,38450000,189006000,0.8412898293269772,-150556000
2007-09-30,108917000,34160000,2007-10-24,0.66,0.61,44240000,17503000,160113000,0.7721518987341772,-142610000
2007-12-31,104557000,48291000,2008-02-20,1.0,0.64,42984000,13508000,131557000,1.123464544946957,-118049000
2008-03-31,244210398,53223000,2008-04-23,1.13,0.66,42984000,540000,160441000,1.2382049134561697,-159901000
2008-06-30,130824000,45793000,2008-07-23,0.96,1.07,43128000,33147000,140288000,1.061792802819514,-107141000
2008-09-30,136602,8459000,2008-10-29,0.09,0.1,43151000,25897000,194183000,0.19603253690528608,-168286000
2008-12-31,151123000,-67435000,2009-03-02,-1.66,-1.05,44147000,11601000,88502000,-1.5275103631050808,-76901000
2009-03-31,113092000,-10544000,2009-04-30,-0.35,-0.53,44147000,20776000,28787000,-0.23883842616712347,-8011000
2009-06-30,105702000,-2886000,2009-08-04,-0.17,-0.54,44439000,30981000,18520000,-0.06494295551205023,12461000
2009-09-30,102762000,2965000,2009-11-04,-0.04,-0.17,45360000,28733000,15068000,0.06536596119929454,13665000
2009-12-31,88066000,16198000,2010-02-24,0.18,0.25,61797000,61689000,62375000,0.26211628396200465,-686000
2010-03-31,89747000,-16914000,2010-04-27,-0.35,-0.4,61797000,4884000,13486000,-0.2737026069226661,-8602000
2010-06-30,87521000,-13548000,2010-08-02,-0.29,-0.27,62838000,26558000,34476000,-0.21560202425284064,-7918000
2010-09-30,84825000,-149385000,2010-10-26,-2.44,-0.17,63100000,25652000,20622000,-2.36743264659271,5030000
2010-12-31,26638000,-22974000,2011-02-23,-0.43,-0.46,70639000,26095000,21152000,-0.3252311046305865,4943000
2011-03-31,71897000,-3730000,2011-04-27,-0.12,-0.2,70639000,6487000,13383000,-0.05280369201149507,-6896000
2011-06-30,73323000,196000,2011-07-27,-0.06,-0.14,79727000,31263000,24569000,0.0024583892533269784,6694000
