fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2020-03-31,53996000,-88112000,2020-06-30,-0.0445,0.0,76828000,539000,1338000,-1.146873535690113,-799000
2020-06-30,56475000,-3421000,2020-09-30,-9.4622,0.0,76828000,5749000,1218000,-0.04452803665330348,4531000
2020-09-30,66187000,1387000,2020-12-31,-9.4622,0.0,252901000,12761000,2498000,0.005484359492449614,10263000
2020-12-31,73001000,-1535000,2021-03-31,-4.9436,0.0,252901000,13481000,1558000,-0.006069568724520662,11923000
2021-03-31,80587000,-2415000,2021-06-30,-0.0956,0.0,252901000,7777000,2943000,-0.009549191185483648,4834000
2021-06-30,88341000,-7429000,2021-09-22,-0.08,0.0,281433200,885000,2020000,-0.02639702778492374,-1135000
2021-09-30,96614000,-107415000,2021-11-02,-0.04,-0.1,287790000,-2046000,2143000,-0.37324090482643596,-4189000
2021-12-31,105480000,-74736000,2022-02-10,-0.06,-0.06,269502000,4844000,2011000,-0.2773114856290491,2833000
2022-03-31,114637000,-49059000,2022-05-03,-0.01,-0.05,278186000,1355000,2741000,-0.17635323129129432,-1386000
2022-06-30,121432000,-69753000,2022-08-02,-0.06,-0.07,284761000,-6824000,3362000,-0.24495278496704254,-10186000
2022-09-30,128760000,-57843000,2022-11-01,-0.01,-0.05,286697000,-4223000,3013000,-0.2017565583176664,-7236000
2022-12-31,133170000,-55477000,2023-02-07,0.01,-0.04,288457000,7167000,3128999,-0.19232329255313618,4038001
2023-03-31,137692000,-42664000,2023-05-02,0.03,-0.02,290133000,11504000,2408000,-0.1470498012980254,9096000
2023-06-30,145079000,-35658000,2023-08-01,0.07,0.02,291995000,19895000,1815000,-0.12211852942687375,18080000
2023-09-30,153550000,-31033000,2023-10-31,0.08,0.05,294146000,23913000,1842000,-0.10550202960434614,22071000
2023-12-31,160111000,-28081000,2024-02-06,0.08,0.05,296001000,30866000,2275000,-0.09486792274350425,28591000
2024-03-31,165143000,-23325000,2024-05-01,0.1,0.08,297870000,40619000,1946000,-0.07830597240406889,38673000
2024-06-30,174131000,-20184000,2024-07-30,0.08,0.06,299805000,36336000,3514000,-0.06732376044428878,32822000
2024-09-30,186575000,-29959000,2024-11-06,0.11,0.08,302096000,42329000,1056000,-0.09917046236957788,41273000
2024-12-31,194571000,-21900000,2025-02-11,0.14,0.1,303560000,41362000,5067000,-0.07214389247595203,36295000
2025-03-31,196273000,-1304000,2025-04-29,0.18,0.13,301280000,57973000,1296000,-0.004328199681359533,56677000
2025-06-30,204678000,-1739000,2025-07-29,0.18,0.11,294435000,58591000,380000,-0.005906227180871839,58211000
2025-09-30,215118000,-4680000,2025-11-05,0.16,0.13,286161000,63472000,6263000,-0.016354429848931196,57209000
