fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2019-03-31,45556000,-9727000,2019-05-17,-0.06,-0.08,90688554,-10083000,4784000,-0.10725719587501638,-14867000
2019-06-30,46173000,-15587000,2019-08-08,-0.16,-0.13,59781000,-5565000,5081000,-0.26073501614225253,-10646000
2019-09-30,49797000,-12163000,2019-11-07,-0.09,-0.13,93240000,-12595000,4389000,-0.13044830544830543,-16984000
2019-12-31,58936000,-14073000,2020-02-20,-0.1,-0.11,94045000,-3060000,5846000,-0.14964112924663725,-8906000
2020-03-31,62924000,-11990000,2020-05-06,-0.06,-0.12,95401000,-7186000,11606000,-0.12568002431840336,-18792000
2020-06-30,74663000,-14460000,2020-08-05,0.02,-0.01,99835000,-8781000,4627000,-0.14483898432413483,-13408000
2020-09-30,70638000,-23778000,2020-10-28,-0.04,-0.01,105942000,27200000,13794000,-0.2244435634592513,13406000
2020-12-31,82649000,-45704000,2021-02-17,-0.09,-0.1,112902000,-31149000,7175000,-0.40481125223645287,-38324000
2021-03-31,84852000,-50683000,2021-05-05,-0.12,-0.11,114134000,-10869000,9068000,-0.44406574727951353,-19937000
2021-06-30,85026000,-58295000,2021-08-04,-0.15,-0.17,115326000,-17014000,6718000,-0.5054801172328877,-23732000
2021-09-30,86735000,-56198000,2021-11-03,-0.11,-0.19,116475000,-2691000,27872000,-0.4824898046791157,-30563000
2021-12-31,97717000,-57521000,2022-02-16,-0.1,-0.16,118161000,-7908000,6729000,-0.4868019058741886,-14637000
2022-03-31,102382000,-64264000,2022-05-04,-0.15,-0.14,119673000,-13190000,6197000,-0.5369966492024099,-19387000
2022-06-30,102518000,-16437000,2022-08-03,-0.23,-0.17,121242000,-16680000,40664000,-0.13557183154352453,-57344000
2022-09-30,108504000,-63420000,2022-11-02,-0.14,-0.17,122339000,-27634000,9715000,-0.5183956056531441,-37349000
2022-12-31,119321000,-46653000,2023-02-15,-0.08,-0.13,123587000,-12128000,23742000,-0.3774911600734705,-35870000
2023-03-31,117564000,-44687000,2023-05-03,-0.09,-0.1,125418000,-8861000,7703000,-0.35630451769283517,-16564000
2023-06-30,122831000,-10704000,2023-08-02,-0.04,-0.1,127863000,24990000,10694000,-0.08371460078365126,14296000
2023-09-30,127816000,-54311000,2023-11-01,-0.06,-0.08,129872999,-8390000,5276000,-0.41818546132133283,-13666000
2023-12-31,137777000,-23386000,2024-02-14,0.01,-0.02,131842999,-7377000,8595000,-0.1773776399003181,-15972000
2024-03-31,133520000,-43427000,2024-05-01,-0.05,-0.06,134587000,11132000,8448000,-0.32266860840943035,2684000
2024-06-30,132371000,-43729000,2024-08-07,-0.07,-0.08,137444000,-4948000,9381000,-0.3181586682576176,-14329000
2024-09-30,137206000,-38016000,2024-11-06,0.02,-0.06,139237000,5002000,8814000,-0.2730308754138627,-3812000
2024-12-31,140579000,-32886000,2025-02-12,-0.03,-0.0042,141085000,5220000,10571000,-0.23309352517985613,-5351000
2025-03-31,144474000,-39148000,2025-05-07,-0.05,-0.06,143284000,17288000,7368000,-0.273219619776109,9920000
2025-06-30,148709000,-37541000,2025-08-06,-0.03,-0.05,145780000,25798000,5089000,-0.2575181780765537,20709000
2025-09-30,158223000,-29483000,2025-11-05,0.07,-0.0009,148129000,28924000,10753000,-0.19903597539982043,18171000
