fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-08-31,265226000,10586000,2005-11-02,0.68,0.57,15548000,22376000,19645000,0.6808592745047595,2731000
2005-11-30,186362000,8017000,2006-01-04,0.51,0.37,15847000,8364000,44401000,0.5059001703792516,-36037000
2006-02-28,236214000,8563000,2006-04-05,0.56,0.56,15911000,-31729000,17223000,0.5381811325498083,-48952000
2006-05-31,266088000,10680000,2006-06-28,0.67,0.69,15979000,31007000,5522000,0.6683772451342387,25485000
2006-08-31,265159000,12338000,2006-10-31,0.53,0.63,15994000,31900000,73423000,0.7714142803551332,-41523000
2006-11-30,246623000,1870000,2007-01-09,0.12,0.12,16010000,-41939000,30458000,0.11680199875078076,-72397000
2007-02-28,239978000,-6071000,2007-04-04,-0.38,0.54,16022000,-34766000,47894000,-0.37891648982648857,-82660000
2007-05-31,386606000,13017000,2007-07-10,0.81,0.39,16139000,106515000,48090000,0.8065555486709214,58425000
2007-08-31,350621000,13194000,2007-11-06,0.82,0.67,16202000,16517000,10852000,0.8143439081594864,5665000
2007-11-30,286378000,2642000,2008-01-08,0.16,0.46,16198000,-8770000,14475000,0.16310655636498333,-23245000
2008-02-29,259573000,1423000,2008-04-09,0.28,0.33,16311000,-62161000,1523000,0.08724173870394213,-63684000
2008-05-31,382106000,8126000,2008-07-08,0.49,0.38,16529000,90891000,48479000,0.49162078770645534,42412000
2008-08-31,362021000,7350000,2008-11-06,0.45,0.39,16627000,12158000,13167000,0.44205208395982437,-1009000
2008-11-30,256129000,-3329000,2009-01-09,-0.2,0.15,16629000,-22374000,8473000,-0.20019243490288052,-30847000
2009-02-28,287132000,-6878000,2009-04-08,-0.41,-0.05,16694000,78196000,6675000,-0.41200431292680006,71521000
2009-05-31,244448000,-50538000,2009-07-07,0.03,-0.05,16840000,33419000,18357000,-3.001068883610451,15062000
2009-08-31,230416000,6686000,2009-11-12,0.37,-0.03,16740000,31224000,5342000,0.3994026284348865,25882000
2009-11-30,171693000,-3244000,2010-01-08,-0.19,-0.12,17087000,5097000,11939000,-0.1898519342189969,-6842000
2010-02-28,199950000,-4752000,2010-04-07,-0.28,-0.22,17113000,2693000,7677000,-0.27768363232630167,-4984000
2010-05-31,211455000,4563000,2010-07-08,0.23,-0.02,20058000,28434000,8650000,0.2274902781932396,19784000
2010-08-31,181351000,7710000,2010-11-10,-0.17,-0.09,28421000,6337000,10723000,0.27127828014496325,-4386000
2010-11-30,201444000,-2304000,2011-01-07,-0.16,-0.15,21879000,-47446000,11536000,-0.10530645824763472,-58982000
2011-02-28,286301000,-550000,2011-04-07,-0.02,-0.01,23310000,-4299000,18596000,-0.023595023595023596,-22895000
2011-05-31,317280000,-3314000,2011-07-08,0.1,0.21,24127000,-25562000,29557000,-0.1373564885812575,-55119000
2011-08-31,442736000,12635000,2011-11-03,0.52,0.42,37325000,43055000,24613000,0.33851306095110517,18442000
2011-11-30,398199000,14517000,2012-01-06,0.48,0.36,33389000,-8992000,15007000,0.43478391086884904,-23999000
2012-02-29,458186000,17670000,2012-04-09,0.57,0.47,33668000,1076000,20706000,0.5248306997742663,-19630000
2012-05-31,507797000,19117000,2012-06-28,0.61,0.6,33862000,61549000,36404000,0.564556139625539,25145000
2012-08-31,443535000,7405000,2012-11-01,0.26,0.57,33952000,62423000,45768000,0.21810202639019793,16655000
2012-11-30,415374000,10427000,2013-01-09,0.35,0.31,33991000,-25485000,25141000,0.30675767114824515,-50626000
2013-02-28,423166000,13839000,2013-04-04,0.45,0.37,34044000,59073000,10384000,0.40650334860768417,48689000
2013-05-31,433663000,-56030000,2013-07-01,0.5,0.55,26619000,-14351000,14152000,-2.104887486381908,-28503000
2013-08-31,484215000,20716000,2013-10-31,0.69,0.61,27182000,85355000,11150000,0.7621219924950334,74205000
2013-11-30,490355000,15388000,2014-01-08,0.51,0.53,34462000,-13455000,6542000,0.446520805524926,-19997000
2014-02-28,502216000,15587000,2014-04-03,0.51,0.6,34345000,80275000,9987000,0.4538360751201048,70288000
