fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,769022000,119046000,2005-10-19,0.52,0.52,234959211,220884000,610000,0.5066666656452128,220274000
2005-12-31,769097000,126136000,2006-02-08,0.52,0.52,231296154,177215000,708000,0.5453441305383746,176507000
2006-03-31,857008000,120274000,2006-04-19,0.53,0.53,233290086,210124000,1370000,0.5155555560127831,208754000
2006-06-30,869135000,127375000,2006-07-19,0.54,0.54,227455357,222061000,3932000,0.5600000003517174,218129000
2006-09-30,837939000,128544000,2006-10-18,0.56,0.56,225956250,244683000,1171000,0.5688888888888889,243512000
2006-12-31,857096000,142438000,2007-02-07,0.58,0.58,218834353,188719000,1192000,0.6508941491466835,187527000
2007-03-31,905975000,135191000,2007-04-18,0.59,0.57,222029015,246908000,2969000,0.6088888877879317,243939000
2007-06-30,876569000,127117000,2007-07-18,0.6,0.59,217466066,186399000,5654000,0.5845371755609907,180745000
2007-09-30,863614000,132882000,2007-10-17,0.61,0.61,211638210,221614000,8287000,0.6278733882695379,213327000
2007-12-31,840539000,132345000,2008-02-06,0.63,0.62,204530192,195076000,7252000,0.6470682822221181,187824000
2008-03-31,872433000,118173000,2008-04-16,0.64,0.64,206722478,232933000,4385000,0.5716504617364349,228548000
2008-06-30,860492000,133726000,2008-07-23,0.64,0.65,204069897,190425000,2246000,0.6552950825471333,188179000
2008-09-30,753352000,63151000,2008-10-22,0.67,0.67,197575350,190523000,1974000,0.3196299538378649,188549000
2008-12-31,840641000,137209000,2009-02-04,0.62,0.67,188719708,116730000,1195000,0.7270517820004258,115535000
2009-03-31,809638000,76706000,2009-04-22,0.66,0.66,188719708,218382000,2084000,0.40645463482807,216298000
2009-06-30,819734000,114118000,2009-07-27,0.68,0.67,186153221,141977000,1173000,0.6130326372381169,140804000
2009-09-30,762321000,100800000,2009-10-28,0.66,0.66,186398041,228392000,1679000,0.5407782155822121,226713000
2009-12-31,808171000,113329000,2010-02-10,0.65,0.64,186404332,387362000,1563000,0.6079740678988083,385799000
2010-03-31,845678000,121676000,2010-04-27,0.68,0.67,187230987,303282000,324000,0.64987106007191,302958000
2010-06-30,835895000,126049000,2010-07-28,0.7,0.68,185140379,171573000,1894000,0.6808293289709643,169679000
2010-09-30,838888000,114531000,2010-10-27,0.72,0.7,183049770,270099000,619000,0.6256822939466136,269480000
2010-12-31,847171000,154808000,2011-02-09,0.75,0.73,175225990,283639000,6344000,0.8834762468741081,277295000
2011-03-31,829272000,100141000,2011-04-26,0.72,0.73,178521228,300047000,761000,0.5609472952986857,299286000
2011-06-30,877334000,142781000,2011-07-27,0.76,0.75,169246812,152686000,638000,0.8436259348861472,152048000
2011-09-30,837241000,131400000,2011-10-26,0.81,0.8,157968213,231749000,1528000,0.8318129166910307,230221000
2011-12-31,833554000,126357000,2012-02-06,0.83,0.82,150102540,174982000,2459000,0.8418045424148053,172523000
2012-03-31,897923000,118677000,2012-04-24,0.85,0.85,151890438,284047000,479000,0.7813329236696256,283568000
2012-06-30,885795000,128988000,2012-07-25,0.87,0.87,146739001,163084000,2202000,0.8790301087030026,160882000
2012-09-30,877100000,130672000,2012-10-24,0.86,0.87,144513183,250537000,1175000,0.9042220044381695,249362000
2012-12-31,928698000,150987000,2013-02-04,0.89,0.88,140371167,245171000,811000,1.0756268771349604,244360000
2013-03-31,958216000,119632000,2013-04-23,0.93,0.91,141854865,290374000,855000,0.8433408328998797,289519000
2013-06-30,950339000,133901000,2013-07-24,0.95,0.93,139945903,202107000,1392000,0.9568054307384761,200715000
2013-09-30,932789000,132122000,2013-10-23,0.95,0.95,139010061,278522000,2117000,0.9504491908682783,276405000
2013-12-31,930594000,142817000,2014-02-03,0.97,0.97,133163464,348277000,6804000,1.0724938786512792,341473000
