fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2016-09-30,332353000,-6167000,2016-12-13,0.03,0.01,74093598,66541000,5386000,-0.08323256214389804,61155000
2016-12-31,329761000,-179000,2017-03-22,0.28,0.05,74093598,-16840000,5673000,-0.0024158632436772744,-22513000
2017-03-31,433615000,38114000,2017-05-12,0.51,0.42,74250155,-223488000,3676000,0.513318793745279,-227164000
2017-06-30,427988000,33016000,2017-08-11,0.44,0.54,74581269,133623000,5147000,0.4426848784243668,128476000
2017-09-30,347263000,9318000,2017-11-08,0.12,0.09,74702704,71981000,3958000,0.12473444067031363,68023000
2017-12-31,351392000,11666000,2018-03-07,0.15,0.16,74650237,-9153000,6064000,0.15627545830832393,-15217000
2018-03-31,441801000,41484000,2018-05-03,0.55,0.59,74793823,-86832000,5887000,0.5546447331619885,-92719000
2018-06-30,478138000,39907000,2018-08-02,0.53,0.58,75028658,151389000,7770000,0.5318900945822594,143619000
2018-09-30,370427000,7063000,2018-11-01,0.09,0.16,75867562,65508000,7005000,0.09309644087416438,58503000
2018-12-31,343355000,11418000,2019-02-28,0.15,0.18,74760062,33668000,12139000,0.15272860528125298,21529000
2019-03-31,433702000,34926000,2019-05-08,0.46,0.56,76264038,-90065000,5462000,0.4579615886586021,-95527000
2019-06-30,462218000,38488000,2019-08-07,0.51,0.59,75858114,130076000,5133000,0.5073682691346637,124943000
2019-09-30,417166000,29797000,2019-10-31,0.39,0.28,75552440,54920000,7571000,0.39438832154196474,47349000
2019-12-31,368271000,17859000,2020-02-27,0.24,0.23,75378806,39352000,14790000,0.23692336012857512,24562000
2020-03-31,408741000,8877000,2020-05-07,0.2,0.37,75099930,-72512000,5741000,0.11820250697970025,-78253000
2020-06-30,300002000,2313000,2020-08-05,0.03,0.16,74875219,71673000,4614000,0.030891395456218967,67059000
2020-09-30,482932000,63216000,2020-11-06,0.84,0.41,75082805,167950000,5032000,0.8419504305945948,162918000
2020-12-31,420494000,21600000,2021-02-25,0.29,0.13,75190850,97314000,9288000,0.2872689961611021,88026000
2021-03-31,580885000,84958000,2021-05-06,1.13,0.63,75255312,-29996000,6410000,1.1289302740516178,-36406000
2021-06-30,624850000,81085000,2021-08-05,1.08,0.76,75200906,182407000,5991000,1.0782449881654352,176416000
2021-09-30,521629000,39264000,2021-11-04,0.52,0.15,75301431,127680000,6809000,0.5214243538080969,120871000
2021-12-31,420566000,-26434000,2022-03-01,-0.36,-0.29,74179959,34031000,18387000,-0.35634961728679304,15644000
2022-03-31,606087000,81045000,2022-05-05,1.1,0.8,73922728,-164048000,11686000,1.096347526568554,-175734000
2022-06-30,658599000,66454000,2022-08-04,0.91,0.75,73391880,73403000,8771000,0.9054680163527628,64632000
2022-09-30,558246000,51837000,2022-11-03,0.72,0.58,72334398,31603000,13181000,0.7166300049943044,18422000
2022-12-31,447404000,-58000,2023-03-01,-0.0008,-0.04,69754797,-8745000,92726000,-0.0008314840339941065,-101471000
2023-03-31,686290000,93275000,2023-05-04,1.36,1.09,68646212,-86418000,33933000,1.3587785441096152,-120351000
2023-06-30,689363000,74655000,2023-08-03,1.09,0.92,68649044,206035000,18530000,1.0874878315858265,187505000
2023-09-30,593381000,57307000,2023-11-02,0.85,0.55,67343260,177313000,15204000,0.8509686047274813,162109000
2023-12-31,412961000,-26808000,2024-02-29,-0.41,-0.37,64841674,74897000,32932000,-0.41343781469923185,41965000
2024-03-31,707554000,87762000,2024-05-07,1.35,1.24,64889174,-109516000,7275000,1.3524906327209527,-116791000
2024-06-30,683867000,71428000,2024-08-06,1.11,1.2,64160688,211633000,14835000,1.1132673639659225,196798000
2024-09-30,620501000,56224000,2024-11-07,0.89,0.79,63171736,144111000,20412000,0.890018282859917,123699000
2024-12-31,445169000,-1116000,2025-02-26,-0.024,-0.25,61951984,-1120000,32102000,-0.018013950933355095,-33222000
2025-03-31,703372000,99372000,2025-05-05,1.3922,1.3567,61485000,-120254000,11263000,1.6161990729446207,-131517000
2025-06-30,720476000,75563000,2025-08-07,1.25,1.32,60906000,151862000,13883000,1.2406495254983088,137979000
2025-09-30,657658000,48511000,2025-11-05,0.81,0.85,60654000,163100000,26200000,0.79979885910245,136900000
