fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2017-12-31,11134471,8676895,2018-02-28,0.04,0.0,35000434,1465744,1003322,0.2479082116524612,462422
2018-03-31,14588881,3767810,2018-06-06,0.08,0.08,12253767,2574990,378750,0.30748177274792315,2196240
2018-06-30,14787000,-9234000,2018-08-08,0.12,0.06,13533000,4733951,423364,-0.6823320771447573,4310587
2018-09-30,16054000,241000,2018-11-05,0.05,0.05,14614000,65059,396886,0.016491035992883537,-331827
2018-12-31,14717000,88000,2019-03-07,0.01,0.05,13617000,2901000,1045000,0.006462510097672028,1856000
2019-03-31,23133000,2472000,2019-05-02,0.18,0.12,15289000,1802000,1304000,0.16168487147622473,498000
2019-06-30,19386000,903000,2019-08-01,0.07,0.09,16065000,8880000,583000,0.05620915032679739,8297000
2019-09-30,21169000,998000,2019-11-01,0.07,0.08,16451000,5811000,1738000,0.06066500516685916,4073000
2019-12-31,13798000,-806000,2020-03-12,0.07,0.07,16529000,4748000,472000,-0.048762780567487445,4276000
2020-03-31,20425000,-156000,2020-04-30,0.08,0.03,15564000,-1475000,1027000,-0.010023130300693909,-2502000
2020-06-30,29924000,3379000,2020-07-30,0.25,0.11,17947000,7991000,3084000,0.18827659218810944,4907000
2020-09-30,32015000,3267000,2020-10-29,0.23,0.12,18915000,8525000,972000,0.17272006344171292,7553000
2020-12-31,34650000,2797000,2021-02-23,0.19,0.18,19754000,9602000,5285000,0.141591576389592,4317000
2021-03-31,31228000,-396000,2021-04-29,0.03,0.06,18375000,7888000,2110000,-0.021551020408163264,5778000
2021-06-30,38173000,1487000,2021-07-28,0.13,0.18,20367000,12104000,7193000,0.07301026169784455,4911000
2021-09-30,41681000,4036000,2021-10-27,0.26,0.15,21206000,6811000,867000,0.19032349335093843,5944000
2021-12-31,40230000,276000,2022-02-23,0.06,0.08,21542000,8641000,5237000,0.012812180856002229,3404000
2022-03-31,41278000,-2257000,2022-04-26,0.04,0.02,20240000,-5154000,2501000,-0.11151185770750988,-7655000
2022-06-30,53022000,342000,2022-07-27,0.16,0.17,21245000,15246000,4322000,0.01609790538950341,10924000
2022-09-30,57687000,1979000,2022-10-26,0.24,0.19,21569000,22925000,10042000,0.09175205155547313,12883000
2022-12-31,57403000,501000,2023-02-22,0.11,0.12,23900000,2707000,4641000,0.02096234309623431,-1934000
2023-03-31,57955000,-81000,2023-04-26,0.17,0.04,23206000,-639000,2540000,-0.003490476600879083,-3179000
2023-06-30,69277000,3666000,2023-07-26,0.41,0.28,24333000,16860000,3488000,0.15065959807668597,13372000
2023-09-30,71030000,6934000,2023-10-25,0.46,0.31,24891000,21148000,2572000,0.27857458519143463,18576000
2023-12-31,63014000,3621000,2024-02-21,0.28,0.33,25516000,13531000,3557000,0.14191095783038093,9974000
2024-03-31,64460000,1814000,2024-04-24,0.28,0.21,38839000,12067000,2782000,0.04670563093797472,9285000
2024-06-30,78088000,6198000,2024-07-24,0.43,0.39,38031000,18875000,2877000,0.1629723120612132,15998000
2024-09-30,78035000,7559000,2024-10-23,0.5,0.45,37942000,28101000,3363000,0.19922513309788625,24738000
2024-12-31,93922000,14855000,2025-02-19,0.79,0.3978,38301000,12501000,3166000,0.38784888123025507,9335000
2025-03-31,75583000,2342000,2025-04-22,0.26,0.2195,38301000,15484000,3350000,0.06114722853189212,12134000
2025-06-30,94027000,5150000,2025-07-22,0.49,0.4985,38553000,28913000,1738000,0.1335823411926439,27175000
2025-09-30,90435000,7908000,2025-10-22,0.46,0.47,38014000,24208000,477000,0.20802862103435577,23731000
