fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2018-03-31,915000000,58000000,2018-06-08,0.76,0.0,75904898,12000000,28000000,0.7641140628368936,-16000000
2018-06-30,877000000,150000000,2018-08-29,1.76,0.0,74105227,267000000,19000000,2.0241487149077892,248000000
2018-09-30,784000000,929000000,2018-11-06,1.43,0.93,74070852,-39000000,19000000,12.542045553897504,-58000000
2018-12-31,799000000,43000000,2019-02-20,0.57,0.71,75292910,133000000,29000000,0.5711029099552667,104000000
2019-03-31,835000000,73000000,2019-05-07,1.25,0.84,75379228,36000000,21000000,0.9684365565537498,15000000
2019-06-30,802000000,66000000,2019-07-30,0.94,0.92,76900544,1000000,30000000,0.858251405867818,-29000000
2019-09-30,781000000,38000000,2019-11-08,0.5,0.8,75704457,88000000,23000000,0.5019519524458117,65000000
2019-12-31,830000000,136000000,2020-02-27,1.0,0.73,75990908,117000000,28000000,1.7896877873863541,89000000
2020-03-31,745000000,52000000,2020-05-11,0.68,0.21,76261545,57000000,39000000,0.6818639722025039,18000000
2020-06-30,477000000,-9000000,2020-07-30,-0.12,-0.53,75845511,-152000000,24000000,-0.11866226334739838,-176000000
2020-09-30,804000000,11000000,2020-11-02,-0.12,0.55,75943994,-41000000,16000000,0.14484358038899034,-57000000
2020-12-31,1008000000,26000000,2021-02-16,-0.12,0.76,75595990,161000000,1000000,0.34393358695348786,160000000
2021-03-31,997000000,-105000000,2021-04-29,1.27,0.7,75904898,32000000,18000000,-1.3833099413426522,14000000
2021-06-30,935000000,409000000,2021-07-29,1.63,-0.18,70493121,-423000000,22000000,5.801984565274107,-445000000
2021-09-30,839000000,63000000,2021-10-28,0.09,0.24,65081343,-55000000,34000000,0.9680193600184311,-89000000
2021-12-31,862000000,128000000,2022-02-14,0.29,0.19,64915470,136000000,2000000,1.9717950128066546,134000000
2022-03-31,901000000,88000000,2022-04-28,0.15,0.22,64732090,67000000,29000000,1.359449385922809,38000000
2022-06-30,859000000,85000000,2022-07-28,0.15,0.25,65102162,105000000,23000000,1.3056402028553216,82000000
2022-09-30,945000000,105000000,2022-10-26,0.21,0.23,65250287,62000000,26000000,1.6091883243364125,36000000
2022-12-31,898000000,112000000,2023-02-14,0.23,0.26,65460507,137000000,13000000,1.7109552787301205,124000000
2023-03-31,970000000,81000000,2023-04-24,0.13,0.21,65970723,92000000,8000000,1.2278173758986999,84000000
2023-06-30,1011000000,71000000,2023-07-27,-1.88,0.23,107408432,162000000,25000000,0.6610281770056936,137000000
2023-09-30,960000000,57000000,2023-10-24,0.23,0.22,252381719,74000000,24000000,0.22584837057869472,50000000
2023-12-31,945000000,52000000,2024-02-15,0.22,0.22,242294842,137000000,26000000,0.21461455626034334,111000000
2024-03-31,915000000,66000000,2024-04-25,0.28,0.25,238991886,84000000,32000000,0.276160003189397,52000000
2024-06-30,890000000,64000000,2024-07-25,0.28,0.27,225898814,126000000,17000000,0.2833126870688219,109000000
2024-09-30,826000000,52000000,2024-10-24,0.24,0.3,218403681,67000000,20000000,0.23809122521153844,47000000
2024-12-31,844000000,100000000,2025-02-13,0.4649,0.29,212955723,131000000,22000000,0.46958118143648103,109000000
2025-03-31,878000000,62000000,2025-04-23,0.3584,0.29,207571000,56000000,26000000,0.2986929773426924,30000000
2025-06-30,913000000,87000000,2025-07-23,0.4197,0.334,205255000,158000000,15000000,0.42386299968332075,143000000
2025-09-30,902000000,77000000,2025-10-23,0.392,0.3485,202194334,100000000,10000000,0.38082174943636155,90000000
