fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,17768000,12766000,2005-10-31,0.5161,,24734000,13781000,0,0.5161316406565861,13781000
2005-12-31,18341000,11032000,2006-02-06,0.4459,,24717000,10664000,2000,0.4463324837156613,10662000
2006-03-31,18067000,10531000,2006-05-02,0.4256,,24745000,10817000,14254000,0.4255809254394827,-3437000
2006-06-30,18180000,11112000,2006-08-02,0.449,,24747000,11206000,1104000,0.4490241241362589,10102000
2006-09-30,18087000,11276000,2006-10-31,0.4553,,24764000,11884000,13853000,0.45533839444354707,-1969000
2006-12-31,18071000,9806000,2007-02-07,0.3957,,24765000,11944000,597000,0.3959620432061377,11347000
2007-03-31,17993000,10437000,2007-05-02,0.4211,,24785000,11053000,160840000,0.4211014726649183,-149787000
2007-06-30,20727000,10024000,2007-08-08,0.4044,,24787000,10901000,9913000,0.40440553515955946,988000
2007-09-30,20255000,12846000,2007-10-31,0.5182,,24792000,11688000,817000,0.5181510164569216,10871000
2007-12-31,19639000,587000,2008-02-06,0.4471,,24765000,10874000,1282000,0.023702806379971735,9592000
2008-03-31,20330000,11371000,2008-05-07,0.4588,,24768000,12610000,4745000,0.4591004521963824,7865000
2008-06-30,20249000,10636000,2008-07-30,0.4295,,24766000,11435000,1002000,0.4294597431963175,10433000
2008-09-30,20354000,10489000,2008-10-29,0.4234,,24773000,11999000,2207000,0.42340451297783877,9792000
2008-12-31,20331000,9315000,2009-02-11,0.376,,24766000,11540000,629000,0.37612048776548496,10911000
2009-03-31,19911000,9928000,2009-05-06,0.4009,,24766000,12208000,1950000,0.40087216344989096,10258000
2009-06-30,20254000,13605000,2009-08-05,0.5493,,24766000,13043000,3157000,0.5493418396188323,9886000
2009-09-30,20210000,12185000,2009-11-04,0.492,,24767000,14282000,50692000,0.4919853030241854,-36410000
2009-12-31,24267000,11331000,2010-02-19,0.4783,,24766000,12999000,1141000,0.4575224097553097,11858000
2010-03-31,22470000,11905000,2010-05-07,0.4806,,24769000,13831000,1500000,0.4806411239856272,12331000
2010-06-30,21742000,13959000,2010-08-03,0.51,0.43,27152000,14828000,3162000,0.5141057748968768,11666000
2010-09-30,21981000,13351000,2010-10-26,0.45,0.45,29944000,14246000,7000,0.4458656158161902,14239000
2010-12-31,22168000,12485000,2011-02-16,0.4169,,32502000,14018000,56000,0.38413020737185405,13962000
2011-03-31,25025000,11386000,2011-05-11,0.3503,,32504000,14932000,165393000,0.35029534826482894,-150461000
2011-06-30,27126000,15202000,2011-07-29,0.4552,,33395000,18379000,1201000,0.4552178469830813,17178000
2011-09-30,28067000,5350000,2011-11-01,0.1589,,33395000,19383000,881000,0.16020362329690074,18502000
2011-12-31,31584000,-19482000,2012-03-16,-0.5886,,33394000,8536000,770000,-0.5833982152482482,7766000
2012-03-31,31895000,6485000,2012-05-08,0.1942,,33394000,8257000,1288000,0.19419656225669282,6969000
2012-06-30,27475000,3626000,2012-08-02,0.1086,,33395000,2179000,3193000,0.10857912861206767,-1014000
2012-09-30,23112000,-3465000,2012-11-09,-0.1038,,33396000,1814000,1300000,-0.10375494071146245,514000
2012-12-31,24268000,5801000,2013-03-01,0.1729,,33396000,3635000,1654000,0.17370343753742964,1981000
2013-03-31,23807000,10350000,2013-05-03,0.3081,,33397000,6599000,197000,0.30990807557565053,6402000
2013-06-30,25102000,12739000,2013-08-08,0.3794,,33397000,3446000,72505000,0.3814414468365422,-69059000
2013-09-30,29258000,41877000,2013-11-05,1.25,0.19,33397000,28756000,651000,1.253915022307393,28105000
2013-12-31,26400000,5045000,2014-03-04,0.15,0.23,33397000,4877000,6179000,0.15106147258735814,-1302000
2014-03-31,24330000,9638000,2014-05-07,0.29,0.23,33397000,7968000,9000,0.2885887954007845,7959000
2014-06-30,25000000,6637000,2014-08-06,0.1967,0.25,33403000,5853000,2849000,0.19869472801844146,3004000
